1.119172147, Sport: ,Tennis, Time: ,Tue Jun 16 13:00:00 CEST 2015, Time: ,Tue Jun 16 13:00:00 CEST 2015, Event: ,G Taylor v Linette, Favorite: ,Magda Linette, 7083215   size:78.72,Price: ,1.11,Gabriella Taylor, 8624172   size:29.44,Price: ,6.4,
1.119040595, Sport: ,Snooker, Time: ,Tue Jun 16 13:30:00 CEST 2015, Time: ,Tue Jun 16 13:30:00 CEST 2015, Event: ,Australia v Pakistan, Favorite: ,Australia, 5674298   size:2.55,Price: ,1.11,Pakistan, 5674280   size:37.74,Price: ,8.2,
1.119040612, Sport: ,Snooker, Time: ,Tue Jun 16 15:30:00 CEST 2015, Time: ,Tue Jun 16 15:30:00 CEST 2015, Event: ,Republic of Ireland v UAE, Favorite: ,Republic of Ireland, 5674272   size:62.25,Price: ,1.14,UAE, 5674299   size:2.0,Price: ,6.6,
1.119159440, Sport: ,Tennis, Time: ,Tue Jun 16 13:45:00 CEST 2015, Time: ,Tue Jun 16 13:45:00 CEST 2015, Event: ,Andreozzi v Kudla, Favorite: ,Denis Kudla, 4829260   size:6.47,Price: ,1.15,Guido Andreozzi, 6603914   size:6.14,Price: ,5.5,
1.119158518, Sport: ,Tennis, Time: ,Tue Jun 16 12:00:00 CEST 2015, Time: ,Tue Jun 16 12:00:00 CEST 2015, Event: ,D Thiem v Nishikori, Favorite: ,Kei Nishikori, 2483001   size:15793.85,Price: ,1.15,Dominic Thiem, 5720747   size:43.71,Price: ,6.6,
1.119159012, Sport: ,Tennis, Time: ,Tue Jun 16 12:00:00 CEST 2015, Time: ,Tue Jun 16 12:00:00 CEST 2015, Event: ,Azarenka v Lepchenko, Favorite: ,Victoria Azarenka, 2263640   size:2992.06,Price: ,1.16,Varvara Lepchenko, 2263576   size:37.74,Price: ,6.6,
1.119040609, Sport: ,Snooker, Time: ,Tue Jun 16 13:30:00 CEST 2015, Time: ,Tue Jun 16 13:30:00 CEST 2015, Event: ,Qatar v Northern Ireland, Favorite: ,Northern Ireland, 5674271   size:57.51,Price: ,1.16,Qatar, 9546437   size:5.0,Price: ,5.8,
1.119040613, Sport: ,Snooker, Time: ,Tue Jun 16 15:30:00 CEST 2015, Time: ,Tue Jun 16 15:30:00 CEST 2015, Event: ,Thailand v Germany, Favorite: ,Thailand, 20133   size:5.76,Price: ,1.16,Germany, 5674278   size:4.05,Price: ,5.2,
1.119159476, Sport: ,Tennis, Time: ,Tue Jun 16 17:15:00 CEST 2015, Time: ,Tue Jun 16 17:15:00 CEST 2015, Event: ,Dodig v Karatsev, Favorite: ,Ivan Dodig, 2835266   size:7.27,Price: ,1.17,Aslan Karatsev, 7659748   size:14.03,Price: ,5.2,
1.119162434, Sport: ,Tennis, Time: ,Tue Jun 16 11:30:00 CEST 2015, Time: ,Tue Jun 16 11:30:00 CEST 2015, Event: ,Kovalik v Satral, Favorite: ,Jozef Kovalik, 7287668   size:6.39,Price: ,1.17,Jan Satral, 8490613   size:11.0,Price: ,5.8,
1.119159544, Sport: ,Tennis, Time: ,Tue Jun 16 13:30:00 CEST 2015, Time: ,Tue Jun 16 13:30:00 CEST 2015, Event: ,Carballes Baena v Sikora, Favorite: ,Roberto Carballes Baena, 7185192   size:6.65,Price: ,1.17,Adrian Sikora, 8257872   size:11.65,Price: ,5.5,
