1.119178692, Sport: ,Tennis, Time: ,Wed Jun 17 14:00:00 CEST 2015, Time: ,Wed Jun 17 14:00:00 CEST 2015, Event: ,Podlipnik-Castillo v Vajda, Favorite: ,Hans Podlipnik-Castillo, 8461633   size:50.97,Price: ,1.11,Peter Vajda, 8960892   size:25.99,Price: ,6.4,
1.119178821, Sport: ,Tennis, Time: ,Wed Jun 17 15:30:00 CEST 2015, Time: ,Wed Jun 17 15:30:00 CEST 2015, Event: ,Berdych v Coric, Favorite: ,Tomas Berdych, 2256470   size:26524.6,Price: ,1.11,Borna Coric, 7446579   size:41.82,Price: ,9.0,
1.119174526, Sport: ,Tennis, Time: ,Wed Jun 17 17:30:00 CEST 2015, Time: ,Wed Jun 17 17:30:00 CEST 2015, Event: ,Federer v Gulbis, Favorite: ,Roger Federer, 2251402   size:11102.07,Price: ,1.14,Ernests Gulbis, 2257536   size:251.05,Price: ,7.8,
1.119172269, Sport: ,Tennis, Time: ,Wed Jun 17 12:00:00 CEST 2015, Time: ,Wed Jun 17 12:00:00 CEST 2015, Event: ,Larcher De Brito v A Ivanovic, Favorite: ,Ana Ivanovic, 2249841   size:1743.25,Price: ,1.15,Michelle Larcher de Bri, 9564237   size:53.63,Price: ,7.2,
1.119040635, Sport: ,Snooker, Time: ,Wed Jun 17 13:30:00 CEST 2015, Time: ,Wed Jun 17 13:30:00 CEST 2015, Event: ,Singapore v Malta, Favorite: ,Malta, 20134   size:5.0,Price: ,1.15,Singapore, 9546438   size:65.11,Price: ,6.4,
1.119040634, Sport: ,Snooker, Time: ,Wed Jun 17 13:30:00 CEST 2015, Time: ,Wed Jun 17 13:30:00 CEST 2015, Event: ,Norway v India, Favorite: ,India, 5674279   size:69.76,Price: ,1.15,Norway, 9546433   size:20.29,Price: ,5.8,
1.119168369, Sport: ,Tennis, Time: ,Wed Jun 17 10:30:00 CEST 2015, Time: ,Wed Jun 17 10:30:00 CEST 2015, Event: ,Horansky v Ghem, Favorite: ,Andre Ghem, 5304700   size:5.77,Price: ,1.16,Filip Horansky, 4596961   size:7.65,Price: ,5.4,
1.119174334, Sport: ,Tennis, Time: ,Wed Jun 17 16:30:00 CEST 2015, Time: ,Wed Jun 17 16:30:00 CEST 2015, Event: ,Azarenka v Diyas, Favorite: ,Victoria Azarenka, 2263640   size:449.9,Price: ,1.2,Zarina Diyas, 4045175   size:33.15,Price: ,5.8,
1.119168318, Sport: ,Basketball, Time: ,Wed Jun 17 20:05:00 CEST 2015, Time: ,Wed Jun 17 20:05:00 CEST 2015, Event: ,Maccabi Tel Aviv v Hapoel Eilat, Favorite: ,Maccabi Tel Aviv, 266273   size:6.67,Price: ,1.2,Hapoel Eilat, 7758974   size:61.62,Price: ,5.3,
1.119172149, Sport: ,Tennis, Time: ,Wed Jun 17 13:00:00 CEST 2015, Time: ,Wed Jun 17 13:00:00 CEST 2015, Event: ,Kontaveit v L Zhu, Favorite: ,Anett Kontaveit, 5300737   size:6.18,Price: ,1.22,Lin Zhu, 8714569   size:7.88,Price: ,4.7,
1.119118701, Sport: ,Basketball, Time: ,Wed Jun 17 10:15:00 CEST 2015, Time: ,Wed Jun 17 10:15:00 CEST 2015, Event: ,Rain or Shine v Kia Sorento, Favorite: ,Rain Or Shine, 3880438   size:7.15,Price: ,1.24,Kia Sorento, 8911706   size:2.55,Price: ,4.6,
1.119162462, Sport: ,Tennis, Time: ,Wed Jun 17 16:30:00 CEST 2015, Time: ,Wed Jun 17 16:30:00 CEST 2015, Event: ,Chan/Klepac v Babos/Mladenovic, Favorite: ,Babos/Mladenovic, 8242001   size:5.77,Price: ,1.25,Chan/Klepac, 9610065   size:2.81,Price: ,3.15,
1.119172151, Sport: ,Tennis, Time: ,Wed Jun 17 13:00:00 CEST 2015, Time: ,Wed Jun 17 13:00:00 CEST 2015, Event: ,Govortsova v S Peer, Favorite: ,Olga Govortsova, 2415575   size:5.77,Price: ,1.25,Shahar Peer, 2248472   size:8.44,Price: ,3.85,
1.119172144, Sport: ,Tennis, Time: ,Wed Jun 17 12:00:00 CEST 2015, Time: ,Wed Jun 17 12:00:00 CEST 2015, Event: ,Ann Beck v Glushko, Favorite: ,Annika Beck, 4174996   size:72.01,Price: ,1.27,Julia Glushko, 5321877   size:2.92,Price: ,3.65,
