1.119208891, Sport: ,Tennis, Time: ,Sat Jun 20 09:45:00 CEST 2015, Time: ,Sat Jun 20 09:45:00 CEST 2015, Event: ,Gabashvili v Chen, Favorite: ,Teymuraz Gabashvili, 4877292   size:88.57,Price: ,1.17,Ti Chen, 2559490   size:2.55,Price: ,5.5,
1.119216150, Sport: ,Tennis, Time: ,Sat Jun 20 16:00:00 CEST 2015, Time: ,Sat Jun 20 16:00:00 CEST 2015, Event: ,Murray v Troicki, Favorite: ,Andy Murray, 2256509   size:2776.5,Price: ,1.19,Viktor Troicki, 2263624   size:18.96,Price: ,6.0,
1.119216267, Sport: ,Tennis, Time: ,Sat Jun 20 11:15:00 CEST 2015, Time: ,Sat Jun 20 11:15:00 CEST 2015, Event: ,Galdos v Michon, Favorite: ,Axel Michon, 4994683   size:2.0,Price: ,1.2,Sergio Galdos, 7430078   size:13.47,Price: ,5.7,
1.119215301, Sport: ,Tennis, Time: ,Sat Jun 20 13:00:00 CEST 2015, Time: ,Sat Jun 20 13:00:00 CEST 2015, Event: ,Federer v Karlovic, Favorite: ,Roger Federer, 2251402   size:3105.06,Price: ,1.21,Ivo Karlovic, 2263570   size:96.38,Price: ,5.5,
1.119215102, Sport: ,Tennis, Time: ,Sat Jun 20 12:00:00 CEST 2015, Time: ,Sat Jun 20 12:00:00 CEST 2015, Event: ,Cavaday v Dulgheru, Favorite: ,Alexandra Dulgheru, 2548758   size:89.49,Price: ,1.21,Naomi Cavaday, 2443818   size:2.55,Price: ,4.6,
1.119216221, Sport: ,Tennis, Time: ,Sat Jun 20 09:30:00 CEST 2015, Time: ,Sat Jun 20 09:30:00 CEST 2015, Event: ,Vilardo v Urbanija, Favorite: ,Mike Urbanija, 7444987   size:2.0,Price: ,1.25,Francesco Vilardo, 7412831   size:3.8,Price: ,4.1,
1.119215008, Sport: ,Tennis, Time: ,Sat Jun 20 13:30:00 CEST 2015, Time: ,Sat Jun 20 13:30:00 CEST 2015, Event: ,Webley-Smith v Zheng, Favorite: ,Saisai Zheng, 5829453   size:8.14,Price: ,1.26,Emily Webley Smith, 5595220   size:8.74,Price: ,4.2,
1.119216247, Sport: ,Tennis, Time: ,Sat Jun 20 14:00:00 CEST 2015, Time: ,Sat Jun 20 14:00:00 CEST 2015, Event: ,Pancaldi v Bernardi, Favorite: ,Luca Pancaldi, 9624735   size:8.45,Price: ,1.26,Pedro Bernardi, 8326769   size:7.63,Price: ,3.85,
1.119173268, Sport: ,Basketball, Time: ,Sat Jun 20 20:30:00 CEST 2015, Time: ,Sat Jun 20 20:30:00 CEST 2015, Event: ,Serbia (W) v Spain (W), Favorite: ,Spain (W), 6427242   size:2.55,Price: ,1.26,Serbia (W), 6427235   size:2.55,Price: ,4.1,
1.119216393, Sport: ,Tennis, Time: ,Sat Jun 20 15:30:00 CEST 2015, Time: ,Sat Jun 20 15:30:00 CEST 2015, Event: ,Marchenko v Rice, Favorite: ,Illya Marchenko, 3691700   size:5.7,Price: ,1.28,David Rice, 7366957   size:18.21,Price: ,3.6,
1.119216047, Sport: ,Tennis, Time: ,Sat Jun 20 16:00:00 CEST 2015, Time: ,Sat Jun 20 16:00:00 CEST 2015, Event: ,Seppi v Nishikori, Favorite: ,Kei Nishikori, 2483001   size:245.93,Price: ,1.29,Andreas Seppi, 2257535   size:53.74,Price: ,4.3,
