1.119602493, Sport: ,Tennis, Time: ,Tue Jul 21 17:00:00 CEST 2015, Time: ,Tue Jul 21 17:00:00 CEST 2015, Event: ,Kryvonos v Uchiyama, Favorite: ,Yasutaka Uchiyama, 5858048   size:6.01,Price: ,1.18,Nikita Kryvonos, 8395347   size:40.59,Price: ,4.8,
1.119585772, Sport: ,Tennis, Time: ,Tue Jul 21 16:00:00 CEST 2015, Time: ,Tue Jul 21 16:00:00 CEST 2015, Event: ,Goerges/Martic v Molinero/Solovyeva, Favorite: ,Goerges/Martic, 9946226   size:338.33,Price: ,1.21,Molinero/Solovyeva, 9946222   size:39.68,Price: ,4.0,
1.119585771, Sport: ,Tennis, Time: ,Tue Jul 21 14:30:00 CEST 2015, Time: ,Tue Jul 21 14:30:00 CEST 2015, Event: ,Kovinic/Vogt v Haas/Mayr-Achleitner, Favorite: ,Kovinic/Vogt, 10027022   size:7.85,Price: ,1.22,Haas/Mayr-Achleitner, 8892210   size:2.55,Price: ,3.95,
1.119576990, Sport: ,Tennis, Time: ,Tue Jul 21 15:30:00 CEST 2015, Time: ,Tue Jul 21 15:30:00 CEST 2015, Event: ,Brkic v Niklas-salminen, Favorite: ,Tomislav Brkic, 3957838   size:2.87,Price: ,1.22,Patrik Niklas-salminen, 8713656   size:41.1,Price: ,4.5,
1.119575350, Sport: ,Tennis, Time: ,Tue Jul 21 11:00:00 CEST 2015, Time: ,Tue Jul 21 11:00:00 CEST 2015, Event: ,Perez Sanz v Bemelmans, Favorite: ,Ruben Bemelmans, 2831873   size:3.13,Price: ,1.24,David Perez Sanz, 8827525   size:14.79,Price: ,5.0,
1.119592543, Sport: ,Tennis, Time: ,Tue Jul 21 15:30:00 CEST 2015, Time: ,Tue Jul 21 15:30:00 CEST 2015, Event: ,Zeballos v Sidorenko, Favorite: ,Horacio Zeballos, 3506037   size:5.22,Price: ,1.24,Alexandre Sidorenko, 2426262   size:6.5,Price: ,4.3,
1.119586373, Sport: ,Tennis, Time: ,Tue Jul 21 13:00:00 CEST 2015, Time: ,Tue Jul 21 13:00:00 CEST 2015, Event: ,Heliovaara v Silva, Favorite: ,Frederico Ferreira Silv, 9437339   size:2.55,Price: ,1.24,Harri Heliovaara, 5021887   size:4.05,Price: ,4.3,
1.119576245, Sport: ,Tennis, Time: ,Tue Jul 21 16:15:00 CEST 2015, Time: ,Tue Jul 21 16:15:00 CEST 2015, Event: ,Vanni v Ramos-Vinolas, Favorite: ,Albert Ramos-Vinolas, 8621877   size:55.37,Price: ,1.25,Luca Vanni, 8681900   size:97.99,Price: ,4.3,
1.119585438, Sport: ,Tennis, Time: ,Tue Jul 21 10:00:00 CEST 2015, Time: ,Tue Jul 21 10:00:00 CEST 2015, Event: ,Haas v Mitu, Favorite: ,Andreea Mitu, 7289592   size:417.05,Price: ,1.25,Barbara Haas, 6438801   size:536.85,Price: ,4.7,
1.119585713, Sport: ,Tennis, Time: ,Tue Jul 21 16:00:00 CEST 2015, Time: ,Tue Jul 21 16:00:00 CEST 2015, Event: ,Ivanov v Machado, Favorite: ,Rui Machado, 2969565   size:2.55,Price: ,1.27,Vladimir Ivanov, 7658399   size:4.2,Price: ,3.85,
1.119584746, Sport: ,Tennis, Time: ,Tue Jul 21 14:00:00 CEST 2015, Time: ,Tue Jul 21 14:00:00 CEST 2015, Event: ,Radwanska v J Jankovic, Favorite: ,Jelena Jankovic, 2252607   size:51.53,Price: ,1.28,Urszula Radwanska, 2395156   size:95.24,Price: ,3.9,
