1.119225342, Sport: ,Tennis, Time: ,Tue Jun 23 13:00:00 CEST 2015, Time: ,Tue Jun 23 13:00:00 CEST 2015, Event: ,Vikhlyantseva v Touly, Favorite: ,Natalia Vikhlyantseva, 9042370   size:2.55,Price: ,1.14,Carla Touly, 9181951   size:10.96,Price: ,6.2,
1.119222966, Sport: ,Tennis, Time: ,Tue Jun 23 15:30:00 CEST 2015, Time: ,Tue Jun 23 15:30:00 CEST 2015, Event: ,Dolgopolov v Andujar, Favorite: ,Alexandr Dolgopolov, 4720522   size:1283.37,Price: ,1.15,Pablo Andujar, 2303153   size:15.16,Price: ,7.2,
1.119231394, Sport: ,Tennis, Time: ,Tue Jun 23 13:45:00 CEST 2015, Time: ,Tue Jun 23 13:45:00 CEST 2015, Event: ,Bonaventure v Larcher De Brito, Favorite: ,Michelle Larcher de Bri, 9564237   size:2.11,Price: ,1.18,Ysaline Bonaventure, 6390243   size:33.57,Price: ,4.8,
1.119222383, Sport: ,Tennis, Time: ,Tue Jun 23 10:30:00 CEST 2015, Time: ,Tue Jun 23 10:30:00 CEST 2015, Event: ,Cecchinato v Barrientos, Favorite: ,Marco Cecchinato, 6374165   size:7.65,Price: ,1.18,Nicolas Barrientos, 7083200   size:14.6,Price: ,5.8,
1.119225331, Sport: ,Tennis, Time: ,Tue Jun 23 14:00:00 CEST 2015, Time: ,Tue Jun 23 14:00:00 CEST 2015, Event: ,Rus v Yerolymos, Favorite: ,Arantxa Rus, 2451050   size:3.27,Price: ,1.23,Margot Yerolymos, 8943948   size:2.43,Price: ,4.0,
1.119231379, Sport: ,Tennis, Time: ,Tue Jun 23 15:15:00 CEST 2015, Time: ,Tue Jun 23 15:15:00 CEST 2015, Event: ,Mattek-Sands v Pous-Tio, Favorite: ,Bethanie Mattek-Sands, 8028692   size:3.27,Price: ,1.24,Laura Pous-Tio, 8443238   size:82.3,Price: ,4.4,
1.119232215, Sport: ,Tennis, Time: ,Tue Jun 23 15:00:00 CEST 2015, Time: ,Tue Jun 23 15:00:00 CEST 2015, Event: ,Radwanska v Falconi, Favorite: ,Agnieszka Radwanska, 2263577   size:83.44,Price: ,1.25,Irina Falconi, 4946384   size:24.06,Price: ,4.6,
1.119226065, Sport: ,Tennis, Time: ,Tue Jun 23 12:00:00 CEST 2015, Time: ,Tue Jun 23 12:00:00 CEST 2015, Event: ,Bloomfield v Dustov, Favorite: ,Farrukh Dustov, 2386930   size:2.55,Price: ,1.29,Richard Bloomfield, 2443801   size:16.39,Price: ,3.95,
1.119231418, Sport: ,Tennis, Time: ,Tue Jun 23 12:00:00 CEST 2015, Time: ,Tue Jun 23 12:00:00 CEST 2015, Event: ,Kudryavtseva v Yang, Favorite: ,Alla Kudryavtseva, 2263696   size:6.21,Price: ,1.29,Zhaoxuan Yang, 8172570   size:6.17,Price: ,3.95,
1.119226027, Sport: ,Tennis, Time: ,Tue Jun 23 12:00:00 CEST 2015, Time: ,Tue Jun 23 12:00:00 CEST 2015, Event: ,Gonzalez v Fucsovics, Favorite: ,Marton Fucsovics, 4827766   size:32.89,Price: ,1.31,Maximo Gonzalez, 2489416   size:4.66,Price: ,3.85,
1.119231445, Sport: ,Tennis, Time: ,Tue Jun 23 15:15:00 CEST 2015, Time: ,Tue Jun 23 15:15:00 CEST 2015, Event: ,Glatch v Tatishvili, Favorite: ,Alexa Glatch, 2481491   size:6.73,Price: ,1.32,Anna Tatishvili, 2311979   size:2.35,Price: ,3.4,
