1.119232547, Sport: ,Tennis, Time: ,Wed Jun 24 15:15:00 CEST 2015, Time: ,Wed Jun 24 15:15:00 CEST 2015, Event: ,Du Brown v Karatsev, Favorite: ,Dustin Brown, 4486603   size:36.17,Price: ,1.13,Aslan Karatsev, 7659748   size:4.15,Price: ,7.2,
1.119233804, Sport: ,Tennis, Time: ,Wed Jun 24 13:45:00 CEST 2015, Time: ,Wed Jun 24 13:45:00 CEST 2015, Event: ,Cecchinato v Saez, Favorite: ,Marco Cecchinato, 6374165   size:20.19,Price: ,1.14,Juan Carlos Saez, 8258302   size:36.4,Price: ,7.0,
1.119232250, Sport: ,Tennis, Time: ,Wed Jun 24 13:30:00 CEST 2015, Time: ,Wed Jun 24 13:30:00 CEST 2015, Event: ,P Herbert v F Arguello, Favorite: ,Pierre-Hugues Herbert, 8266399   size:13.57,Price: ,1.16,Facundo Arguello, 6129383   size:16.94,Price: ,5.9,
1.119232338, Sport: ,Tennis, Time: ,Wed Jun 24 12:00:00 CEST 2015, Time: ,Wed Jun 24 12:00:00 CEST 2015, Event: ,Westerhof v E Ymer, Favorite: ,Elias Ymer, 7414305   size:35.21,Price: ,1.17,Boy Westerhof, 7287694   size:2.57,Price: ,5.5,
1.119239122, Sport: ,Tennis, Time: ,Wed Jun 24 15:15:00 CEST 2015, Time: ,Wed Jun 24 15:15:00 CEST 2015, Event: ,Swan v Paszek, Favorite: ,Tamira Paszek, 2263715   size:12.09,Price: ,1.17,Katie Swan, 9607742   size:62.64,Price: ,5.2,
1.119232511, Sport: ,Tennis, Time: ,Wed Jun 24 13:30:00 CEST 2015, Time: ,Wed Jun 24 13:30:00 CEST 2015, Event: ,K De Schepper v Myneni, Favorite: ,Kenny De Schepper, 5617034   size:2.57,Price: ,1.2,Saketh Myneni, 7445661   size:18.05,Price: ,4.9,
1.119230076, Sport: ,Tennis, Time: ,Wed Jun 24 12:00:00 CEST 2015, Time: ,Wed Jun 24 12:00:00 CEST 2015, Event: ,T Ito v Moriya, Favorite: ,Tatsuma Ito, 3374118   size:15.86,Price: ,1.2,Hiroki Moriya, 5858055   size:10.19,Price: ,5.1,
1.119234148, Sport: ,Tennis, Time: ,Wed Jun 24 13:45:00 CEST 2015, Time: ,Wed Jun 24 13:45:00 CEST 2015, Event: ,Dunne v Hogenkamp, Favorite: ,Richel Hogenkamp, 6440521   size:2.57,Price: ,1.23,Katy Dunne, 7368513   size:66.34,Price: ,4.6,
1.119239385, Sport: ,Tennis, Time: ,Wed Jun 24 14:30:00 CEST 2015, Time: ,Wed Jun 24 14:30:00 CEST 2015, Event: ,Rus v Lechemia, Favorite: ,Arantxa Rus, 2451050   size:6.46,Price: ,1.25,Elixane Lechemia, 5303877   size:23.87,Price: ,4.2,
1.119231508, Sport: ,Tennis, Time: ,Wed Jun 24 15:15:00 CEST 2015, Time: ,Wed Jun 24 15:15:00 CEST 2015, Event: ,Milton v Berrer, Favorite: ,Michael Berrer, 2263684   size:5.04,Price: ,1.25,Joshua Milton, 3985858   size:5.04,Price: ,4.3,
1.119237588, Sport: ,Tennis, Time: ,Wed Jun 24 14:45:00 CEST 2015, Time: ,Wed Jun 24 14:45:00 CEST 2015, Event: ,P Cuevas v Querrey, Favorite: ,Sam Querrey, 2263560   size:274.94,Price: ,1.27,Pablo Cuevas, 2424953   size:8.62,Price: ,4.5,
