1.119073083, Sport: ,Handball, Time: ,Wed Jun 10 18:00:00 CEST 2015, Time: ,Wed Jun 10 18:00:00 CEST 2015, Event: ,Lithuania v Denmark, Favorite: ,Denmark, 602688   size:8.08,Price: ,1.1,Lithuania, 1165300   size:3.52,Price: ,9.8,Draw, 330157   size:2.63,Price: ,14.5,ok
1.119128046, Sport: ,Tennis, Time: ,Thu Jun 11 04:00:00 CEST 2015, Time: ,Thu Jun 11 04:00:00 CEST 2015, Event: ,S Lee v Y W Jeong, Favorite: ,So-Ra Lee, 8839149   size:58.96,Price: ,1.08,Yeong Won Jeong, 9580443   size:4.78,Price: ,6.2,ok
1.119053549, Sport: ,Baseball, Time: ,Thu Jun 11 02:10:00 CEST 2015, Time: ,Thu Jun 11 02:10:00 CEST 2015, Event: ,HOU @ CHW, Favorite: ,Chicago White Sox (J Quintana), 6401579   size:334.0,Price: ,1.85,Houston (V Velasquez), 9580436   size:496.0,Price: ,2.08,ok
1.119053509, Sport: ,Baseball, Time: ,Thu Jun 11 01:05:00 CEST 2015, Time: ,Thu Jun 11 01:05:00 CEST 2015, Event: ,MIL @ PIT, Favorite: ,Pittsburgh (C Morton), 3966279   size:529.99,Price: ,1.73,Milwaukee (K Lohse), 7179919   size:649.8,Price: ,2.2,ok
1.119072584, Sport: ,Handball, Time: ,Wed Jun 10 20:00:00 CEST 2015, Time: ,Wed Jun 10 20:00:00 CEST 2015, Event: ,Switzerland v FYROM, Favorite: ,FYROM, 5376760   size:7.42,Price: ,1.57,Switzerland, 624131   size:50.7,Price: ,3.25,Draw, 330157   size:15.48,Price: ,9.0,ok
1.119087893, Sport: ,Basketball, Time: ,Wed Jun 10 20:00:00 CEST 2015, Time: ,Wed Jun 10 20:00:00 CEST 2015, Event: ,Bayern Munchen v Brose, Favorite: ,Bayern Munchen, 5859175   size:2.55,Price: ,1.4,Brose, 2120593   size:6.58,Price: ,3.2,x
1.119053541, Sport: ,Baseball, Time: ,Thu Jun 11 01:10:00 CEST 2015, Time: ,Thu Jun 11 01:10:00 CEST 2015, Event: ,LAA @ TB, Favorite: ,Tampa Bay (E Ramirez), 9402383   size:266.0,Price: ,1.9,LA Angels (J Weaver), 2412538   size:106.0,Price: ,2.04,ok
1.118847356, Sport: ,Rugby Union, Time: ,Wed Jun 10 18:30:00 CEST 2015, Time: ,Wed Jun 10 18:30:00 CEST 2015, Event: ,Wales U20 v Japan U20, Favorite: ,Wales U20, 2818059   size:7.0,Price: ,1.01,Japan U20, 9495062   size:31.44,Price: ,50.0,Draw, 246289   size:2.69,Price: ,110.0,ok
1.119073518, Sport: ,Handball, Time: ,Wed Jun 10 20:00:00 CEST 2015, Time: ,Wed Jun 10 20:00:00 CEST 2015, Event: ,Montenegro v Serbia, Favorite: ,Serbia, 2138737   size:2.96,Price: ,1.9,Montenegro, 2261747   size:2.64,Price: ,2.5,Draw, 330157   size:3.57,Price: ,8.6,x
1.119053501, Sport: ,Baseball, Time: ,Thu Jun 11 01:05:00 CEST 2015, Time: ,Thu Jun 11 01:05:00 CEST 2015, Event: ,SEA @ CLE, Favorite: ,Cleveland (T Bauer), 7184184   size:49.64,Price: ,1.69,Seattle (T Walker), 7617352   size:101.0,Price: ,2.4,x
1.118847361, Sport: ,Rugby Union, Time: ,Wed Jun 10 18:30:00 CEST 2015, Time: ,Wed Jun 10 18:30:00 CEST 2015, Event: ,Samoa U20 v Italy U20, Favorite: ,Samoa U20, 7324017   size:2.63,Price: ,1.75,Italy U20, 2296658   size:5.97,Price: ,2.3,Draw, 246289   size:11.38,Price: ,22.0,ok
1.119117674, Sport: ,Tennis, Time: ,Thu Jun 11 04:30:00 CEST 2015, Time: ,Thu Jun 11 04:30:00 CEST 2015, Event: ,A Okuno v Okadaue, Favorite: ,Ayaka Okuno, 7750096   size:5.74,Price: ,1.68,Chiaki Okadaue, 7657219   size:3.65,Price: ,2.42,ok
1.119117675, Sport: ,Tennis, Time: ,Thu Jun 11 04:30:00 CEST 2015, Time: ,Thu Jun 11 04:30:00 CEST 2015, Event: ,M Ozeki v E Sema, Favorite: ,Erika Sema, 4151738   size:2.55,Price: ,1.13,Michika Ozeki, 8887168   size:4.56,Price: ,7.0,ok
