1.119116694, Sport: ,Tennis, Time: ,Wed Jun 10 12:00:00 CEST 2015, Time: ,Wed Jun 10 12:00:00 CEST 2015, Event: ,G Garcia-Perez v Bowtell, Favorite: ,Georgina Garcia-Perez, 9544593   size:6.28,Price: ,1.41,Amy Bowtell, 9186039   size:3.41,Price: ,2.6,ok
1.119119688, Sport: ,Tennis, Time: ,Wed Jun 10 15:00:00 CEST 2015, Time: ,Wed Jun 10 15:00:00 CEST 2015, Event: ,Shvedova v Erakovic, Favorite: ,Marina Erakovic, 2250859   size:61.31,Price: ,1.75,Yaroslava Shvedova, 2263713   size:29.5,Price: ,2.26,x
1.118847350, Sport: ,Rugby Union, Time: ,Wed Jun 10 16:30:00 CEST 2015, Time: ,Wed Jun 10 16:30:00 CEST 2015, Event: ,England U20 v France U20, Favorite: ,England U20, 2296904   size:6.87,Price: ,1.29,France U20, 2893966   size:8.12,Price: ,3.55,Draw, 246289   size:4.4,Price: ,18.5,x
1.119118511, Sport: ,Tennis, Time: ,Wed Jun 10 13:00:00 CEST 2015, Time: ,Wed Jun 10 13:00:00 CEST 2015, Event: ,Antonio Veic v Gabashvili, Favorite: ,Teymuraz Gabashvili, 4877292   size:4.99,Price: ,1.23,Antonio Veic, 3186312   size:6.7,Price: ,4.2,ok
1.119116693, Sport: ,Tennis, Time: ,Wed Jun 10 13:30:00 CEST 2015, Time: ,Wed Jun 10 13:30:00 CEST 2015, Event: ,Buzarnescu v Minella, Favorite: ,Mandy Minella, 3425152   size:4.79,Price: ,1.85,Mihaela Buzarnescu, 5776800   size:7.0,Price: ,1.99,x
1.119120399, Sport: ,Tennis, Time: ,Wed Jun 10 13:00:00 CEST 2015, Time: ,Wed Jun 10 13:00:00 CEST 2015, Event: ,Albot v T Brkic, Favorite: ,Radu Albot, 6603898   size:5.76,Price: ,1.5,Tomislav Brkic, 3957838   size:3.19,Price: ,2.78,ok
1.119116690, Sport: ,Tennis, Time: ,Wed Jun 10 13:30:00 CEST 2015, Time: ,Wed Jun 10 13:30:00 CEST 2015, Event: ,Dart v L Kichenok, Favorite: ,Lyudmyla Kichenok, 4673013   size:5.76,Price: ,1.44,Harriet Dart, 8595916   size:17.32,Price: ,3.2,x
1.119118913, Sport: ,Tennis, Time: ,Wed Jun 10 13:45:00 CEST 2015, Time: ,Wed Jun 10 13:45:00 CEST 2015, Event: ,Jo Smith v Sijsling, Favorite: ,Igor Sijsling, 2370190   size:2.55,Price: ,1.55,John-Patrick Smith, 8243874   size:99.11,Price: ,2.46,x
1.119117580, Sport: ,Tennis, Time: ,Wed Jun 10 11:45:00 CEST 2015, Time: ,Wed Jun 10 11:45:00 CEST 2015, Event: ,M Granollers v F De Paula, Favorite: ,Marcel Granollers, 3035263   size:8.76,Price: ,1.11,Fabiano De Paula, 7366935   size:4.7,Price: ,6.8,ok
1.119121409, Sport: ,Tennis, Time: ,Wed Jun 10 16:30:00 CEST 2015, Time: ,Wed Jun 10 16:30:00 CEST 2015, Event: ,Puig v Konta, Favorite: ,Johanna Konta, 5596561   size:3.39,Price: ,1.81,Monica Puig, 5374368   size:23.1,Price: ,2.18,ok
1.119116697, Sport: ,Tennis, Time: ,Wed Jun 10 16:30:00 CEST 2015, Time: ,Wed Jun 10 16:30:00 CEST 2015, Event: ,N Cavaday v Webley-Smith, Favorite: ,Naomi Cavaday, 2443818   size:7.91,Price: ,1.49,Emily Webley-Smith, 8595920   size:5.58,Price: ,2.64,xxxxx
1.119073083, Sport: ,Handball, Time: ,Wed Jun 10 18:00:00 CEST 2015, Time: ,Wed Jun 10 18:00:00 CEST 2015, Event: ,Lithuania v Denmark, Favorite: ,Denmark, 602688   size:30.0,Price: ,1.06,Lithuania, 1165300   size:68.99,Price: ,10.0,Draw, 330157   size:7.62,Price: ,13.5,okokokokok
1.119117462, Sport: ,Tennis, Time: ,Wed Jun 10 14:45:00 CEST 2015, Time: ,Wed Jun 10 14:45:00 CEST 2015, Event: ,Fucsovics v Dutra Silva, Favorite: ,Marton Fucsovics, 4827766   size:7.85,Price: ,1.67,Rogerio Dutra Silva, 2301068   size:3.89,Price: ,2.28,okokokokok
1.119116774, Sport: ,Tennis, Time: ,Wed Jun 10 15:00:00 CEST 2015, Time: ,Wed Jun 10 15:00:00 CEST 2015, Event: ,Kontaveit v Drew, Favorite: ,Anett Kontaveit, 5300737   size:2.36,Price: ,1.03,Jazzamay Drew, 9148783   size:3.65,Price: ,15.5,okokokokok
1.119116772, Sport: ,Tennis, Time: ,Wed Jun 10 16:30:00 CEST 2015, Time: ,Wed Jun 10 16:30:00 CEST 2015, Event: ,Diatchenko v Bains, Favorite: ,Vitalia Diatchenko, 3674500   size:21.35,Price: ,1.13,Naiktha Bains, 8183101   size:4.53,Price: ,7.0,okokokokok
1.119066790, Sport: ,Basketball, Time: ,Wed Jun 10 07:00:00 CEST 2015, Time: ,Wed Jun 10 07:00:00 CEST 2015, Event: ,Indonesia v Philippines, Favorite: ,Philippines, 4096285   size:1461.39,Price: ,1.07,Indonesia, 4096289   size:5.87,Price: ,5.1,okokokokokok
1.119103542, Sport: ,Tennis, Time: ,Wed Jun 10 11:45:00 CEST 2015, Time: ,Wed Jun 10 11:45:00 CEST 2015, Event: ,Cilic/Moser v Bopanna/Mergea, Favorite: ,Bopanna/Mergea, 8890432   size:2.55,Price: ,1.55,Cilic/Moser, 9566323   size:3.08,Price: ,2.46,okokokokok
1.119118909, Sport: ,Tennis, Time: ,Wed Jun 10 12:00:00 CEST 2015, Time: ,Wed Jun 10 12:00:00 CEST 2015, Event: ,Saville v Milton, Favorite: ,Luke Saville, 6965426   size:6.19,Price: ,1.43,Joshua Milton, 3985858   size:14.05,Price: ,2.94,xxxxx
1.119121115, Sport: ,Tennis, Time: ,Wed Jun 10 13:45:00 CEST 2015, Time: ,Wed Jun 10 13:45:00 CEST 2015, Event: ,Yo Nishioka v Fabbiano, Favorite: ,Thomas Fabbiano, 3019240   size:4.12,Price: ,1.94,Yoshihito Nishioka, 7137497   size:5.76,Price: ,1.95,xxxxx
