1.119121326, Sport: ,Tennis, Time: ,Thu Jun 11 14:30:00 CEST 2015, Time: ,Thu Jun 11 14:30:00 CEST 2015, Event: ,J Melzer v Goffin, Favorite: ,David Goffin, 5224084   size:95.64,Price: ,1.59,Jurgen Melzer, 2256472   size:86.04,Price: ,2.54,okokokok
1.119121689, Sport: ,Tennis, Time: ,Thu Jun 11 19:30:00 CEST 2015, Time: ,Thu Jun 11 19:30:00 CEST 2015, Event: ,G Pella v Arnaboldi, Favorite: ,Guido Pella, 6162610   size:41.24,Price: ,1.46,Andrea Arnaboldi, 7593283   size:2.55,Price: ,2.86,okokokok
1.119121126, Sport: ,Tennis, Time: ,Thu Jun 11 15:45:00 CEST 2015, Time: ,Thu Jun 11 15:45:00 CEST 2015, Event: ,Koukalova v Ann Beck, Favorite: ,Klara Koukalova, 8445700   size:518.69,Price: ,1.89,Annika Beck, 4174996   size:442.67,Price: ,2.06,xxxx
1.119120998, Sport: ,Tennis, Time: ,Thu Jun 11 13:55:00 CEST 2015, Time: ,Thu Jun 11 13:55:00 CEST 2015, Event: ,T Haas v B Tomic, Favorite: ,Bernard Tomic, 3588868   size:3519.78,Price: ,1.54,Tommy Haas, 2256508   size:7.56,Price: ,2.82,okokokok
1.119129496, Sport: ,Tennis, Time: ,Thu Jun 11 12:00:00 CEST 2015, Time: ,Thu Jun 11 12:00:00 CEST 2015, Event: ,Yo Nishioka v Kudla, Favorite: ,Denis Kudla, 4829260   size:2.55,Price: ,1.37,Yoshihito Nishioka, 7137497   size:2.55,Price: ,3.35,okokokok
1.119124680, Sport: ,Tennis, Time: ,Thu Jun 11 12:30:00 CEST 2015, Time: ,Thu Jun 11 12:30:00 CEST 2015, Event: ,Kovalik v Montanes, Favorite: ,Albert Montanes, 2263599   size:5.0,Price: ,1.77,Jozef Kovalik, 7287668   size:39.2,Price: ,2.24,okokokok
1.119113935, Sport: ,Tennis, Time: ,Thu Jun 11 12:30:00 CEST 2015, Time: ,Thu Jun 11 12:30:00 CEST 2015, Event: ,Babos/Mladenovic v Bonaventure/Schuurs, Favorite: ,Babos/Mladenovic, 8242001   size:214.54,Price: ,1.21,Bonaventure/Schuurs, 9378838   size:5.75,Price: ,4.2,okokokok
1.119128561, Sport: ,Tennis, Time: ,Thu Jun 11 11:00:00 CEST 2015, Time: ,Thu Jun 11 11:00:00 CEST 2015, Event: ,Pavic/Venus v Bopanna/Mergea, Favorite: ,Bopanna/Mergea, 8890432   size:2.31,Price: ,1.51,Pavic/Venus, 9363716   size:3.6,Price: ,2.46,okokokokokokok
1.118847438, Sport: ,Basketball, Time: ,Thu Jun 11 17:00:00 CEST 2015, Time: ,Thu Jun 11 17:00:00 CEST 2015, Event: ,Poland (W) v Turkey (W), Favorite: ,Turkey (W), 6469561   size:2.55,Price: ,1.15,Poland (W), 6427244   size:2.0,Price: ,6.4,okokokok
1.118847435, Sport: ,Basketball, Time: ,Thu Jun 11 17:00:00 CEST 2015, Time: ,Thu Jun 11 17:00:00 CEST 2015, Event: ,Montenegro (W) v Czech Republic (W), Favorite: ,Montenegro (W), 6427234   size:4.76,Price: ,1.68,Czech Republic (W), 6469566   size:170.69,Price: ,2.28,okokokok
1.119121575, Sport: ,Tennis, Time: ,Thu Jun 11 12:30:00 CEST 2015, Time: ,Thu Jun 11 12:30:00 CEST 2015, Event: ,Bertens v Pavlyuchenkova, Favorite: ,Anastasia Pavlyuchenkov, 9438602   size:13.9,Price: ,1.45,Kiki Bertens, 5611697   size:12.29,Price: ,3.1,xxxx
1.119120288, Sport: ,Tennis, Time: ,Thu Jun 11 14:00:00 CEST 2015, Time: ,Thu Jun 11 14:00:00 CEST 2015, Event: ,J Sousa v Marchenko, Favorite: ,Joao Sousa, 7053035   size:142.46,Price: ,1.47,Illya Marchenko, 3691700   size:69.0,Price: ,2.96,xxxx
1.119129775, Sport: ,Tennis, Time: ,Thu Jun 11 13:30:00 CEST 2015, Time: ,Thu Jun 11 13:30:00 CEST 2015, Event: ,Jo Smith v B Klein, Favorite: ,Brydan Klein, 2759763   size:190.91,Price: ,1.84,John-Patrick Smith, 8243874   size:4.02,Price: ,1.99,okokokok
1.119053589, Sport: ,Baseball, Time: ,Thu Jun 11 18:10:00 CEST 2015, Time: ,Thu Jun 11 18:10:00 CEST 2015, Event: ,SD @ ATL, Favorite: ,Atlanta (J Teheran), 5530617   size:92.0,Price: ,1.89,San Diego (A Cashner), 6436041   size:92.0,Price: ,2.06,xxxx
1.119126208, Sport: ,Tennis, Time: ,Thu Jun 11 11:00:00 CEST 2015, Time: ,Thu Jun 11 11:00:00 CEST 2015, Event: ,Klaasen/Ram v Murray/Peers, Favorite: ,Murray/Peers, 7191922   size:75.21,Price: ,1.46,Klaasen/Ram, 9546313   size:72.0,Price: ,2.32,okokokokokokokok
1.119117117, Sport: ,Basketball, Time: ,Thu Jun 11 19:00:00 CEST 2015, Time: ,Thu Jun 11 19:00:00 CEST 2015, Event: ,Anadolu Efes v Pinar Karsiyaka, Favorite: ,Anadolu Efes, 5832279   size:2.55,Price: ,1.37,Pinar Karsiyaka, 631283   size:2.55,Price: ,3.35,xxxx
1.119120348, Sport: ,Tennis, Time: ,Thu Jun 11 13:30:00 CEST 2015, Time: ,Thu Jun 11 13:30:00 CEST 2015, Event: ,N Osaka v Knoll, Favorite: ,Naomi Osaka, 7640637   size:5.8,Price: ,1.38,Xenia Knoll, 7414060   size:2.57,Price: ,3.1,okokokok
1.119121635, Sport: ,Tennis, Time: ,Thu Jun 11 16:30:00 CEST 2015, Time: ,Thu Jun 11 16:30:00 CEST 2015, Event: ,Hlavackova v J Jankovic, Favorite: ,Jelena Jankovic, 2252607   size:374.09,Price: ,1.48,Andrea Hlavackova, 2405315   size:96.0,Price: ,2.88,okokokok
1.119129641, Sport: ,Tennis, Time: ,Thu Jun 11 14:15:00 CEST 2015, Time: ,Thu Jun 11 14:15:00 CEST 2015, Event: ,Fucsovics v Coppejans, Favorite: ,Kimmer Coppejans, 7364095   size:2.55,Price: ,1.48,Marton Fucsovics, 4827766   size:3.25,Price: ,2.72,okokokok
1.119126052, Sport: ,Tennis, Time: ,Thu Jun 11 16:45:00 CEST 2015, Time: ,Thu Jun 11 16:45:00 CEST 2015, Event: ,Milton v McGee, Favorite: ,James McGee, 7216252   size:178.91,Price: ,1.59,Joshua Milton, 3985858   size:132.09,Price: ,2.62,okokokok
1.119118917, Sport: ,Tennis, Time: ,Thu Jun 11 11:00:00 CEST 2015, Time: ,Thu Jun 11 11:00:00 CEST 2015, Event: ,Chiudinelli v A Mannarino, Favorite: ,Adrian Mannarino, 3066621   size:700.27,Price: ,1.28,Marco Chiudinelli, 2263632   size:58.75,Price: ,4.2,okokokok
1.119121288, Sport: ,Tennis, Time: ,Thu Jun 11 10:00:00 CEST 2015, Time: ,Thu Jun 11 10:00:00 CEST 2015, Event: ,Dzumhur v Dubarenco, Favorite: ,Damir Dzumhur, 7414058   size:27.42,Price: ,1.15,Maxim Dubarenco, 7797862   size:46.9,Price: ,6.6,okokokok
1.119121167, Sport: ,Tennis, Time: ,Thu Jun 11 11:00:00 CEST 2015, Time: ,Thu Jun 11 11:00:00 CEST 2015, Event: ,Bautista Agut v Mahut, Favorite: ,Roberto Bautista Agut, 4290403   size:239.64,Price: ,1.78,Nicolas Mahut, 2257317   size:13.29,Price: ,2.26,xxxx
1.119121484, Sport: ,Tennis, Time: ,Thu Jun 11 10:00:00 CEST 2015, Time: ,Thu Jun 11 10:00:00 CEST 2015, Event: ,Elgin v H Zeballos, Favorite: ,Horacio Zeballos, 3506037   size:40.5,Price: ,1.18,Mikhail Elgin, 5844509   size:3.4,Price: ,5.0,okokokok
1.119128510, Sport: ,Tennis, Time: ,Thu Jun 11 11:00:00 CEST 2015, Time: ,Thu Jun 11 11:00:00 CEST 2015, Event: ,Nedovyesov v T Daniel, Favorite: ,Taro Daniel, 8173434   size:5.98,Price: ,1.48,Aleksandr Nedovyesov, 8188266   size:3.22,Price: ,2.74,xxx
1.119121423, Sport: ,Tennis, Time: ,Thu Jun 11 11:45:00 CEST 2015, Time: ,Thu Jun 11 11:45:00 CEST 2015, Event: ,Khachanov v Donskoy, Favorite: ,Evgeny Donskoy, 3391304   size:4.08,Price: ,1.42,Karen Khachanov, 7659623   size:4.05,Price: ,3.05,ok
1.119118138, Sport: ,Tennis, Time: ,Thu Jun 11 15:40:00 CEST 2015, Time: ,Thu Jun 11 15:40:00 CEST 2015, Event: ,Nadal v M Baghdatis, Favorite: ,Rafael Nadal, 2251410   size:541.35,Price: ,1.26,Marcos Baghdatis, 2256469   size:5.77,Price: ,4.5,ok
1.119121228, Sport: ,Tennis, Time: ,Thu Jun 11 15:00:00 CEST 2015, Time: ,Thu Jun 11 15:00:00 CEST 2015, Event: ,E Ymer v Ma Gonzalez, Favorite: ,Maximo Gonzalez, 2489416   size:2.55,Price: ,1.69,Elias Ymer, 7414305   size:45.91,Price: ,2.26,x
