1.119136843, Sport: ,Tennis, Time: ,Fri Jun 12 17:24:00 CEST 2015, Time: ,Fri Jun 12 17:24:00 CEST 2015, Event: ,Riske v Wickmayer, Favorite: ,Alison Riske, 4566011   size:504.11,Price: ,1.62,Yanina Wickmayer, 2386943   size:60.29,Price: ,2.58,ok
1.119142815, Sport: ,Handball, Time: ,Fri Jun 12 18:00:00 CEST 2015, Time: ,Fri Jun 12 18:00:00 CEST 2015, Event: ,Kosovo (W) v Finland (W), Favorite: ,Finland (W), 8584949   size:100.0,Price: ,1.01,Draw, 330157   size:8.9,Price: ,32.0,ok
1.119129441, Sport: ,Tennis, Time: ,Fri Jun 12 17:25:00 CEST 2015, Time: ,Fri Jun 12 17:25:00 CEST 2015, Event: ,Troicki v Groth, Favorite: ,Viktor Troicki, 2263624   size:87.08,Price: ,1.86,Sam Groth, 8639819   size:24.84,Price: ,2.16,ok
1.119142763, Sport: ,Tennis, Time: ,Fri Jun 12 17:30:00 CEST 2015, Time: ,Fri Jun 12 17:30:00 CEST 2015, Event: ,Ana Konjuh v Vickery, Favorite: ,Ana Konjuh, 8173632   size:996.63,Price: ,1.31,Sachia Vickery, 6596286   size:186.84,Price: ,4.1,ok
1.119084041, Sport: ,Baseball, Time: ,Sat Jun 13 01:10:00 CEST 2015, Time: ,Sat Jun 13 01:10:00 CEST 2015, Event: ,ATL @ NYM, Favorite: ,NY Mets (B Colon), 8432627   size:550.0,Price: ,1.87,Atlanta (A Wood), 7368437   size:464.0,Price: ,2.02,ok
1.119084065, Sport: ,Baseball, Time: ,Sat Jun 13 02:05:00 CEST 2015, Time: ,Sat Jun 13 02:05:00 CEST 2015, Event: ,MIN @ TEX, Favorite: ,Texas (W Rodriguez), 9429563   size:275.0,Price: ,1.76,Minnesota (T Milone), 8767527   size:1055.0,Price: ,2.14,ok
1.119091769, Sport: ,Cricket, Time: ,Fri Jun 12 19:30:00 CEST 2015, Time: ,Fri Jun 12 19:30:00 CEST 2015, Event: ,Warwickshire v Nottinghamshire, Favorite: ,Nottinghamshire, 2780   size:2.71,Price: ,1.82,Warwickshire, 2120   size:42.51,Price: ,2.1,x
1.118847483, Sport: ,Basketball, Time: ,Fri Jun 12 19:00:00 CEST 2015, Time: ,Fri Jun 12 19:00:00 CEST 2015, Event: ,Great Britain (W) v Russia (W), Favorite: ,Russia (W), 7306785   size:45.29,Price: ,1.07,Great Britain (W), 7306786   size:11.64,Price: ,10.0,ok
1.119084049, Sport: ,Baseball, Time: ,Sat Jun 13 01:10:00 CEST 2015, Time: ,Sat Jun 13 01:10:00 CEST 2015, Event: ,COL @ MIA, Favorite: ,Miami (J Urena), 9521925   size:468.0,Price: ,1.72,Colorado (K Kendrick), 9378789   size:107.0,Price: ,2.28,ok
1.119084105, Sport: ,Baseball, Time: ,Sat Jun 13 04:10:00 CEST 2015, Time: ,Sat Jun 13 04:10:00 CEST 2015, Event: ,LAD @ SD, Favorite: ,LA Dodgers (C Kershaw), 3068257   size:530.0,Price: ,1.46,San Diego (O Despaigne), 8643885   size:2.62,Price: ,3.05,ok
1.119111050, Sport: ,Basketball, Time: ,Sat Jun 13 02:30:00 CEST 2015, Time: ,Sat Jun 13 02:30:00 CEST 2015, Event: ,Quilmes v Obras, Favorite: ,Quilmes, 7753472   size:75.37,Price: ,1.75,Obras, 6269780   size:4.08,Price: ,2.18,ok
