1.119128718, Sport: ,Tennis, Time: ,Fri Jun 12 12:30:00 CEST 2015, Time: ,Fri Jun 12 12:30:00 CEST 2015, Event: ,Karlovic v R Haase, Favorite: ,Ivo Karlovic, 2263570   size:803.24,Price: ,1.59,Robin Haase, 2309796   size:53.86,Price: ,2.64,x
1.119137678, Sport: ,Tennis, Time: ,Fri Jun 12 13:00:00 CEST 2015, Time: ,Fri Jun 12 13:00:00 CEST 2015, Event: ,Diatchenko v Paszek, Favorite: ,Tamira Paszek, 2263715   size:4.32,Price: ,1.85,Vitalia Diatchenko, 3674500   size:31.84,Price: ,2.06,x
1.118847479, Sport: ,Basketball, Time: ,Fri Jun 12 17:00:00 CEST 2015, Time: ,Fri Jun 12 17:00:00 CEST 2015, Event: ,Greece (W) v Italy (W), Favorite: ,Italy (W), 6427225   size:3.73,Price: ,1.55,Greece (W), 6427246   size:5.3,Price: ,2.56,x
1.119126029, Sport: ,Tennis, Time: ,Fri Jun 12 11:45:00 CEST 2015, Time: ,Fri Jun 12 11:45:00 CEST 2015, Event: ,M Granollers v Munoz-De La Nava, Favorite: ,Marcel Granollers, 3035263   size:9.86,Price: ,1.36,Daniel Munoz-de la Nava, 8259000   size:2.92,Price: ,3.05,x
1.118847475, Sport: ,Basketball, Time: ,Fri Jun 12 17:00:00 CEST 2015, Time: ,Fri Jun 12 17:00:00 CEST 2015, Event: ,Czech Republic (W) v Ukraine (W), Favorite: ,Czech Republic (W), 6469566   size:2.55,Price: ,1.23,Ukraine (W), 6427226   size:40.09,Price: ,4.6,ok
1.119137583, Sport: ,Tennis, Time: ,Fri Jun 12 14:00:00 CEST 2015, Time: ,Fri Jun 12 14:00:00 CEST 2015, Event: ,Rojer/Tecau v Karlovic/Kubot, Favorite: ,Rojer/Tecau, 8176467   size:2.55,Price: ,1.56,Karlovic/Kubot, 9566090   size:94.82,Price: ,2.36,x
1.119128706, Sport: ,Tennis, Time: ,Fri Jun 12 11:00:00 CEST 2015, Time: ,Fri Jun 12 11:00:00 CEST 2015, Event: ,Shvedova v Giorgi, Favorite: ,Camila Giorgi, 5619012   size:71.44,Price: ,1.78,Yaroslava Shvedova, 2263713   size:644.02,Price: ,2.26,ok
1.119142318, Sport: ,Tennis, Time: ,Fri Jun 12 14:30:00 CEST 2015, Time: ,Fri Jun 12 14:30:00 CEST 2015, Event: ,N Osaka v S Hsieh, Favorite: ,Su-Wei Hsieh, 8244521   size:18.28,Price: ,1.38,Naomi Osaka, 7640637   size:8.48,Price: ,2.96,x
1.119136770, Sport: ,Tennis, Time: ,Fri Jun 12 11:00:00 CEST 2015, Time: ,Fri Jun 12 11:00:00 CEST 2015, Event: ,Vandeweghe v Bertens, Favorite: ,Coco Vandeweghe, 8781569   size:147.11,Price: ,1.45,Kiki Bertens, 5611697   size:52.28,Price: ,3.05,x
1.119136650, Sport: ,Tennis, Time: ,Fri Jun 12 14:15:00 CEST 2015, Time: ,Fri Jun 12 14:15:00 CEST 2015, Event: ,K Mladenovic v Bencic, Favorite: ,Belinda Bencic, 6390244   size:444.76,Price: ,1.62,Kristina Mladenovic, 3622052   size:17.46,Price: ,2.58,ok
1.119129441, Sport: ,Tennis, Time: ,Fri Jun 12 17:25:00 CEST 2015, Time: ,Fri Jun 12 17:25:00 CEST 2015, Event: ,Troicki v Groth, Favorite: ,Viktor Troicki, 2263624   size:13.8,Price: ,1.77,Sam Groth, 8639819   size:1786.87,Price: ,2.26,ok
