1.119155328, Sport: ,Tennis, Time: ,Sat Jun 13 12:45:00 CEST 2015, Time: ,Sat Jun 13 12:45:00 CEST 2015, Event: ,Teixeira v Blancaneaux, Favorite: ,Maxime Teixeira, 5321113   size:83.2,Price: ,1.02,Geoffrey Blancaneaux, 9196749   size:45.31,Price: ,7.2,ok
1.119155334, Sport: ,Tennis, Time: ,Sat Jun 13 12:45:00 CEST 2015, Time: ,Sat Jun 13 12:45:00 CEST 2015, Event: ,G Escobar v Andrieu, Favorite: ,Pierre Andrieu, 9598947   size:8.87,Price: ,1.03,x
1.119155279, Sport: ,Tennis, Time: ,Sat Jun 13 13:45:00 CEST 2015, Time: ,Sat Jun 13 13:45:00 CEST 2015, Event: ,B Klein v Darcis, Favorite: ,Steve Darcis, 2481589   size:2.54,Price: ,1.61,Brydan Klein, 2759763   size:5.76,Price: ,2.48,x
1.119155156, Sport: ,Tennis, Time: ,Sat Jun 13 12:45:00 CEST 2015, Time: ,Sat Jun 13 12:45:00 CEST 2015, Event: ,Heras v Santini, Favorite: ,Lorenzo Santini, 8661108   size:8.87,Price: ,1.03,x
1.119155287, Sport: ,Tennis, Time: ,Sat Jun 13 13:45:00 CEST 2015, Time: ,Sat Jun 13 13:45:00 CEST 2015, Event: ,Smyczek v J Donaldson, Favorite: ,Tim Smyczek, 2848631   size:32.31,Price: ,1.63,Jared Donaldson, 7413423   size:2.38,Price: ,2.44,x
1.119155340, Sport: ,Tennis, Time: ,Sat Jun 13 14:30:00 CEST 2015, Time: ,Sat Jun 13 14:30:00 CEST 2015, Event: ,F Robert v Tabatruong, Favorite: ,Maxime Tabatruong, 8859042   size:83.2,Price: ,1.02,ok
1.119155294, Sport: ,Tennis, Time: ,Sat Jun 13 13:45:00 CEST 2015, Time: ,Sat Jun 13 13:45:00 CEST 2015, Event: ,Hy Chung v P Mathieu, Favorite: ,Paul-Henri Mathieu, 8259186   size:5.65,Price: ,1.79,Hyeon Chung, 7690576   size:8.5,Price: ,2.04,ok
1.119155283, Sport: ,Tennis, Time: ,Sat Jun 13 13:45:00 CEST 2015, Time: ,Sat Jun 13 13:45:00 CEST 2015, Event: ,Duckworth v Ilhan, Favorite: ,James Duckworth, 6064287   size:3.53,Price: ,1.69,Marsel Ilhan, 4147957   size:23.63,Price: ,2.34,x
1.119149741, Sport: ,Tennis, Time: ,Sat Jun 13 14:00:00 CEST 2015, Time: ,Sat Jun 13 14:00:00 CEST 2015, Event: ,Jankovic/Pavlyuchenkova v Muhammad/Siegemund, Favorite: ,Jankovic/Pavlyuchenkova, 9568201   size:2.54,Price: ,1.39,Muhammad/Siegemund, 9568210   size:2.54,Price: ,2.82,x
1.119155136, Sport: ,Tennis, Time: ,Sat Jun 13 11:00:00 CEST 2015, Time: ,Sat Jun 13 11:00:00 CEST 2015, Event: ,Codovini v Caligiana, Favorite: ,Andrea Caligiana, 9598897   size:8.87,Price: ,1.03,ok
1.119155322, Sport: ,Tennis, Time: ,Sat Jun 13 11:00:00 CEST 2015, Time: ,Sat Jun 13 11:00:00 CEST 2015, Event: ,Niesten v Roumane, Favorite: ,Miliaan Niesten, 9300628   size:2.54,Price: ,1.05,Rayane Roumane, 9598943   size:50.1,Price: ,6.6,ok
