1.119008396, Sport: ,Basketball, Time: ,Sun Jun 14 23:00:00 CEST 2015, Time: ,Sun Jun 14 23:00:00 CEST 2015, Event: ,Seattle @ Los Angeles, Favorite: ,Los Angeles, 3213264   size:3484.12,Price: ,1.47,Seattle, 13130   size:4.74,Price: ,3.0,x
1.119008399, Sport: ,Basketball, Time: ,Mon Jun 15 00:00:00 CEST 2015, Time: ,Mon Jun 15 00:00:00 CEST 2015, Event: ,Washington @ New York, Favorite: ,New York, 13106   size:8.18,Price: ,1.56,Washington, 13105   size:2.55,Price: ,2.58,x
1.119144777, Sport: ,Basketball, Time: ,Sun Jun 14 20:45:00 CEST 2015, Time: ,Sun Jun 14 20:45:00 CEST 2015, Event: ,Reggio Emilia v Dinamo Sassari, Favorite: ,Reggio Emilia, 958950   size:3.94,Price: ,1.73,Dinamo Sassari, 5520916   size:735.0,Price: ,2.1,ok
1.119008387, Sport: ,Basketball, Time: ,Sun Jun 14 21:00:00 CEST 2015, Time: ,Sun Jun 14 21:00:00 CEST 2015, Event: ,Atlanta @ Connecticut, Favorite: ,Atlanta, 13114   size:88.54,Price: ,1.78,Connecticut, 332194   size:33.84,Price: ,2.2,x
1.119008393, Sport: ,Basketball, Time: ,Sun Jun 14 22:30:00 CEST 2015, Time: ,Sun Jun 14 22:30:00 CEST 2015, Event: ,Tulsa @ San Antonio, Favorite: ,San Antonio, 13121   size:3.01,Price: ,1.6,Tulsa, 711056   size:2.75,Price: ,2.54,x
1.119040563, Sport: ,Snooker, Time: ,Mon Jun 15 06:30:00 CEST 2015, Time: ,Mon Jun 15 06:30:00 CEST 2015, Event: ,Australia v Qatar, Favorite: ,Australia, 5674298   size:683.04,Price: ,1.11,Qatar, 9546437   size:2.9,Price: ,6.8,ok
1.119040564, Sport: ,Snooker, Time: ,Mon Jun 15 06:30:00 CEST 2015, Time: ,Mon Jun 15 06:30:00 CEST 2015, Event: ,Wales v Pakistan, Favorite: ,Wales, 20129   size:4.14,Price: ,1.15,Pakistan, 5674280   size:12.79,Price: ,6.4,ok
1.119040567, Sport: ,Snooker, Time: ,Mon Jun 15 08:30:00 CEST 2015, Time: ,Mon Jun 15 08:30:00 CEST 2015, Event: ,Republic of Ireland v China B, Favorite: ,Republic of Ireland, 5674272   size:27.03,Price: ,1.74,China B, 9546432   size:150.15,Price: ,2.22,x
1.119130141, Sport: ,Baseball, Time: ,Sun Jun 14 21:35:00 CEST 2015, Time: ,Sun Jun 14 21:35:00 CEST 2015, Event: ,OAK @ LAA, Favorite: ,Oakland (S Gray), 7569852   size:523.79,Price: ,1.9,LA Angels (M Shoemaker), 7683114   size:107.29,Price: ,2.1,ok
1.119040568, Sport: ,Snooker, Time: ,Mon Jun 15 08:30:00 CEST 2015, Time: ,Mon Jun 15 08:30:00 CEST 2015, Event: ,UAE v Germany, Favorite: ,Germany, 5674278   size:30.72,Price: ,1.71,UAE, 5674299   size:160.66,Price: ,2.2,ok
1.119130133, Sport: ,Baseball, Time: ,Sun Jun 14 21:05:00 CEST 2015, Time: ,Sun Jun 14 21:05:00 CEST 2015, Event: ,MIN @ TEX, Favorite: ,Texas (N Martinez), 8443034   size:491.0,Price: ,1.87,Minnesota (P Hughes), 8436206   size:72.29,Price: ,2.1,x
1.119040565, Sport: ,Snooker, Time: ,Mon Jun 15 06:30:00 CEST 2015, Time: ,Mon Jun 15 06:30:00 CEST 2015, Event: ,Poland v Northern Ireland, Favorite: ,Northern Ireland, 5674271   size:431.68,Price: ,1.16,Poland, 5674281   size:6.15,Price: ,5.8,ok
1.119156324, Sport: ,Tennis, Time: ,Mon Jun 15 07:00:00 CEST 2015, Time: ,Mon Jun 15 07:00:00 CEST 2015, Event: ,Setkic v Shofayziyev, Favorite: ,Aldin Setkic, 7366936   size:2.55,Price: ,1.07,Shonigmatjon Shofayziye, 9455062   size:6.21,Price: ,9.0,ok
1.119040566, Sport: ,Snooker, Time: ,Mon Jun 15 08:30:00 CEST 2015, Time: ,Mon Jun 15 08:30:00 CEST 2015, Event: ,England v Thailand, Favorite: ,England, 20130   size:5.0,Price: ,1.32,Thailand, 20133   size:5.0,Price: ,3.7,x
1.119130157, Sport: ,Baseball, Time: ,Sun Jun 14 22:10:00 CEST 2015, Time: ,Sun Jun 14 22:10:00 CEST 2015, Event: ,LAD @ SD, Favorite: ,LA Dodgers (M Bolsinger), 9427456   size:271.0,Price: ,1.89,San Diego (J Shields), 9378795   size:263.0,Price: ,2.06,ok
1.119130149, Sport: ,Baseball, Time: ,Sun Jun 14 22:05:00 CEST 2015, Time: ,Sun Jun 14 22:05:00 CEST 2015, Event: ,ARI @ SF, Favorite: ,San Francisco (C Heston), 8875870   size:396.61,Price: ,1.78,Arizona (R De La Rosa), 9382117   size:108.29,Price: ,2.24,x
1.119008390, Sport: ,Basketball, Time: ,Sun Jun 14 21:00:00 CEST 2015, Time: ,Sun Jun 14 21:00:00 CEST 2015, Event: ,Minnesota @ Phoenix, Favorite: ,Minnesota, 13118   size:138.14,Price: ,1.26,Phoenix, 13128   size:29.9,Price: ,4.2,x
1.119130165, Sport: ,Baseball, Time: ,Mon Jun 15 02:08:00 CEST 2015, Time: ,Mon Jun 15 02:08:00 CEST 2015, Event: ,CIN @ CHC, Favorite: ,Chicago Cubs (J Lester), 9377609   size:305.99,Price: ,1.66,Cincinnati (A DeSclafani), 9385641   size:120.79,Price: ,2.42,ok
