1.119157082, Sport: ,Tennis, Time: ,Mon Jun 15 18:00:00 CEST 2015, Time: ,Mon Jun 15 18:00:00 CEST 2015, Event: ,Y Mertens v Alejandro Gonzalez, Favorite: ,Alejandro Gonzalez, 6604262   size:8.6,Price: ,1.28,Yannick Mertens, 4521608   size:25.59,Price: ,3.75,ok
1.119167085, Sport: ,Tennis, Time: ,Mon Jun 15 18:00:00 CEST 2015, Time: ,Mon Jun 15 18:00:00 CEST 2015, Event: ,Volandri v J Witten, Favorite: ,Filippo Volandri, 2256483   size:190.57,Price: ,1.27,Jesse Witten, 2310681   size:18.01,Price: ,4.4,ok
1.119136203, Sport: ,Rugby Union, Time: ,Mon Jun 15 18:30:00 CEST 2015, Time: ,Mon Jun 15 18:30:00 CEST 2015, Event: ,Samoa U20 v Japan U20, Favorite: ,Samoa U20, 7324017   size:898.09,Price: ,1.03,Japan U20, 9495062   size:3.38,Price: ,12.5,Draw, 246289   size:69.19,Price: ,48.0,x
1.119167081, Sport: ,Tennis, Time: ,Mon Jun 15 17:48:00 CEST 2015, Time: ,Mon Jun 15 17:48:00 CEST 2015, Event: ,R Marcora v Ad Virgili, Favorite: ,Roberto Marcora, 7412952   size:95.31,Price: ,1.59,Adelchi Virgili, 8288060   size:4.19,Price: ,2.62,ok
1.119170280, Sport: ,Tennis, Time: ,Mon Jun 15 18:00:00 CEST 2015, Time: ,Mon Jun 15 18:00:00 CEST 2015, Event: ,S Zheng v Larcher De Brito, Favorite: ,Michelle Larcher de Bri, 9283774   size:5640.8,Price: ,1.54,Saisai Zheng, 5829453   size:112.49,Price: ,2.8,ok
1.119159790, Sport: ,Tennis, Time: ,Mon Jun 15 17:47:00 CEST 2015, Time: ,Mon Jun 15 17:47:00 CEST 2015, Event: ,Rojer/Tecau v Berdych/Vesely, Favorite: ,Rojer/Tecau, 8176467   size:21.38,Price: ,1.41,Berdych/Vesely, 9608057   size:2.07,Price: ,2.62,ok
1.119157393, Sport: ,Tennis, Time: ,Mon Jun 15 18:45:00 CEST 2015, Time: ,Mon Jun 15 18:45:00 CEST 2015, Event: ,Querrey v G Dimitrov, Favorite: ,Grigor Dimitrov, 3120169   size:2836.49,Price: ,1.37,Sam Querrey, 2263560   size:89.14,Price: ,3.6,ok
1.119159098, Sport: ,Tennis, Time: ,Mon Jun 15 18:00:00 CEST 2015, Time: ,Mon Jun 15 18:00:00 CEST 2015, Event: ,Pironkova v Swan, Favorite: ,Tsvetana Pironkova, 2263606   size:668.11,Price: ,1.12,Katie Swan, 9607742   size:39.58,Price: ,8.6,ok
1.119136199, Sport: ,Rugby Union, Time: ,Mon Jun 15 18:30:00 CEST 2015, Time: ,Mon Jun 15 18:30:00 CEST 2015, Event: ,New Zealand U20 v France U20, Favorite: ,New Zealand U20, 7323988   size:23.87,Price: ,1.26,France U20, 2893966   size:8.1,Price: ,5.3,Draw, 246289   size:7.34,Price: ,24.0,ok
1.119157906, Sport: ,Tennis, Time: ,Mon Jun 15 17:51:00 CEST 2015, Time: ,Mon Jun 15 17:51:00 CEST 2015, Event: ,Federer v Kohlschreiber, Favorite: ,Roger Federer, 2251402   size:36174.99,Price: ,1.16,Philipp Kohlschreiber, 2257302   size:364.57,Price: ,6.4,ok
1.119121225, Sport: ,Basketball, Time: ,Tue Jun 16 00:45:00 CEST 2015, Time: ,Tue Jun 16 00:45:00 CEST 2015, Event: ,Antigua v Guyana, Favorite: ,Guyana, 9582143   size:5.0,Price: ,1.04,x
