1.119121225, Sport: ,Basketball, Time: ,Tue Jun 16 00:45:00 CEST 2015, Time: ,Tue Jun 16 00:45:00 CEST 2015, Event: ,Antigua v Guyana, Favorite: ,Guyana, 9582143   size:5.0,Price: ,1.04,Antigua, 9582142   size:2599.41,Price: ,1.05,x
1.119130181, Sport: ,Baseball, Time: ,Tue Jun 16 01:05:00 CEST 2015, Time: ,Tue Jun 16 01:05:00 CEST 2015, Event: ,PHI @ BAL, Favorite: ,Baltimore (W Chen), 6298659   size:332.59,Price: ,1.51,Philadelphia (A Harang), 9385113   size:348.7,Price: ,2.82,ok
1.119130221, Sport: ,Baseball, Time: ,Tue Jun 16 01:10:00 CEST 2015, Time: ,Tue Jun 16 01:10:00 CEST 2015, Event: ,WSH @ TB, Favorite: ,Tampa Bay (E Ramirez), 9402383   size:477.12,Price: ,1.93,Washington (G Gonzalez), 6292847   size:311.0,Price: ,1.99,ok
1.119130213, Sport: ,Baseball, Time: ,Tue Jun 16 01:10:00 CEST 2015, Time: ,Tue Jun 16 01:10:00 CEST 2015, Event: ,NYY @ MIA, Favorite: ,NY Yankees (M Tanaka), 8439277   size:340.0,Price: ,1.71,Miami (T Koehler), 6720895   size:67.16,Price: ,2.34,x
1.119142190, Sport: ,Basketball, Time: ,Mon Jun 15 21:00:00 CEST 2015, Time: ,Mon Jun 15 21:00:00 CEST 2015, Event: ,Partizan v Crvena Zvezda, Favorite: ,Crvena Zvezda, 1275898   size:3074.55,Price: ,1.01,Partizan, 266286   size:2.0,Price: ,1.2,ok
1.119130173, Sport: ,Baseball, Time: ,Tue Jun 16 01:10:00 CEST 2015, Time: ,Tue Jun 16 01:10:00 CEST 2015, Event: ,ATL @ BOS, Favorite: ,Boston (R Porcello), 9385112   size:472.0,Price: ,1.59,Atlanta (W Perez), 9502348   size:9.18,Price: ,2.6,x
1.119130197, Sport: ,Baseball, Time: ,Tue Jun 16 01:08:00 CEST 2015, Time: ,Tue Jun 16 01:08:00 CEST 2015, Event: ,CIN @ DET, Favorite: ,Detroit (A Sanchez), 6546455   size:342.9,Price: ,1.52,Cincinnati (J Moscot), 9564926   size:94.99,Price: ,2.78,ok
1.119130189, Sport: ,Baseball, Time: ,Tue Jun 16 01:05:00 CEST 2015, Time: ,Tue Jun 16 01:05:00 CEST 2015, Event: ,CWS @ PIT, Favorite: ,Pittsburgh (F Liriano), 7267454   size:545.47,Price: ,1.59,Chicago White Sox (C Rodon), 9469946   size:279.0,Price: ,2.56,ok
1.119130205, Sport: ,Baseball, Time: ,Tue Jun 16 01:10:00 CEST 2015, Time: ,Tue Jun 16 01:10:00 CEST 2015, Event: ,TOR @ NYM, Favorite: ,NY Mets (N Syndergaard), 9477745   size:40.97,Price: ,1.86,Toronto (M Buehrle), 7177273   size:101.0,Price: ,2.14,ok
1.119121222, Sport: ,Basketball, Time: ,Mon Jun 15 21:15:00 CEST 2015, Time: ,Mon Jun 15 21:15:00 CEST 2015, Event: ,Bahamas v Bermuda, Favorite: ,Bahamas, 6425174   size:12.0,Price: ,1.05,Bermuda, 9582141   size:6.0,Price: ,1.36,ok
1.119168232, Sport: ,Baseball, Time: ,Tue Jun 16 02:15:00 CEST 2015, Time: ,Tue Jun 16 02:15:00 CEST 2015, Event: ,MIN @ STL, Favorite: ,St Louis (J Lackey), 8750362   size:192.35,Price: ,1.67,Minnesota (T May), 8764796   size:348.0,Price: ,2.4,ok
1.119156295, Sport: ,Tennis, Time: ,Tue Jun 16 08:45:00 CEST 2015, Time: ,Tue Jun 16 08:45:00 CEST 2015, Event: ,Saidkarimov v Shyla, Favorite: ,Yaraslav Shyla, 8520676   size:25.72,Price: ,1.07,Saida'Lo Saidkarimov, 9606278   size:4.43,Price: ,8.8,ok
1.119130285, Sport: ,Baseball, Time: ,Tue Jun 16 04:15:00 CEST 2015, Time: ,Tue Jun 16 04:15:00 CEST 2015, Event: ,SEA @ SF, Favorite: ,San Francisco (T Hudson), 8432632   size:280.82,Price: ,1.92,Seattle (T Walker), 7617352   size:98.27,Price: ,2.06,x
1.119040578, Sport: ,Snooker, Time: ,Tue Jun 16 07:00:00 CEST 2015, Time: ,Tue Jun 16 07:00:00 CEST 2015, Event: ,Norway v Malta, Favorite: ,Malta, 20134   size:5.41,Price: ,1.48,Norway, 9546433   size:2.92,Price: ,2.74,ok
1.119040579, Sport: ,Snooker, Time: ,Tue Jun 16 07:00:00 CEST 2015, Time: ,Tue Jun 16 07:00:00 CEST 2015, Event: ,India v Austria, Favorite: ,India, 5674279   size:5.0,Price: ,1.08,Austria, 9546434   size:52.47,Price: ,7.4,ok
