1.119158151, Sport: ,Tennis, Time: ,Mon Jun 15 12:00:00 CEST 2015, Time: ,Mon Jun 15 12:00:00 CEST 2015, Event: ,D Young v Coric, Favorite: ,Donald Young, 2345091   size:27.06,Price: ,1.78,Borna Coric, 7446579   size:57.06,Price: ,2.24,x
1.119159086, Sport: ,Tennis, Time: ,Mon Jun 15 12:00:00 CEST 2015, Time: ,Mon Jun 15 12:00:00 CEST 2015, Event: ,Dellacqua v L Davis, Favorite: ,Casey Dellacqua, 2256494   size:29.86,Price: ,1.87,Lauren Davis, 4176991   size:25.65,Price: ,2.08,ok
1.119167031, Sport: ,Tennis, Time: ,Mon Jun 15 13:00:00 CEST 2015, Time: ,Mon Jun 15 13:00:00 CEST 2015, Event: ,Reix v Soler-Espinosa, Favorite: ,Silvia Soler-Espinosa, 8306313   size:1735.54,Price: ,1.11,Sherazad Reix, 9610851   size:11.19,Price: ,5.6,ok
1.119157042, Sport: ,Tennis, Time: ,Mon Jun 15 13:00:00 CEST 2015, Time: ,Mon Jun 15 13:00:00 CEST 2015, Event: ,De Greef v P Sousa, Favorite: ,Arthur De Greef, 7287672   size:2.55,Price: ,1.49,Pedro Sousa, 2395048   size:16.77,Price: ,2.72,ok
1.119157000, Sport: ,Tennis, Time: ,Mon Jun 15 10:30:00 CEST 2015, Time: ,Mon Jun 15 10:30:00 CEST 2015, Event: ,Simcak v Horansky, Favorite: ,Filip Horansky, 4596961   size:17.9,Price: ,1.06,Juraj Simcak, 9606422   size:25.04,Price: ,9.8,ok
1.119156331, Sport: ,Tennis, Time: ,Mon Jun 15 08:45:00 CEST 2015, Time: ,Mon Jun 15 08:45:00 CEST 2015, Event: ,Elgin v Kudryavtsev, Favorite: ,Alexander Kudryavtsev, 5908538   size:6.87,Price: ,1.49,Mikhail Elgin, 5844509   size:3.22,Price: ,2.94,ok
1.119159798, Sport: ,Tennis, Time: ,Mon Jun 15 12:00:00 CEST 2015, Time: ,Mon Jun 15 12:00:00 CEST 2015, Event: ,Cuevas/Marrero v Gulbis/Thiem, Favorite: ,Cuevas/Marrero, 8491495   size:5.26,Price: ,1.52,Gulbis/Thiem, 8890440   size:3.85,Price: ,2.46,ok
1.119157006, Sport: ,Tennis, Time: ,Mon Jun 15 10:30:00 CEST 2015, Time: ,Mon Jun 15 10:30:00 CEST 2015, Event: ,Mertl v Ghem, Favorite: ,Andre Ghem, 5304700   size:19.21,Price: ,1.28,Jan Mertl, 3034493   size:2.13,Price: ,3.75,ok
1.119161306, Sport: ,Tennis, Time: ,Mon Jun 15 12:00:00 CEST 2015, Time: ,Mon Jun 15 12:00:00 CEST 2015, Event: ,Donati v Zemlja, Favorite: ,Grega Zemlja, 3509269   size:2.55,Price: ,1.44,Matteo Donati, 8285864   size:7.16,Price: ,2.72,ok
1.119162428, Sport: ,Tennis, Time: ,Mon Jun 15 12:15:00 CEST 2015, Time: ,Mon Jun 15 12:15:00 CEST 2015, Event: ,G Melzer v Androic, Favorite: ,Gerald Melzer, 4876705   size:21.93,Price: ,1.35,Toni Androic, 8194189   size:2.46,Price: ,3.25,ok
1.119162887, Sport: ,Tennis, Time: ,Mon Jun 15 13:30:00 CEST 2015, Time: ,Mon Jun 15 13:30:00 CEST 2015, Event: ,Kulichkova v Doi, Favorite: ,Misaki Doi, 4729711   size:26.44,Price: ,1.52,Elizaveta Kulichkova, 7795296   size:99.0,Price: ,2.2,ok
1.119168119, Sport: ,Tennis, Time: ,Mon Jun 15 13:30:00 CEST 2015, Time: ,Mon Jun 15 13:30:00 CEST 2015, Event: ,Ze Zhang v Saville, Favorite: ,Luke Saville, 6965426   size:11.14,Price: ,1.08,ok
