1.119173727, Sport: ,Tennis, Time: ,Wed Jun 17 06:30:00 CEST 2015, Time: ,Wed Jun 17 06:30:00 CEST 2015, Event: ,K Ahn v M Inoue, Favorite: ,Kristie Ahn, 7445679   size:12.72,Price: ,1.41,Miyabi Inoue, 8839053   size:14.5,Price: ,3.0,ok
1.119170413, Sport: ,Tennis, Time: ,Wed Jun 17 06:30:00 CEST 2015, Time: ,Wed Jun 17 06:30:00 CEST 2015, Event: ,Lertpitaksinchai v Lukic, Favorite: ,Vojislava Lukic, 9028631   size:6.14,Price: ,1.57,Nicha Lertpitaksinchai, 3673415   size:3.96,Price: ,2.44,ok
1.119173724, Sport: ,Tennis, Time: ,Wed Jun 17 07:00:00 CEST 2015, Time: ,Wed Jun 17 07:00:00 CEST 2015, Event: ,M Ayukawa v J Choi, Favorite: ,Ji-Hee Choi, 8839153   size:5.13,Price: ,1.88,Mana Ayukawa, 7683134   size:5.05,Price: ,1.91,ok
1.119157444, Sport: ,Tennis, Time: ,Tue Jun 16 19:15:00 CEST 2015, Time: ,Tue Jun 16 19:15:00 CEST 2015, Event: ,Ma Cilic v A Mannarino, Favorite: ,Marin Cilic, 2263681   size:737.69,Price: ,1.36,Adrian Mannarino, 3066621   size:279.19,Price: ,3.7,ok
1.119159667, Sport: ,Tennis, Time: ,Tue Jun 16 21:00:00 CEST 2015, Time: ,Tue Jun 16 21:00:00 CEST 2015, Event: ,Peya/Soares v Inglot/Murray, Favorite: ,Peya/Soares, 6504095   size:82.81,Price: ,1.52,Inglot/Murray, 9296439   size:6.89,Price: ,2.46,ok
1.119130317, Sport: ,Baseball, Time: ,Tue Jun 16 21:45:00 CEST 2015, Time: ,Tue Jun 16 21:45:00 CEST 2015, Event: ,SEA @ SF, Favorite: ,San Francisco (T Lincecum), 2403237   size:110.0,Price: ,1.9,Seattle (J Happ), 9520039   size:285.0,Price: ,2.06,ok
1.119121295, Sport: ,Basketball, Time: ,Tue Jun 16 20:00:00 CEST 2015, Time: ,Tue Jun 16 20:00:00 CEST 2015, Event: ,Suriname v Antigua, Favorite: ,Antigua, 9582142   size:14.0,Price: ,1.05,Suriname, 9582187   size:2618.61,Price: ,1.33,ok
1.119121298, Sport: ,Basketball, Time: ,Tue Jun 16 22:15:00 CEST 2015, Time: ,Tue Jun 16 22:15:00 CEST 2015, Event: ,Barbados v St Vincent Grenadines, Favorite: ,Barbados, 9582188   size:5.0,Price: ,1.03,St Vincent Grenadines, 4846292   size:5.0,Price: ,1.04,x
1.119170403, Sport: ,Tennis, Time: ,Wed Jun 17 06:30:00 CEST 2015, Time: ,Wed Jun 17 06:30:00 CEST 2015, Event: ,S Lee v X Han, Favorite: ,Xinyun Han, 3172285   size:72.88,Price: ,1.47,So-Ra Lee, 8839149   size:6.29,Price: ,2.74,ok
1.119040627, Sport: ,Snooker, Time: ,Wed Jun 17 07:00:00 CEST 2015, Time: ,Wed Jun 17 07:00:00 CEST 2015, Event: ,Australia v Northern Ireland, Favorite: ,Australia, 5674298   size:115.94,Price: ,1.66,Northern Ireland, 5674271   size:3.28,Price: ,2.44,ok
1.119170405, Sport: ,Tennis, Time: ,Wed Jun 17 06:30:00 CEST 2015, Time: ,Wed Jun 17 06:30:00 CEST 2015, Event: ,E Sema v D Kim, Favorite: ,Erika Sema, 4151738   size:639.26,Price: ,1.12,Da Hye Kim, 8839137   size:5.85,Price: ,6.0,ok
