1.119159460, Sport: ,Tennis, Time: ,Tue Jun 16 12:00:00 CEST 2015, Time: ,Tue Jun 16 12:00:00 CEST 2015, Event: ,Milton v Menendez-Maceiras, Favorite: ,Adrian Menendez-Maceira, 9128710   size:59.72,Price: ,1.57,Joshua Milton, 3985858   size:6.9,Price: ,2.44,x
1.118722328, Sport: ,Cricket, Time: ,Tue Jun 16 11:00:00 CEST 2015, Time: ,Tue Jun 16 11:00:00 CEST 2015, Event: ,Netherlands v Papua New Guinea, Favorite: ,Netherlands, 228749   size:14.0,Price: ,1.06,The Draw, 60443   size:5.76,Price: ,1.45,Papua New Guinea, 2857977   size:5.76,Price: ,3.05,x
1.119159100, Sport: ,Tennis, Time: ,Tue Jun 16 16:30:00 CEST 2015, Time: ,Tue Jun 16 16:30:00 CEST 2015, Event: ,Lucic-Baroni v Bencic, Favorite: ,Belinda Bencic, 6390244   size:19.53,Price: ,1.54,Mirjana Lucic-Baroni, 8283006   size:68.78,Price: ,2.82,ok
1.119157001, Sport: ,Tennis, Time: ,Tue Jun 16 10:30:00 CEST 2015, Time: ,Tue Jun 16 10:30:00 CEST 2015, Event: ,Saez v Antonio Veic, Favorite: ,Antonio Veic, 3186312   size:4.0,Price: ,1.44,Juan Carlos Saez, 8258302   size:5.6,Price: ,2.96,ok
1.119172154, Sport: ,Tennis, Time: ,Tue Jun 16 12:00:00 CEST 2015, Time: ,Tue Jun 16 12:00:00 CEST 2015, Event: ,Kania v Beygelzimer, Favorite: ,Yuliya Beygelzimer, 3674505   size:6.31,Price: ,1.88,Paula Kania, 7083220   size:60.38,Price: ,1.89,x
1.119157046, Sport: ,Tennis, Time: ,Tue Jun 16 11:00:00 CEST 2015, Time: ,Tue Jun 16 11:00:00 CEST 2015, Event: ,Bourgue v Guez, Favorite: ,David Guez, 2263683   size:9.8,Price: ,1.61,Mathias Bourgue, 7066925   size:4.17,Price: ,2.34,x
1.119156992, Sport: ,Tennis, Time: ,Tue Jun 16 14:45:00 CEST 2015, Time: ,Tue Jun 16 14:45:00 CEST 2015, Event: ,F Arguello v Michalicka, Favorite: ,Facundo Arguello, 6129383   size:3.8,Price: ,1.4,Marek Michalicka, 7048682   size:16.97,Price: ,3.0,x
1.119159468, Sport: ,Tennis, Time: ,Tue Jun 16 15:30:00 CEST 2015, Time: ,Tue Jun 16 15:30:00 CEST 2015, Event: ,Desein v Yo Nishioka, Favorite: ,Yoshihito Nishioka, 7137497   size:9.2,Price: ,1.59,Niels Desein, 7234512   size:8.2,Price: ,2.64,ok
1.119159544, Sport: ,Tennis, Time: ,Tue Jun 16 13:30:00 CEST 2015, Time: ,Tue Jun 16 13:30:00 CEST 2015, Event: ,Carballes Baena v Sikora, Favorite: ,Roberto Carballes Baena, 7185192   size:6.65,Price: ,1.17,Adrian Sikora, 8257872   size:11.65,Price: ,5.5,ok
1.119172158, Sport: ,Tennis, Time: ,Tue Jun 16 13:00:00 CEST 2015, Time: ,Tue Jun 16 13:00:00 CEST 2015, Event: ,Dodin v Date-Krumm, Favorite: ,Oceane Dodin, 7289631   size:192.66,Price: ,1.58,Kimiko Date-Krumm, 8244520   size:59.32,Price: ,2.3,x
1.119172161, Sport: ,Tennis, Time: ,Tue Jun 16 11:30:00 CEST 2015, Time: ,Tue Jun 16 11:30:00 CEST 2015, Event: ,Sanchez-Quintanar v Bertens, Favorite: ,Kiki Bertens, 5611697   size:1807.15,Price: ,1.08,Cristina Sanchez Quintanar, 9028617   size:20.97,Price: ,7.6,ok
1.119172162, Sport: ,Tennis, Time: ,Tue Jun 16 11:30:00 CEST 2015, Time: ,Tue Jun 16 11:30:00 CEST 2015, Event: ,Pous-Tio v Jorovic, Favorite: ,Laura Pous-Tio, 8443238   size:4.86,Price: ,1.87,Ivana Jorovic, 8907530   size:227.44,Price: ,1.98,ok
1.119162420, Sport: ,Tennis, Time: ,Tue Jun 16 13:00:00 CEST 2015, Time: ,Tue Jun 16 13:00:00 CEST 2015, Event: ,Torebko v Lipovsek Puches, Favorite: ,Peter Torebko, 5829498   size:22.99,Price: ,1.6,Tomas Lipovsek Puches, 8174492   size:3.26,Price: ,2.44,ok
1.119158060, Sport: ,Tennis, Time: ,Tue Jun 16 17:30:00 CEST 2015, Time: ,Tue Jun 16 17:30:00 CEST 2015, Event: ,Berdych v Estrella Burgos, Favorite: ,Tomas Berdych, 2256470   size:62441.66,Price: ,1.04,Victor Estrella Burgos, 7430580   size:11.25,Price: ,18.5,ok
1.119158263, Sport: ,Tennis, Time: ,Tue Jun 16 15:30:00 CEST 2015, Time: ,Tue Jun 16 15:30:00 CEST 2015, Event: ,Seppi v T Haas, Favorite: ,Tommy Haas, 2256508   size:43.25,Price: ,1.64,Andreas Seppi, 2257535   size:21.41,Price: ,2.34,x
