1.119162472, Sport: ,Tennis, Time: ,Thu Jun 18 16:00:00 CEST 2015, Time: ,Thu Jun 18 16:00:00 CEST 2015, Event: ,Medina Garr/Parra Santo v Halep/Watson, Favorite: ,Medina Garr/Parra Santo, 9220633   size:7.54,Price: ,1.7,Halep/Watson, 9610070   size:7.54,Price: ,2.26,x
1.119185346, Sport: ,Tennis, Time: ,Thu Jun 18 15:00:00 CEST 2015, Time: ,Thu Jun 18 15:00:00 CEST 2015, Event: ,Strycova v K Mladenovic, Favorite: ,Barbora Strycova, 9416669   size:4.03,Price: ,1.88,Kristina Mladenovic, 3622052   size:4.99,Price: ,2.06,x
1.119162466, Sport: ,Tennis, Time: ,Thu Jun 18 14:30:00 CEST 2015, Time: ,Thu Jun 18 14:30:00 CEST 2015, Event: ,Goerges/Groenefeld v Kops-Jones/Spears, Favorite: ,Kops-Jones/Spears, 3636565   size:197.88,Price: ,1.23,Goerges/Groenefeld, 6145734   size:13.95,Price: ,4.4,ok
1.119040647, Sport: ,Snooker, Time: ,Thu Jun 18 13:30:00 CEST 2015, Time: ,Thu Jun 18 13:30:00 CEST 2015, Event: ,Hong Kong v Scotland, Favorite: ,Scotland, 20128   size:11.72,Price: ,1.33,Hong Kong, 5674290   size:2.35,Price: ,3.4,ok
1.119172144, Sport: ,Tennis, Time: ,Thu Jun 18 13:00:00 CEST 2015, Time: ,Thu Jun 18 13:00:00 CEST 2015, Event: ,Ann Beck v Glushko, Favorite: ,Annika Beck, 4174996   size:37.21,Price: ,1.36,Julia Glushko, 5321877   size:2.0,Price: ,2.16,ok
1.119187083, Sport: ,Tennis, Time: ,Thu Jun 18 14:15:00 CEST 2015, Time: ,Thu Jun 18 14:15:00 CEST 2015, Event: ,Ebden v An Kuznetsov, Favorite: ,Matthew Ebden, 4423910   size:6.12,Price: ,1.67,Andrey Kuznetsov, 4257454   size:4.57,Price: ,2.26,ok
1.119177520, Sport: ,Tennis, Time: ,Thu Jun 18 13:30:00 CEST 2015, Time: ,Thu Jun 18 13:30:00 CEST 2015, Event: ,G Muller v G Dimitrov, Favorite: ,Grigor Dimitrov, 3120169   size:7591.44,Price: ,1.39,Gilles Muller, 2248579   size:389.34,Price: ,3.45,x
1.119172151, Sport: ,Tennis, Time: ,Thu Jun 18 13:00:00 CEST 2015, Time: ,Thu Jun 18 13:00:00 CEST 2015, Event: ,Govortsova v S Peer, Favorite: ,Olga Govortsova, 2415575   size:80.2,Price: ,1.34,Shahar Peer, 2248472   size:242.02,Price: ,1.65,x
1.119184128, Sport: ,Tennis, Time: ,Thu Jun 18 15:45:00 CEST 2015, Time: ,Thu Jun 18 15:45:00 CEST 2015, Event: ,Antonio Veic v Ghem, Favorite: ,Andre Ghem, 5304700   size:2.55,Price: ,1.62,Antonio Veic, 3186312   size:2.34,Price: ,2.52,ok
1.119187156, Sport: ,Tennis, Time: ,Thu Jun 18 15:00:00 CEST 2015, Time: ,Thu Jun 18 15:00:00 CEST 2015, Event: ,Herbert/Mahut v Anderson/Chardy, Favorite: ,Herbert/Mahut, 8942538   size:4.76,Price: ,1.68,Anderson/Chardy, 8925124   size:5.95,Price: ,2.18,ok
1.119173146, Sport: ,Basketball, Time: ,Thu Jun 18 15:30:00 CEST 2015, Time: ,Thu Jun 18 15:30:00 CEST 2015, Event: ,Slovak Republic (W) v Serbia (W), Favorite: ,Serbia (W), 6427235   size:2442.16,Price: ,1.15,Slovak Republic (W), 6427245   size:89.59,Price: ,5.9,ok
1.119178435, Sport: ,Tennis, Time: ,Thu Jun 18 15:30:00 CEST 2015, Time: ,Thu Jun 18 15:30:00 CEST 2015, Event: ,Cecchinato v Naso, Favorite: ,Marco Cecchinato, 6374165   size:6.01,Price: ,1.33,Gianluca Naso, 2967260   size:2.55,Price: ,3.45,ok
1.119173149, Sport: ,Basketball, Time: ,Thu Jun 18 18:00:00 CEST 2015, Time: ,Thu Jun 18 18:00:00 CEST 2015, Event: ,Lithuania (W) v Russia (W), Favorite: ,Russia (W), 7306785   size:439.2,Price: ,1.18,Lithuania (W), 6427230   size:19.2,Price: ,5.4,x
1.119185329, Sport: ,Tennis, Time: ,Thu Jun 18 15:00:00 CEST 2015, Time: ,Thu Jun 18 15:00:00 CEST 2015, Event: ,J Jankovic v Kerber, Favorite: ,Angelique Kerber, 2411840   size:47.94,Price: ,1.65,Jelena Jankovic, 2252607   size:4.99,Price: ,2.46,ok
1.119176183, Sport: ,Tennis, Time: ,Thu Jun 18 17:30:00 CEST 2015, Time: ,Thu Jun 18 17:30:00 CEST 2015, Event: ,Kukushkin v Monfils, Favorite: ,Gael Monfils, 2257300   size:3179.74,Price: ,1.22,Mikhail Kukushkin, 2609424   size:18.17,Price: ,5.4,ok
1.119178562, Sport: ,Tennis, Time: ,Thu Jun 18 18:00:00 CEST 2015, Time: ,Thu Jun 18 18:00:00 CEST 2015, Event: ,Dominguez Lino v M Zacarias, Favorite: ,Lourdes Dominguez Lino, 2256484   size:20.49,Price: ,1.2,Marcela Zacarias, 7083075   size:4.19,Price: ,4.7,ok
1.119185246, Sport: ,Tennis, Time: ,Thu Jun 18 12:30:00 CEST 2015, Time: ,Thu Jun 18 12:30:00 CEST 2015, Event: ,Calvin Hemery v Clezar, Favorite: ,Calvin Hemery, 7287667   size:58.02,Price: ,1.79,Guilherme Clezar, 5304142   size:3.39,Price: ,2.24,ok
1.119162462, Sport: ,Tennis, Time: ,Thu Jun 18 15:00:00 CEST 2015, Time: ,Thu Jun 18 15:00:00 CEST 2015, Event: ,Chan/Klepac v Babos/Mladenovic, Favorite: ,Chan/Klepac, 9610065   size:3.51,Price: ,1.06,Babos/Mladenovic, 8242001   size:241.79,Price: ,1.16,x
1.119187066, Sport: ,Tennis, Time: ,Thu Jun 18 16:30:00 CEST 2015, Time: ,Thu Jun 18 16:30:00 CEST 2015, Event: ,Lisicki v Rybarikova, Favorite: ,Sabine Lisicki, 2403862   size:124.99,Price: ,1.3,Magdalena Rybarikova, 2548763   size:43.24,Price: ,4.1,ok
1.119178986, Sport: ,Tennis, Time: ,Thu Jun 18 17:00:00 CEST 2015, Time: ,Thu Jun 18 17:00:00 CEST 2015, Event: ,Isner v Fel Lopez, Favorite: ,Feliciano Lopez, 2265109   size:854.96,Price: ,1.76,John Isner, 2474763   size:253.99,Price: ,2.24,x
1.119179118, Sport: ,Tennis, Time: ,Thu Jun 18 18:00:00 CEST 2015, Time: ,Thu Jun 18 18:00:00 CEST 2015, Event: ,Carreno Busta v Mager, Favorite: ,Pablo Carreno Busta, 5479878   size:2093.71,Price: ,1.09,Gianluca Mager, 8284482   size:14.31,Price: ,7.4,ok
1.119187182, Sport: ,Tennis, Time: ,Thu Jun 18 16:00:00 CEST 2015, Time: ,Thu Jun 18 16:00:00 CEST 2015, Event: ,McGee v Milton, Favorite: ,James McGee, 7216252   size:19.7,Price: ,1.38,Joshua Milton, 3985858   size:5.65,Price: ,3.1,ok
