1.119135137, Sport: ,Basketball, Time: ,Thu Jun 18 20:50:00 CEST 2015, Time: ,Thu Jun 18 20:50:00 CEST 2015, Event: ,Limoges v Strasbourg, Favorite: ,Limoges, 3817200   size:4.73,Price: ,1.69,Strasbourg, 1193143   size:192.51,Price: ,2.24,ok
1.119173225, Sport: ,Basketball, Time: ,Thu Jun 18 20:30:00 CEST 2015, Time: ,Thu Jun 18 20:30:00 CEST 2015, Event: ,Croatia (W) v Spain (W), Favorite: ,Spain (W), 6427242   size:50.66,Price: ,1.06,Croatia (W), 6469564   size:10.0,Price: ,15.0,ok
1.119130557, Sport: ,Baseball, Time: ,Thu Jun 18 21:35:00 CEST 2015, Time: ,Thu Jun 18 21:35:00 CEST 2015, Event: ,SD @ OAK, Favorite: ,Oakland (K Graveman), 9385645   size:774.57,Price: ,1.65,San Diego (I Kennedy), 7551799   size:47.61,Price: ,2.48,x
1.119180558, Sport: ,Basketball, Time: ,Thu Jun 18 21:00:00 CEST 2015, Time: ,Thu Jun 18 21:00:00 CEST 2015, Event: ,Crvena Zvezda v Partizan, Favorite: ,Crvena Zvezda, 1275898   size:28.15,Price: ,1.31,Partizan, 266286   size:20.55,Price: ,3.65,ok
1.119144896, Sport: ,Basketball, Time: ,Thu Jun 18 20:45:00 CEST 2015, Time: ,Thu Jun 18 20:45:00 CEST 2015, Event: ,Dinamo Sassari v Reggio Emilia, Favorite: ,Dinamo Sassari, 5520916   size:100.62,Price: ,1.35,Reggio Emilia, 958950   size:17.45,Price: ,3.7,ok
1.119150375, Sport: ,Cricket, Time: ,Thu Jun 18 20:00:00 CEST 2015, Time: ,Thu Jun 18 20:00:00 CEST 2015, Event: ,Derbyshire v Leicestershire, Favorite: ,Leicestershire, 31377   size:39.47,Price: ,1.74,Derbyshire, 31375   size:4.06,Price: ,2.26,x
1.119130565, Sport: ,Baseball, Time: ,Thu Jun 18 21:40:00 CEST 2015, Time: ,Thu Jun 18 21:40:00 CEST 2015, Event: ,LAA @ ARI, Favorite: ,LA Angels (C Wilson), 6296977   size:150.94,Price: ,1.97,Arizona (A Webster), 9609119   size:47.46,Price: ,2.02,ok
1.119121383, Sport: ,Basketball, Time: ,Thu Jun 18 20:00:00 CEST 2015, Time: ,Thu Jun 18 20:00:00 CEST 2015, Event: ,Cayman Islands v St Vincent Grenadines, Favorite: ,St Vincent Grenadines, 4846292   size:20.22,Price: ,1.42,Cayman Islands, 9582140   size:12.31,Price: ,1.94,ok
1.119130549, Sport: ,Baseball, Time: ,Thu Jun 18 21:10:00 CEST 2015, Time: ,Thu Jun 18 21:10:00 CEST 2015, Event: ,HOU @ COL, Favorite: ,Houston (C McHugh), 8480882   size:331.07,Price: ,1.92,Colorado (D Hale), 9515546   size:332.99,Price: ,2.04,ok
1.119185359, Sport: ,Tennis, Time: ,Thu Jun 18 20:15:00 CEST 2015, Time: ,Thu Jun 18 20:15:00 CEST 2015, Event: ,Peya/Bruno Soares v Lopez/Max Mirnyi, Favorite: ,Peya/Soares, 6504095   size:5.71,Price: ,1.7,Lopez/Mirnyi, 8329155   size:2.5,Price: ,2.2,ok
1.119040659, Sport: ,Snooker, Time: ,Fri Jun 19 07:00:00 CEST 2015, Time: ,Fri Jun 19 07:00:00 CEST 2015, Event: ,Iran v Malaysia, Favorite: ,Iran, 9546436   size:2.55,Price: ,1.49,Malaysia, 9546435   size:127.62,Price: ,2.78,ok
1.119121389, Sport: ,Basketball, Time: ,Fri Jun 19 00:45:00 CEST 2015, Time: ,Fri Jun 19 00:45:00 CEST 2015, Event: ,Bahamas v Antigua, Favorite: ,Bahamas, 6425174   size:5.0,Price: ,1.03,Antigua, 9582142   size:2625.76,Price: ,1.55,ok
1.119187652, Sport: ,Tennis, Time: ,Fri Jun 19 05:00:00 CEST 2015, Time: ,Fri Jun 19 05:00:00 CEST 2015, Event: ,Ozaki v Y H Lee, Favorite: ,Risa Ozaki, 7593284   size:3.21,Price: ,1.3,Ya Hsuan Lee, 7928038   size:7.79,Price: ,3.55,ok
1.119040655, Sport: ,Snooker, Time: ,Fri Jun 19 07:00:00 CEST 2015, Time: ,Fri Jun 19 07:00:00 CEST 2015, Event: ,Hong Kong v Brazil, Favorite: ,Hong Kong, 5674290   size:4.91,Price: ,1.63,Brazil, 5674283   size:7.57,Price: ,2.44,ok
1.119130581, Sport: ,Baseball, Time: ,Fri Jun 19 01:05:00 CEST 2015, Time: ,Fri Jun 19 01:05:00 CEST 2015, Event: ,MIA @ NYY, Favorite: ,NY Yankees (C Sabathia), 3832740   size:319.02,Price: ,1.76,Miami (M Latos), 9381399   size:98.0,Price: ,2.24,ok
1.119040656, Sport: ,Snooker, Time: ,Fri Jun 19 07:00:00 CEST 2015, Time: ,Fri Jun 19 07:00:00 CEST 2015, Event: ,Scotland v Belgium, Favorite: ,Scotland, 20128   size:43.23,Price: ,1.25,Belgium, 5674274   size:4.37,Price: ,4.1,x
1.119130597, Sport: ,Baseball, Time: ,Fri Jun 19 01:07:00 CEST 2015, Time: ,Fri Jun 19 01:07:00 CEST 2015, Event: ,NYM @ TOR, Favorite: ,Toronto (R Dickey), 7172150   size:333.97,Price: ,1.62,NY Mets (B Colon), 8432627   size:307.96,Price: ,2.48,ok
1.119130613, Sport: ,Baseball, Time: ,Fri Jun 19 01:10:00 CEST 2015, Time: ,Fri Jun 19 01:10:00 CEST 2015, Event: ,DET @ CIN, Favorite: ,Cincinnati (M Leake), 4640134   size:297.15,Price: ,1.87,Detroit (J Verlander), 1189590   size:709.42,Price: ,2.02,x
1.119130637, Sport: ,Baseball, Time: ,Fri Jun 19 04:10:00 CEST 2015, Time: ,Fri Jun 19 04:10:00 CEST 2015, Event: ,SF @ SEA, Favorite: ,Seattle (M Montgomery), 9547472   size:503.69,Price: ,1.73,San Francisco (R Vogelsong), 5504898   size:7.93,Price: ,2.36,x
1.119121392, Sport: ,Basketball, Time: ,Fri Jun 19 03:00:00 CEST 2015, Time: ,Fri Jun 19 03:00:00 CEST 2015, Event: ,Virgin Islands v Barbados, Favorite: ,Virgin Islands, 2512082   size:5.0,Price: ,1.03,Barbados, 9582188   size:37.04,Price: ,1.27,ok
1.119130621, Sport: ,Baseball, Time: ,Fri Jun 19 02:10:00 CEST 2015, Time: ,Fri Jun 19 02:10:00 CEST 2015, Event: ,PIT @ CWS, Favorite: ,Pittsburgh (G Cole), 7340947   size:265.31,Price: ,1.76,Chi White Sox (J Samardzija), 9439851   size:617.56,Price: ,2.2,ok
1.119186909, Sport: ,Tennis, Time: ,Thu Jun 18 20:15:00 CEST 2015, Time: ,Thu Jun 18 20:15:00 CEST 2015, Event: ,Isner/Sam Querrey v Matkowski/Nenad Zimonjic, Favorite: ,Matkowski/Zimonjic, 9312205   size:2.99,Price: ,1.65,Isner/Querrey, 4471769   size:28.08,Price: ,2.52,ok
1.119130589, Sport: ,Baseball, Time: ,Fri Jun 19 01:05:00 CEST 2015, Time: ,Fri Jun 19 01:05:00 CEST 2015, Event: ,TB @ WSH, Favorite: ,Tampa Bay (C Archer), 6457877   size:142.77,Price: ,1.9,Washington (D Fister), 8516468   size:112.88,Price: ,2.06,ok
1.119130605, Sport: ,Baseball, Time: ,Fri Jun 19 01:10:00 CEST 2015, Time: ,Fri Jun 19 01:10:00 CEST 2015, Event: ,BOS @ ATL, Favorite: ,Boston (C Buchholz), 2515837   size:2.0,Price: ,1.86,Atlanta (S Miller), 9385068   size:512.99,Price: ,2.08,ok
