1.119040659, Sport: ,Snooker, Time: ,Fri Jun 19 07:00:00 CEST 2015, Time: ,Fri Jun 19 07:00:00 CEST 2015, Event: ,Iran v Malaysia, Favorite: ,Iran, 9546436   size:2.55,Price: ,1.49,Malaysia, 9546435   size:185.85,Price: ,2.8,ok
1.119186592, Sport: ,Tennis, Time: ,Fri Jun 19 12:00:00 CEST 2015, Time: ,Fri Jun 19 12:00:00 CEST 2015, Event: ,Berdych v Karlovic, Favorite: ,Tomas Berdych, 2256470   size:1389.41,Price: ,1.37,Ivo Karlovic, 2263570   size:49.99,Price: ,3.65,x
1.119200973, Sport: ,Tennis, Time: ,Fri Jun 19 08:00:00 CEST 2015, Time: ,Fri Jun 19 08:00:00 CEST 2015, Event: ,Molchanov v Albot, Favorite: ,Radu Albot, 6603898   size:2.55,Price: ,1.35,Denys Molchanov, 3474265   size:2.8,Price: ,3.45,ok
1.119040662, Sport: ,Snooker, Time: ,Fri Jun 19 09:00:00 CEST 2015, Time: ,Fri Jun 19 09:00:00 CEST 2015, Event: ,China A v Malta, Favorite: ,China A, 9546431   size:8.26,Price: ,1.14,Malta, 20134   size:4.08,Price: ,5.7,ok
1.119040655, Sport: ,Snooker, Time: ,Fri Jun 19 07:00:00 CEST 2015, Time: ,Fri Jun 19 07:00:00 CEST 2015, Event: ,Hong Kong v Brazil, Favorite: ,Hong Kong, 5674290   size:24.61,Price: ,1.67,Brazil, 5674283   size:27.9,Price: ,2.42,ok
1.119040656, Sport: ,Snooker, Time: ,Fri Jun 19 07:00:00 CEST 2015, Time: ,Fri Jun 19 07:00:00 CEST 2015, Event: ,Scotland v Belgium, Favorite: ,Scotland, 20128   size:593.21,Price: ,1.26,Belgium, 5674274   size:19.48,Price: ,4.1,x
1.119040667, Sport: ,Snooker, Time: ,Fri Jun 19 09:00:00 CEST 2015, Time: ,Fri Jun 19 09:00:00 CEST 2015, Event: ,Norway v Austria, Favorite: ,Norway, 9546433   size:5.0,Price: ,1.55,Austria, 9546434   size:2.55,Price: ,2.64,ok
1.119040678, Sport: ,Snooker, Time: ,Fri Jun 19 09:00:00 CEST 2015, Time: ,Fri Jun 19 09:00:00 CEST 2015, Event: ,Singapore v India, Favorite: ,India, 5674279   size:60.67,Price: ,1.15,Singapore, 9546438   size:3.91,Price: ,5.8,ok
1.119184760, Sport: ,Tennis, Time: ,Fri Jun 19 09:45:00 CEST 2015, Time: ,Fri Jun 19 09:45:00 CEST 2015, Event: ,Setkic v Kudryavtsev, Favorite: ,Alexander Kudryavtsev, 5908538   size:103.36,Price: ,1.65,Aldin Setkic, 7366936   size:7.55,Price: ,2.32,ok
1.119181651, Sport: ,Tennis, Time: ,Fri Jun 19 08:00:00 CEST 2015, Time: ,Fri Jun 19 08:00:00 CEST 2015, Event: ,Gabashvili v Khachanov, Favorite: ,Teymuraz Gabashvili, 4877292   size:12.62,Price: ,1.24,Karen Khachanov, 7659623   size:2.27,Price: ,4.2,ok
1.119200956, Sport: ,Tennis, Time: ,Fri Jun 19 09:45:00 CEST 2015, Time: ,Fri Jun 19 09:45:00 CEST 2015, Event: ,Milojevic v Chen, Favorite: ,Nikola Milojevic, 8535963   size:16.58,Price: ,1.78,Ti Chen, 2559490   size:79.85,Price: ,2.18,x
1.119199611, Sport: ,Tennis, Time: ,Fri Jun 19 12:00:00 CEST 2015, Time: ,Fri Jun 19 12:00:00 CEST 2015, Event: ,Kontaveit v Y Wang, Favorite: ,Anna Kontaveit, 9645753   size:4.18,Price: ,1.21,Yafan Wang, 7695509   size:2.37,Price: ,1.37,ok
