1.119358027, Sport: ,Soccer, Time: ,Thu Jul 09 00:15:00 CEST 2015, Time: ,Thu Jul 09 00:15:00 CEST 2015, Event: ,Atletico Parana v All Boys, Favorite: ,Atletico Parana, 5985269   size:4.97,Price: ,2.4,The Draw, 58805   size:93.45,Price: ,3.05,All Boys, 4724521   size:81.23,Price: ,3.65,x
1.119417047, Sport: ,Tennis, Time: ,Wed Jul 08 21:30:00 CEST 2015, Time: ,Wed Jul 08 21:30:00 CEST 2015, Event: ,Dancevic v Harrison, Favorite: ,Ryan Harrison, 2923247   size:27.69,Price: ,1.87,Frank Dancevic, 2249832   size:28.62,Price: ,2.06,ok
1.119336871, Sport: ,Soccer, Time: ,Wed Jul 08 20:45:00 CEST 2015, Time: ,Wed Jul 08 20:45:00 CEST 2015, Event: ,Colne v Accrington S, Favorite: ,Accrington S, 498119   size:10.68,Price: ,1.45,The Draw, 58805   size:2.53,Price: ,5.1,Colne, 9776139   size:100.99,Price: ,5.8,x
1.119340851, Sport: ,Soccer, Time: ,Thu Jul 09 03:00:00 CEST 2015, Time: ,Thu Jul 09 03:00:00 CEST 2015, Event: ,Internacional v Flamengo, Favorite: ,Internacional, 198137   size:172.17,Price: ,2.02,The Draw, 58805   size:302.81,Price: ,3.45,Flamengo, 198138   size:41.28,Price: ,4.4,x
1.119417208, Sport: ,Tennis, Time: ,Wed Jul 08 20:30:00 CEST 2015, Time: ,Wed Jul 08 20:30:00 CEST 2015, Event: ,Kavcic v Giron, Favorite: ,Blaz Kavcic, 2863465   size:103.41,Price: ,1.36,Marcos Giron, 8230256   size:12.54,Price: ,3.45,ok
1.119414851, Sport: ,Soccer, Time: ,Thu Jul 09 01:35:00 CEST 2015, Time: ,Thu Jul 09 01:35:00 CEST 2015, Event: ,Defensores de Belgrano v Acassuso, Favorite: ,Defensores de Belgrano, 5643646   size:13.75,Price: ,1.64,The Draw, 58805   size:2.76,Price: ,3.35,Acassuso, 8405070   size:9.02,Price: ,4.6,x
1.119358384, Sport: ,Soccer, Time: ,Thu Jul 09 02:30:00 CEST 2015, Time: ,Thu Jul 09 02:30:00 CEST 2015, Event: ,Gimnasia Jujuy v Juventud Unida G, Favorite: ,Gimnasia Jujuy, 1213580   size:23.86,Price: ,1.79,The Draw, 58805   size:5.73,Price: ,3.4,Juventud Unida G, 9229737   size:57.67,Price: ,5.8,x
1.119406039, Sport: ,Soccer, Time: ,Wed Jul 08 21:00:00 CEST 2015, Time: ,Wed Jul 08 21:00:00 CEST 2015, Event: ,Orninn v Throttur V, Favorite: ,Throttur V, 6412799   size:10.53,Price: ,1.08,The Draw, 58805   size:3.22,Price: ,4.1,ok
1.119405983, Sport: ,Soccer, Time: ,Wed Jul 08 22:00:00 CEST 2015, Time: ,Wed Jul 08 22:00:00 CEST 2015, Event: ,Keflavik (W) v HK Vikingur (W), Favorite: ,HK Vikingur (W), 5330937   size:12.52,Price: ,1.07,Keflavik (W), 5232580   size:12.52,Price: ,1.75,The Draw, 58805   size:3.22,Price: ,5.2,ok
1.119367066, Sport: ,Baseball, Time: ,Thu Jul 09 02:10:00 CEST 2015, Time: ,Thu Jul 09 02:10:00 CEST 2015, Event: ,TOR @ CHW, Favorite: ,Toronto (D Hutchison), 6325405   size:530.1,Price: ,1.65,Chicago White Sox (J Danks), 2942998   size:4.24,Price: ,2.5,x
1.119405587, Sport: ,Soccer, Time: ,Thu Jul 09 00:00:00 CEST 2015, Time: ,Thu Jul 09 00:00:00 CEST 2015, Event: ,Santiago Wanderers v San Luis (Chile), Favorite: ,Santiago Wanderers, 913363   size:10.53,Price: ,1.85,The Draw, 58805   size:18.87,Price: ,4.0,San Luis (Chile), 5129872   size:53.32,Price: ,4.4,x
