1.119414396, Sport: ,Soccer, Time: ,Thu Jul 09 17:00:00 CEST 2015, Time: ,Thu Jul 09 17:00:00 CEST 2015, Event: ,Pirin 1922 v Slavia Sofia, Favorite: ,Slavia Sofia, 1255221   size:10.53,Price: ,1.07,Pirin 1922, 1409402   size:10.53,Price: ,1.08,The Draw, 58805   size:3.51,Price: ,2.04,x
1.119330098, Sport: ,Soccer, Time: ,Thu Jul 09 19:00:00 CEST 2015, Time: ,Thu Jul 09 19:00:00 CEST 2015, Event: ,Apollon Limassol v FC Saxan, Favorite: ,Apollon Limassol, 46976   size:34.99,Price: ,1.14,The Draw, 58805   size:4.5,Price: ,8.6,FC Saxan, 9686827   size:2.96,Price: ,18.5,ok
1.119330350, Sport: ,Soccer, Time: ,Thu Jul 09 19:00:00 CEST 2015, Time: ,Thu Jul 09 19:00:00 CEST 2015, Event: ,Beitar Jerusalem v FC Ordabasy, Favorite: ,Beitar Jerusalem, 1169738   size:17.66,Price: ,1.8,The Draw, 58805   size:4.17,Price: ,3.7,FC Ordabasy, 6476069   size:4.11,Price: ,5.1,ok
1.119336735, Sport: ,Soccer, Time: ,Thu Jul 09 19:00:00 CEST 2015, Time: ,Thu Jul 09 19:00:00 CEST 2015, Event: ,Nykopings BIS v Vasalunds IF, Favorite: ,Nykopings BIS, 788770   size:2.57,Price: ,1.93,The Draw, 58805   size:6.46,Price: ,3.85,ok
1.119416977, Sport: ,Tennis, Time: ,Thu Jul 09 12:30:00 CEST 2015, Time: ,Thu Jul 09 12:30:00 CEST 2015, Event: ,Bopanna/Mergea v Rojer/Tecau, Favorite: ,Rojer/Tecau, 8176467   size:4.0,Price: ,1.8,Bopanna/Mergea, 8890432   size:59.76,Price: ,2.0,ok
1.119329944, Sport: ,Soccer, Time: ,Thu Jul 09 19:00:00 CEST 2015, Time: ,Thu Jul 09 19:00:00 CEST 2015, Event: ,AIK v VPS, Favorite: ,AIK, 168731   size:458.3,Price: ,1.19,The Draw, 58805   size:15.88,Price: ,8.0,VPS, 139511   size:18.45,Price: ,16.5,ok
1.119414610, Sport: ,Soccer, Time: ,Thu Jul 09 19:00:00 CEST 2015, Time: ,Thu Jul 09 19:00:00 CEST 2015, Event: ,DZSV v De Graafschap, Favorite: ,De Graafschap, 48453   size:137.49,Price: ,1.06,The Draw, 58805   size:35.39,Price: ,3.9,DZSV, 9905223   size:20.89,Price: ,6.0,ok
1.119342813, Sport: ,Basketball, Time: ,Thu Jul 09 19:00:00 CEST 2015, Time: ,Thu Jul 09 19:00:00 CEST 2015, Event: ,Indiana v Orlando Blue, Favorite: ,Orlando Blue, 9778100   size:2.77,Price: ,1.02,x
1.119426264, Sport: ,Tennis, Time: ,Thu Jul 09 11:00:00 CEST 2015, Time: ,Thu Jul 09 11:00:00 CEST 2015, Event: ,Sramkova v Smitkova, Favorite: ,Tereza Smitkova, 7186355   size:5.0,Price: ,1.25,Rebecca Sramkova, 9151665   size:7.77,Price: ,4.2,ok
1.119423171, Sport: ,Tennis, Time: ,Thu Jul 09 12:30:00 CEST 2015, Time: ,Thu Jul 09 12:30:00 CEST 2015, Event: ,Sevastova v Pivovarova, Favorite: ,Anastasija Sevastova, 2422070   size:2.53,Price: ,1.29,Anastasia Pivovarova, 2328044   size:6.54,Price: ,4.0,ok
1.119426267, Sport: ,Tennis, Time: ,Thu Jul 09 13:00:00 CEST 2015, Time: ,Thu Jul 09 13:00:00 CEST 2015, Event: ,Carreno Busta v Krajinovic, Favorite: ,Pablo Carreno Busta, 5479878   size:2.53,Price: ,1.52,Filip Krajinovic, 3509265   size:4.43,Price: ,2.62,x
1.119424023, Sport: ,Soccer, Time: ,Thu Jul 09 16:00:00 CEST 2015, Time: ,Thu Jul 09 16:00:00 CEST 2015, Event: ,Johor Darul Takzim v Dortmund, Favorite: ,Dortmund, 44785   size:5.38,Price: ,1.13,The Draw, 58805   size:2.67,Price: ,11.5,Johor Darul Takzim, 6958480   size:34.72,Price: ,32.0,ok
1.119415818, Sport: ,Tennis, Time: ,Thu Jul 09 13:30:00 CEST 2015, Time: ,Thu Jul 09 13:30:00 CEST 2015, Event: ,Gonzalez v Bourgue, Favorite: ,Alejandro Gonzalez, 6604262   size:12.95,Price: ,1.73,Mathias Bourgue, 7066925   size:2.53,Price: ,2.24,ok
1.119426262, Sport: ,Tennis, Time: ,Thu Jul 09 12:30:00 CEST 2015, Time: ,Thu Jul 09 12:30:00 CEST 2015, Event: ,Putintseva v Minella, Favorite: ,Yulia Putintseva, 4259580   size:6.89,Price: ,1.41,Mandy Minella, 3425152   size:2.07,Price: ,2.96,ok
1.119426349, Sport: ,Tennis, Time: ,Thu Jul 09 15:30:00 CEST 2015, Time: ,Thu Jul 09 15:30:00 CEST 2015, Event: ,Tecau/Srebotnik v Lindstedt/Medina Garrig, Favorite: ,Tecau/Srebotnik, 9821420   size:4.2,Price: ,1.46,Lindstedt/Medina Garrig, 9778484   size:112.9,Price: ,2.34,x
1.119423158, Sport: ,Tennis, Time: ,Thu Jul 09 10:00:00 CEST 2015, Time: ,Thu Jul 09 10:00:00 CEST 2015, Event: ,Kulichkova v Romeo, Favorite: ,Elizaveta Kulichkova, 7795296   size:2.53,Price: ,1.1,Caroline Romeo, 9544574   size:14.04,Price: ,10.0,ok
1.119426725, Sport: ,Tennis, Time: ,Thu Jul 09 15:30:00 CEST 2015, Time: ,Thu Jul 09 15:30:00 CEST 2015, Event: ,Witthoeft v Mikulcic, Favorite: ,Carina Witthoeft, 5408907   size:4.15,Price: ,1.2,Ema Mikulcic, 9627825   size:59.51,Price: ,4.8,ok
1.119426703, Sport: ,Tennis, Time: ,Thu Jul 09 16:00:00 CEST 2015, Time: ,Thu Jul 09 16:00:00 CEST 2015, Event: ,Brands v Daniel, Favorite: ,Taro Daniel, 8173434   size:2.53,Price: ,1.84,Daniel Brands, 2395076   size:2.53,Price: ,2.06,ok
1.119392318, Sport: ,Rugby League, Time: ,Thu Jul 09 21:00:00 CEST 2015, Time: ,Thu Jul 09 21:00:00 CEST 2015, Event: ,Wigan v Leeds, Favorite: ,Wigan, 23756   size:2.88,Price: ,1.72,Leeds, 39514   size:904.48,Price: ,2.5,Draw, 11126   size:10.26,Price: ,21.0,ok
1.119427419, Sport: ,Tennis, Time: ,Thu Jul 09 17:30:00 CEST 2015, Time: ,Thu Jul 09 17:30:00 CEST 2015, Event: ,Al Bedene v Beck, Favorite: ,Aljaz Bedene, 5706996   size:396.79,Price: ,1.35,Andreas Beck, 2396600   size:4.55,Price: ,3.45,ok
1.119414320, Sport: ,Soccer, Time: ,Thu Jul 09 16:30:00 CEST 2015, Time: ,Thu Jul 09 16:30:00 CEST 2015, Event: ,Maccabi Haifa v Hapoel Katamon, Favorite: ,Maccabi Haifa, 189818   size:2.4,Price: ,1.41,The Draw, 58805   size:3.15,Price: ,4.3,Hapoel Katamon, 7629623   size:2.78,Price: ,6.4,ok
1.119414540, Sport: ,Soccer, Time: ,Thu Jul 09 18:30:00 CEST 2015, Time: ,Thu Jul 09 18:30:00 CEST 2015, Event: ,1860 Munich v FC Ufa, Favorite: ,1860 Munich, 2443   size:2.73,Price: ,2.24,FC Ufa, 6505028   size:8.24,Price: ,2.7,The Draw, 58805   size:3.09,Price: ,3.3,ok
1.119340609, Sport: ,Soccer, Time: ,Thu Jul 09 18:00:00 CEST 2015, Time: ,Thu Jul 09 18:00:00 CEST 2015, Event: ,Ukraine U19 v France U19, Favorite: ,France U19, 459518   size:52.86,Price: ,2.06,The Draw, 58805   size:72.77,Price: ,3.5,Ukraine U19, 865348   size:115.21,Price: ,4.1,ok
1.119413855, Sport: ,Tennis, Time: ,Thu Jul 09 10:00:00 CEST 2015, Time: ,Thu Jul 09 10:00:00 CEST 2015, Event: ,S Zhang v Poznikhirenko, Favorite: ,Shuai Zhang, 2386498   size:197.18,Price: ,1.51,Ganna Poznikhirenko, 9166526   size:4.27,Price: ,2.78,x
1.119416745, Sport: ,Tennis, Time: ,Thu Jul 09 13:30:00 CEST 2015, Time: ,Thu Jul 09 13:30:00 CEST 2015, Event: ,Lindell v Cecchinato, Favorite: ,Marco Cecchinato, 6374165   size:8.24,Price: ,1.27,Christian Lindell, 4843189   size:3.75,Price: ,4.0,ok
1.119414248, Sport: ,Soccer, Time: ,Thu Jul 09 17:00:00 CEST 2015, Time: ,Thu Jul 09 17:00:00 CEST 2015, Event: ,Oleksandria v Cherkaskyi Dnipro, Favorite: ,Cherkaskyi Dnipro, 8792403   size:136.07,Price: ,1.1,The Draw, 58805   size:3.51,Price: ,2.04,x
1.119414468, Sport: ,Soccer, Time: ,Thu Jul 09 18:00:00 CEST 2015, Time: ,Thu Jul 09 18:00:00 CEST 2015, Event: ,FC Saburtalo Tbilisi v Torpedo Kutaisi, Favorite: ,Torpedo Kutaisi, 44329   size:10.53,Price: ,1.08,The Draw, 58805   size:3.51,Price: ,2.04,x
1.119416842, Sport: ,Tennis, Time: ,Thu Jul 09 15:30:00 CEST 2015, Time: ,Thu Jul 09 15:30:00 CEST 2015, Event: ,Ser Williams v Sharapova, Favorite: ,Serena Williams, 2538236   size:18351.89,Price: ,1.21,Maria Sharapova, 2261745   size:1528.87,Price: ,5.6,ok
1.119423161, Sport: ,Tennis, Time: ,Thu Jul 09 12:30:00 CEST 2015, Time: ,Thu Jul 09 12:30:00 CEST 2015, Event: ,Amanmuradova v Fett, Favorite: ,Jana Fett, 9087351   size:3.57,Price: ,1.72,Akgul Amanmuradova, 2301144   size:5.38,Price: ,2.16,ok
1.119423160, Sport: ,Tennis, Time: ,Thu Jul 09 10:00:00 CEST 2015, Time: ,Thu Jul 09 10:00:00 CEST 2015, Event: ,Vrljic v Pous-Tio, Favorite: ,Laura Pous-Tio, 8443238   size:2.53,Price: ,1.31,Ana Vrljic, 2548767   size:14.04,Price: ,3.9,ok
1.119426111, Sport: ,Tennis, Time: ,Thu Jul 09 12:00:00 CEST 2015, Time: ,Thu Jul 09 12:00:00 CEST 2015, Event: ,De Bakker v Zeballos, Favorite: ,Thiemo De Bakker, 8720949   size:24.19,Price: ,1.81,Horacio Zeballos, 3506037   size:7.4,Price: ,2.06,ok
1.119423165, Sport: ,Tennis, Time: ,Thu Jul 09 12:30:00 CEST 2015, Time: ,Thu Jul 09 12:30:00 CEST 2015, Event: ,Ostapenko v Voegele, Favorite: ,Jelena Ostapenko, 8827537   size:3.16,Price: ,1.57,Stefanie Voegele, 3622149   size:199.77,Price: ,2.4,x
1.119423163, Sport: ,Tennis, Time: ,Thu Jul 09 11:30:00 CEST 2015, Time: ,Thu Jul 09 11:30:00 CEST 2015, Event: ,Dinu v Soylu, Favorite: ,Ipek Soylu, 8397938   size:20.01,Price: ,1.71,Cristina Dinu, 7216240   size:2.81,Price: ,2.18,ok
1.119423169, Sport: ,Tennis, Time: ,Thu Jul 09 11:00:00 CEST 2015, Time: ,Thu Jul 09 11:00:00 CEST 2015, Event: ,Garcia Perez v T Pereira, Favorite: ,Teliana Pereira, 6390242   size:2.53,Price: ,1.14,Georgina Garcia Perez, 9626819   size:31.27,Price: ,5.6,ok
1.119423168, Sport: ,Tennis, Time: ,Thu Jul 09 11:30:00 CEST 2015, Time: ,Thu Jul 09 11:30:00 CEST 2015, Event: ,Buzarnescu v Krejcikova, Favorite: ,Barbora Krejcikova, 8784972   size:2.53,Price: ,1.55,Mihaela Buzarnescu, 5776800   size:2.77,Price: ,2.76,ok
