1.119443457, Sport: ,Soccer, Time: ,Sat Jul 11 13:00:00 CEST 2015, Time: ,Sat Jul 11 13:00:00 CEST 2015, Event: ,Lyngby v Esbjerg, Favorite: ,Esbjerg, 113193   size:4.5,Price: ,2.38,Lyngby, 28218   size:4.32,Price: ,2.62,The Draw, 58805   size:7.13,Price: ,3.25,ok
1.119439078, Sport: ,Soccer, Time: ,Sat Jul 11 14:30:00 CEST 2015, Time: ,Sat Jul 11 14:30:00 CEST 2015, Event: ,Naftan v FC Minsk, Favorite: ,Naftan, 4043671   size:4.98,Price: ,2.4,The Draw, 58805   size:6.87,Price: ,3.25,FC Minsk, 5494964   size:2.72,Price: ,3.45,x
1.119446846, Sport: ,Soccer, Time: ,Sat Jul 11 21:00:00 CEST 2015, Time: ,Sat Jul 11 21:00:00 CEST 2015, Event: ,Icasa v Aguia de Maraba FC, Favorite: ,Icasa, 2927629   size:7.59,Price: ,1.8,The Draw, 58805   size:14.38,Price: ,2.42,Aguia de Maraba FC, 7654040   size:6.8,Price: ,2.56,ok
1.119468996, Sport: ,Tennis, Time: ,Sun Jul 12 03:45:00 CEST 2015, Time: ,Sun Jul 12 03:45:00 CEST 2015, Event: ,Devvarman v Nguyen, Favorite: ,Daniel Nguyen, 8349390   size:16.48,Price: ,1.08,x
1.119445759, Sport: ,Soccer, Time: ,Sat Jul 11 16:00:00 CEST 2015, Time: ,Sat Jul 11 16:00:00 CEST 2015, Event: ,Arbroath v Fraserburgh, Favorite: ,Arbroath, 306045   size:4.27,Price: ,1.36,The Draw, 58805   size:83.08,Price: ,4.4,Fraserburgh, 2214945   size:58.91,Price: ,5.8,ok
1.119440189, Sport: ,Soccer, Time: ,Sat Jul 11 21:00:00 CEST 2015, Time: ,Sat Jul 11 21:00:00 CEST 2015, Event: ,Palestino v Union San Felipe, Favorite: ,Palestino, 5129869   size:3.04,Price: ,1.91,The Draw, 58805   size:8.11,Price: ,3.2,Union San Felipe, 4966011   size:2.9,Price: ,3.8,ok
1.119467783, Sport: ,Darts, Time: ,Sat Jul 11 15:00:00 CEST 2015, Time: ,Sat Jul 11 15:00:00 CEST 2015, Event: ,Beaton v Webster, Favorite: ,Mark Webster, 2409763   size:4.95,Price: ,1.91,ok
1.119355039, Sport: ,Soccer, Time: ,Sat Jul 11 12:00:00 CEST 2015, Time: ,Sat Jul 11 12:00:00 CEST 2015, Event: ,FC Seoul v Pohang Steelers, Favorite: ,FC Seoul, 2479786   size:155.76,Price: ,2.38,The Draw, 58805   size:2.66,Price: ,3.2,Pohang Steelers, 1363823   size:181.39,Price: ,3.45,x
1.119467784, Sport: ,Tennis, Time: ,Sat Jul 11 13:00:00 CEST 2015, Time: ,Sat Jul 11 13:00:00 CEST 2015, Event: ,Vogt v Larsson, Favorite: ,Johanna Larsson, 3220168   size:2.54,Price: ,1.48,Stephanie Vogt, 2548776   size:2.54,Price: ,2.84,ok
1.119353411, Sport: ,Soccer, Time: ,Sat Jul 11 16:00:00 CEST 2015, Time: ,Sat Jul 11 16:00:00 CEST 2015, Event: ,Heybridge v Colchester, Favorite: ,Colchester, 148734   size:10.54,Price: ,1.08,The Draw, 58805   size:13.9,Price: ,3.4,ok
1.119354060, Sport: ,Soccer, Time: ,Sat Jul 11 16:00:00 CEST 2015, Time: ,Sat Jul 11 16:00:00 CEST 2015, Event: ,Osnabruck v FC Koln, Favorite: ,Osnabruck, 67187   size:12.45,Price: ,1.08,FC Koln, 44783   size:3.13,Price: ,1.68,The Draw, 58805   size:16.93,Price: ,2.64,x
1.119347893, Sport: ,Soccer, Time: ,Sat Jul 11 16:00:00 CEST 2015, Time: ,Sat Jul 11 16:00:00 CEST 2015, Event: ,Malmo FF v Orebro, Favorite: ,Malmo FF, 174383   size:1534.29,Price: ,1.34,The Draw, 58805   size:12.2,Price: ,5.9,Orebro, 42617   size:120.3,Price: ,9.8,x
1.119447022, Sport: ,Soccer, Time: ,Sat Jul 11 18:00:00 CEST 2015, Time: ,Sat Jul 11 18:00:00 CEST 2015, Event: ,Volsungur v Berserkir, Favorite: ,Berserkir, 5554197   size:137.66,Price: ,1.06,The Draw, 58805   size:2.78,Price: ,1.25,x
1.119352314, Sport: ,Soccer, Time: ,Sat Jul 11 12:00:00 CEST 2015, Time: ,Sat Jul 11 12:00:00 CEST 2015, Event: ,Bloemfontein Celtic v MP Black Aces, Favorite: ,Bloemfontein Celtic, 7067857   size:2.54,Price: ,1.42,MP Black Aces, 7852355   size:7.7,Price: ,2.02,The Draw, 58805   size:71.52,Price: ,3.0,x
1.119354615, Sport: ,Soccer, Time: ,Sat Jul 11 16:00:00 CEST 2015, Time: ,Sat Jul 11 16:00:00 CEST 2015, Event: ,Brumunddal v Stjordals-Blink, Favorite: ,Brumunddal, 4719339   size:2.54,Price: ,1.96,Stjordals-Blink, 2440431   size:2.82,Price: ,2.8,The Draw, 58805   size:3.16,Price: ,4.2,x
1.119446733, Sport: ,Soccer, Time: ,Sat Jul 11 20:30:00 CEST 2015, Time: ,Sat Jul 11 20:30:00 CEST 2015, Event: ,CA Central Cordoba v Club Lujan, Favorite: ,CA Central Cordoba, 9540651   size:7.52,Price: ,1.69,The Draw, 58805   size:12.45,Price: ,1.89,ok
1.119467779, Sport: ,Darts, Time: ,Sat Jul 11 21:30:00 CEST 2015, Time: ,Sat Jul 11 21:30:00 CEST 2015, Event: ,Chisnall v Klaasen, Favorite: ,Dave Chisnall, 3535216   size:2.54,Price: ,1.55,Jelle Klaasen, 2414411   size:2.28,Price: ,2.54,x
1.119354617, Sport: ,Soccer, Time: ,Sat Jul 11 16:00:00 CEST 2015, Time: ,Sat Jul 11 16:00:00 CEST 2015, Event: ,Strindheim v Floro, Favorite: ,Floro, 6331882   size:2.76,Price: ,1.98,Strindheim, 398305   size:2.54,Price: ,2.98,The Draw, 58805   size:2.14,Price: ,4.1,x
1.119441168, Sport: ,Soccer, Time: ,Sat Jul 11 11:15:00 CEST 2015, Time: ,Sat Jul 11 11:15:00 CEST 2015, Event: ,Arouca v Varzim, Favorite: ,Arouca, 3413603   size:3.23,Price: ,1.46,The Draw, 58805   size:4.53,Price: ,4.4,Varzim, 48795   size:6.96,Price: ,5.7,ok
1.119355021, Sport: ,Soccer, Time: ,Sat Jul 11 15:00:00 CEST 2015, Time: ,Sat Jul 11 15:00:00 CEST 2015, Event: ,Salisbury v Bristol Rovers, Favorite: ,Bristol Rovers, 69821   size:10.54,Price: ,1.08,The Draw, 58805   size:13.9,Price: ,3.3,ok
1.119436370, Sport: ,Volleyball, Time: ,Sat Jul 11 08:10:00 CEST 2015, Time: ,Sat Jul 11 08:10:00 CEST 2015, Event: ,China (W) v Italy (W), Favorite: ,China (W), 7676900   size:2.54,Price: ,1.26,Italy (W), 5857946   size:6.32,Price: ,4.0,ok
1.119442132, Sport: ,Soccer, Time: ,Sat Jul 11 17:00:00 CEST 2015, Time: ,Sat Jul 11 17:00:00 CEST 2015, Event: ,FC Dornbirn v Austria Lustenau, Favorite: ,Austria Lustenau, 453564   size:3.34,Price: ,1.3,The Draw, 58805   size:74.07,Price: ,4.8,FC Dornbirn, 3258164   size:56.32,Price: ,6.0,ok
1.119467772, Sport: ,Darts, Time: ,Sat Jul 11 15:30:00 CEST 2015, Time: ,Sat Jul 11 15:30:00 CEST 2015, Event: ,King v Newton, Favorite: ,Mervyn King, 2414379   size:5.1,Price: ,1.69,Wes Newton, 2469727   size:4.48,Price: ,2.24,ok
1.119412700, Sport: ,Soccer, Time: ,Sat Jul 11 21:30:00 CEST 2015, Time: ,Sat Jul 11 21:30:00 CEST 2015, Event: ,El Gounah v Wadi Degla, Favorite: ,El Gounah, 5202561   size:3.13,Price: ,2.66,Wadi degla, 5259318   size:4.27,Price: ,2.82,The Draw, 58805   size:7.54,Price: ,2.88,x
