1.119386337, Sport: ,Soccer, Time: ,Mon Jul 13 20:00:00 CEST 2015, Time: ,Mon Jul 13 20:00:00 CEST 2015, Event: ,ACS Poli Timisoara v Pandurii, Favorite: ,Pandurii, 1556995   size:85.21,Price: ,2.56,ACS Poli Timisoara, 6809287   size:135.55,Price: ,3.05,The Draw, 58805   size:150.85,Price: ,3.3,ok
1.119412490, Sport: ,Soccer, Time: ,Tue Jul 14 01:00:00 CEST 2015, Time: ,Tue Jul 14 01:00:00 CEST 2015, Event: ,Independiente Rivadavia v Sportivo Belgrano, Favorite: ,Independiente Rivadavia, 5333044   size:7.01,Price: ,2.04,The Draw, 58805   size:11.0,Price: ,3.05,Sportivo Belgrano, 5971675   size:4.79,Price: ,4.5,x
1.119481175, Sport: ,Tennis, Time: ,Tue Jul 14 05:00:00 CEST 2015, Time: ,Tue Jul 14 05:00:00 CEST 2015, Event: ,Dart v Okamura, Favorite: ,Kyoka Okamura, 8887170   size:84.36,Price: ,1.03,ok
1.119481176, Sport: ,Tennis, Time: ,Tue Jul 14 06:30:00 CEST 2015, Time: ,Tue Jul 14 06:30:00 CEST 2015, Event: ,Omae v E Sema, Favorite: ,Erika Sema, 4151738   size:84.36,Price: ,1.03,Akiko Omae, 7749858   size:13.97,Price: ,1.16,ok
1.119329748, Sport: ,Soccer, Time: ,Mon Jul 13 16:00:00 CEST 2015, Time: ,Mon Jul 13 16:00:00 CEST 2015, Event: ,Johor Darul Takzim v Selangor, Favorite: ,Johor Darul Takzim, 6958480   size:10.62,Price: ,1.78,The Draw, 58805   size:5.52,Price: ,3.7,Selangor, 5391095   size:2.78,Price: ,4.3,ok
1.119487150, Sport: ,Tennis, Time: ,Mon Jul 13 17:00:00 CEST 2015, Time: ,Mon Jul 13 17:00:00 CEST 2015, Event: ,Saville v Pavic, Favorite: ,Luke Saville, 6965426   size:71.43,Price: ,1.66,Ante Pavic, 5224080   size:10.11,Price: ,2.48,x
1.119482381, Sport: ,Tennis, Time: ,Mon Jul 13 12:30:00 CEST 2015, Time: ,Mon Jul 13 12:30:00 CEST 2015, Event: ,Burnett v Rus, Favorite: ,Nastassja Burnett, 6373914   size:7.32,Price: ,1.89,Arantxa Rus, 2451050   size:5.75,Price: ,1.92,x
1.119229396, Sport: ,Bowls, Time: ,Mon Jul 13 10:00:00 CEST 2015, Time: ,Mon Jul 13 10:00:00 CEST 2015, Event: ,Stone v Paxton, Favorite: ,Robert Paxton, 2628010   size:2.93,Price: ,1.7,Tim Stone, 2292754   size:12.31,Price: ,2.12,ok
1.119478739, Sport: ,Tennis, Time: ,Mon Jul 13 20:30:00 CEST 2015, Time: ,Mon Jul 13 20:30:00 CEST 2015, Event: ,Rubin v Ito, Favorite: ,Tatsuma Ito, 3374118   size:53.03,Price: ,1.36,Noah Rubin, 7593248   size:2.54,Price: ,3.35,ok
1.119478564, Sport: ,Basketball, Time: ,Mon Jul 13 16:30:00 CEST 2015, Time: ,Mon Jul 13 16:30:00 CEST 2015, Event: ,Latvia v France, Favorite: ,France, 512600   size:12.52,Price: ,1.01,ok
1.119476341, Sport: ,Tennis, Time: ,Mon Jul 13 21:30:00 CEST 2015, Time: ,Mon Jul 13 21:30:00 CEST 2015, Event: ,S Napolitano v Lindell, Favorite: ,Christian Lindell, 4843189   size:18.11,Price: ,1.51,Stefano Napolitano, 8257870   size:11.13,Price: ,2.84,ok
1.119478568, Sport: ,Basketball, Time: ,Mon Jul 13 16:30:00 CEST 2015, Time: ,Mon Jul 13 16:30:00 CEST 2015, Event: ,Bosnia and H v Slovenia, Favorite: ,Slovenia, 512605   size:12.52,Price: ,1.01,ok
1.119481188, Sport: ,Tennis, Time: ,Tue Jul 14 08:00:00 CEST 2015, Time: ,Tue Jul 14 08:00:00 CEST 2015, Event: ,Higuchi v Wannasuk, Favorite: ,Nungnadda Wannasuk, 5303663   size:84.36,Price: ,1.03,Yuka Higuchi, 7657221   size:13.97,Price: ,1.16,ok
1.119480198, Sport: ,Tennis, Time: ,Mon Jul 13 11:00:00 CEST 2015, Time: ,Mon Jul 13 11:00:00 CEST 2015, Event: ,Kontaveit v Brianti, Favorite: ,Anett Kontaveit, 5300737   size:1662.66,Price: ,1.35,Alberta Brianti, 2264534   size:13.15,Price: ,3.5,ok
1.119481189, Sport: ,Tennis, Time: ,Tue Jul 14 06:30:00 CEST 2015, Time: ,Tue Jul 14 06:30:00 CEST 2015, Event: ,Miyamura v Lertpitaksinchai, Favorite: ,Nicha Lertpitaksinchai, 3673415   size:84.36,Price: ,1.03,Miki Miyamura, 7445677   size:13.48,Price: ,1.17,ok
1.119369063, Sport: ,Soccer, Time: ,Mon Jul 13 18:00:00 CEST 2015, Time: ,Mon Jul 13 18:00:00 CEST 2015, Event: ,Tammeka Tartu v Nomme Kalju, Favorite: ,Nomme Kalju, 4007449   size:4.77,Price: ,1.29,The Draw, 58805   size:2.1,Price: ,5.9,Tammeka Tartu, 5407303   size:3.69,Price: ,11.5,ok
