1.119435050, Sport: ,Soccer, Time: ,Sat Jul 18 05:00:00 CEST 2015, Time: ,Sat Jul 18 05:00:00 CEST 2015, Event: ,CF America v Man Utd, Favorite: ,Man Utd, 48351   size:38.8,Price: ,1.58,The Draw, 58805   size:15.26,Price: ,4.6,CF America, 328952   size:8.09,Price: ,6.4,ok
1.117884391, Sport: ,American Football, Time: ,Sat Jul 18 04:00:00 CEST 2015, Time: ,Sat Jul 18 04:00:00 CEST 2015, Event: ,BC @ Saskatchewan, Favorite: ,Saskatchewan, 2026227   size:4.08,Price: ,1.56,BC, 2014481   size:2.54,Price: ,2.5,x
1.119554951, Sport: ,Tennis, Time: ,Sat Jul 18 05:00:00 CEST 2015, Time: ,Sat Jul 18 05:00:00 CEST 2015, Event: ,Abduraimova v Kato, Favorite: ,Nigina Abduraimova, 3378313   size:6.05,Price: ,1.86,Miyu Kato, 8839047   size:5.77,Price: ,1.96,x
1.119542015, Sport: ,Soccer, Time: ,Sat Jul 18 04:00:00 CEST 2015, Time: ,Sat Jul 18 04:00:00 CEST 2015, Event: ,Arabe Unido v Chepo FC, Favorite: ,Chepo FC, 7831157   size:142.57,Price: ,1.06,The Draw, 58805   size:2.06,Price: ,1.26,x
1.119435247, Sport: ,Soccer, Time: ,Sat Jul 18 04:30:00 CEST 2015, Time: ,Sat Jul 18 04:30:00 CEST 2015, Event: ,Pachuca v Sunderland, Favorite: ,Pachuca, 328954   size:9.28,Price: ,2.6,Sunderland, 62783   size:3.09,Price: ,2.88,The Draw, 58805   size:179.16,Price: ,3.45,ok
1.119468629, Sport: ,Baseball, Time: ,Sat Jul 18 01:10:00 CEST 2015, Time: ,Sat Jul 18 01:10:00 CEST 2015, Event: ,CLE @ CIN, Favorite: ,Cleveland (T Bauer), 7184184   size:340.8,Price: ,1.95,Cincinnati (M Leake), 4640134   size:441.14,Price: ,2.0,x
1.119542071, Sport: ,Soccer, Time: ,Sat Jul 18 04:00:00 CEST 2015, Time: ,Sat Jul 18 04:00:00 CEST 2015, Event: ,Tauro FC v Atletico Nacional, Favorite: ,Atletico Nacional, 478920   size:142.57,Price: ,1.06,The Draw, 58805   size:2.06,Price: ,1.26,x
1.119468653, Sport: ,Baseball, Time: ,Sat Jul 18 02:10:00 CEST 2015, Time: ,Sat Jul 18 02:10:00 CEST 2015, Event: ,TEX @ HOU, Favorite: ,Houston (C McHugh), 8480882   size:299.31,Price: ,1.69,Texas (M Perez), 6480880   size:476.54,Price: ,2.36,ok
1.119468645, Sport: ,Baseball, Time: ,Sat Jul 18 02:10:00 CEST 2015, Time: ,Sat Jul 18 02:10:00 CEST 2015, Event: ,PIT @ MIL, Favorite: ,Milwaukee (M Fiers), 6408787   size:555.53,Price: ,1.81,Pittsburgh (C Morton), 3966279   size:112.7,Price: ,2.14,ok
1.119468637, Sport: ,Baseball, Time: ,Sat Jul 18 01:35:00 CEST 2015, Time: ,Sat Jul 18 01:35:00 CEST 2015, Event: ,CHC @ ATL, Favorite: ,Chicago Cubs (K Hendricks), 8688427   size:2.06,Price: ,1.83,Atlanta (J Teheran), 5530617   size:309.63,Price: ,2.18,x
1.119468670, Sport: ,Baseball, Time: ,Sat Jul 18 02:15:00 CEST 2015, Time: ,Sat Jul 18 02:15:00 CEST 2015, Event: ,NYM @ STL, Favorite: ,St Louis (L Lynn), 5588102   size:111.48,Price: ,1.81,NY Mets (N Syndergaard), 9477745   size:275.57,Price: ,2.18,ok
