1.119549166, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Morton v Rotherham, Favorite: ,Rotherham, 18565   size:288.14,Price: ,1.47,The Draw, 58805   size:50.53,Price: ,3.85,Morton, 46283   size:38.92,Price: ,4.7,ok
1.119541562, Sport: ,Soccer, Time: ,Sat Jul 18 18:30:00 CEST 2015, Time: ,Sat Jul 18 18:30:00 CEST 2015, Event: ,Germany U19 (W) v Norway U19 (W), Favorite: ,Germany U19 (W), 4044106   size:2.96,Price: ,1.33,The Draw, 58805   size:2.0,Price: ,4.7,Norway U19 (W), 4044102   size:14.39,Price: ,6.4,x
1.119545800, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Colwyn Bay v Bolton U21, Favorite: ,Bolton U21, 6594013   size:4.85,Price: ,2.02,Colwyn Bay, 2662205   size:4.29,Price: ,2.84,The Draw, 58805   size:4.06,Price: ,3.4,ok
1.119541444, Sport: ,Soccer, Time: ,Sat Jul 18 17:30:00 CEST 2015, Time: ,Sat Jul 18 17:30:00 CEST 2015, Event: ,Znicz Pruszkow v LKS Nadwislan Gora, Favorite: ,LKS Nadwislan Gora, 8693501   size:142.62,Price: ,1.06,The Draw, 58805   size:4.16,Price: ,1.25,ok
1.119504131, Sport: ,Soccer, Time: ,Sat Jul 18 18:00:00 CEST 2015, Time: ,Sat Jul 18 18:00:00 CEST 2015, Event: ,Diosgyori v Vasas, Favorite: ,Diosgyori, 2018266   size:28.52,Price: ,1.91,The Draw, 58805   size:34.3,Price: ,3.65,Vasas, 886340   size:2.63,Price: ,4.3,ok
1.119543628, Sport: ,Soccer, Time: ,Sat Jul 18 11:30:00 CEST 2015, Time: ,Sat Jul 18 11:30:00 CEST 2015, Event: ,Academica v Feirense, Favorite: ,Academica, 203143   size:3.66,Price: ,1.75,The Draw, 58805   size:11.33,Price: ,3.65,Feirense, 505957   size:3.52,Price: ,4.3,x
1.119545928, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Cowdenbeath v Edinburgh City, Favorite: ,Cowdenbeath, 674745   size:5.91,Price: ,1.34,The Draw, 58805   size:45.02,Price: ,4.2,Edinburgh City, 615040   size:36.01,Price: ,5.7,x
1.119551000, Sport: ,Soccer, Time: ,Sat Jul 18 16:00:00 CEST 2015, Time: ,Sat Jul 18 16:00:00 CEST 2015, Event: ,Torquay v Newport County, Favorite: ,Torquay, 50808   size:2.91,Price: ,2.26,Newport County, 62623   size:2.91,Price: ,2.56,The Draw, 58805   size:2.91,Price: ,3.1,x
1.119550275, Sport: ,Soccer, Time: ,Sat Jul 18 11:00:00 CEST 2015, Time: ,Sat Jul 18 11:00:00 CEST 2015, Event: ,SK Sigma Olomouc II v Znojmo, Favorite: ,Znojmo, 4142628   size:4.22,Price: ,2.44,The Draw, 58805   size:2.6,Price: ,3.6,x
1.119346671, Sport: ,Mixed Martial Arts, Time: ,Sat Jul 18 17:00:00 CEST 2015, Time: ,Sat Jul 18 17:00:00 CEST 2015, Event: ,Whiteford v Redmond, Favorite: ,Rob Whiteford, 7878023   size:2.87,Price: ,1.68,Paul Redmond, 7311784   size:2.87,Price: ,2.28,ok
1.119539017, Sport: ,Soccer, Time: ,Sat Jul 18 18:30:00 CEST 2015, Time: ,Sat Jul 18 18:30:00 CEST 2015, Event: ,Levadiakos v Panathinaikos, Favorite: ,Panathinaikos, 50334   size:5.57,Price: ,1.43,The Draw, 58805   size:3.85,Price: ,3.9,Levadiakos, 531200   size:3.58,Price: ,5.3,ok
