1.119576974, Sport: ,Tennis, Time: ,Tue Jul 21 11:00:00 CEST 2015, Time: ,Tue Jul 21 11:00:00 CEST 2015, Event: ,Gigounon v Hamou, Favorite: ,Germain Gigounon, 8174343   size:12.14,Price: ,1.66,Maxime Hamou, 8859456   size:2.86,Price: ,2.26,x
1.119576961, Sport: ,Tennis, Time: ,Tue Jul 21 09:30:00 CEST 2015, Time: ,Tue Jul 21 09:30:00 CEST 2015, Event: ,Krstin v Bellotti, Favorite: ,Pedja Krstin, 8257862   size:15.6,Price: ,1.63,Riccardo Bellotti, 7533686   size:7.18,Price: ,2.44,ok
1.119594287, Sport: ,Tennis, Time: ,Tue Jul 21 10:00:00 CEST 2015, Time: ,Tue Jul 21 10:00:00 CEST 2015, Event: ,Bogdan v Zanevska, Favorite: ,Maryna Zanevska, 6390239   size:7.29,Price: ,1.69,Ana Bogdan, 3875013   size:71.94,Price: ,2.3,ok
1.119575350, Sport: ,Tennis, Time: ,Tue Jul 21 11:00:00 CEST 2015, Time: ,Tue Jul 21 11:00:00 CEST 2015, Event: ,Perez Sanz v Bemelmans, Favorite: ,Ruben Bemelmans, 2831873   size:3.13,Price: ,1.24,David Perez Sanz, 8827525   size:14.79,Price: ,5.0,ok
1.119586369, Sport: ,Tennis, Time: ,Tue Jul 21 11:00:00 CEST 2015, Time: ,Tue Jul 21 11:00:00 CEST 2015, Event: ,Beck v Michon, Favorite: ,Andreas Beck, 2396600   size:82.74,Price: ,1.48,Axel Michon, 4994683   size:21.26,Price: ,2.7,ok
1.119575310, Sport: ,Tennis, Time: ,Tue Jul 21 11:00:00 CEST 2015, Time: ,Tue Jul 21 11:00:00 CEST 2015, Event: ,Kudryavtsev v Lazov, Favorite: ,Alexander Kudryavtsev, 5908538   size:5.1,Price: ,1.35,Alexandar Lazov, 9377232   size:19.47,Price: ,3.4,x
1.119575387, Sport: ,Tennis, Time: ,Tue Jul 21 11:00:00 CEST 2015, Time: ,Tue Jul 21 11:00:00 CEST 2015, Event: ,Samper-Montana v Bourgue, Favorite: ,Mathias Bourgue, 7066925   size:5.39,Price: ,1.76,Jordi Samper-Montana, 8258998   size:2.55,Price: ,2.12,x
1.119586660, Sport: ,Cricket, Time: ,Tue Jul 21 11:00:00 CEST 2015, Time: ,Tue Jul 21 11:00:00 CEST 2015, Event: ,Hong Kong v Afghanistan, Favorite: ,Afghanistan, 3786094   size:21.63,Price: ,1.37,Hong Kong, 247649   size:19.69,Price: ,3.45,x
1.119575396, Sport: ,Tennis, Time: ,Tue Jul 21 11:00:00 CEST 2015, Time: ,Tue Jul 21 11:00:00 CEST 2015, Event: ,Puetz v Munoz-De La Nava, Favorite: ,Daniel Munoz-de la Nava, 8259000   size:3.73,Price: ,1.34,Tim Puetz, 7593247   size:16.22,Price: ,3.5,ok
1.119585439, Sport: ,Tennis, Time: ,Tue Jul 21 11:30:00 CEST 2015, Time: ,Tue Jul 21 11:30:00 CEST 2015, Event: ,Arruabarrena v Hradecka, Favorite: ,Lara Arruabarrena, 7137471   size:105.28,Price: ,1.68,Lucie Hradecka, 2387876   size:212.67,Price: ,2.3,x
1.119585435, Sport: ,Tennis, Time: ,Tue Jul 21 11:30:00 CEST 2015, Time: ,Tue Jul 21 11:30:00 CEST 2015, Event: ,Allertova v Witthoeft, Favorite: ,Carina Witthoeft, 5408907   size:7.07,Price: ,1.25,Denisa Allertova, 8679183   size:4.12,Price: ,1.5,x
1.119426500, Sport: ,Cricket, Time: ,Tue Jul 21 11:30:00 CEST 2015, Time: ,Tue Jul 21 11:30:00 CEST 2015, Event: ,England Women v Australia Women (1st ODI), Favorite: ,England Women, 890529   size:6.63,Price: ,1.93,Australia Women, 4708889   size:43.89,Price: ,2.04,ok
1.119585438, Sport: ,Tennis, Time: ,Tue Jul 21 10:00:00 CEST 2015, Time: ,Tue Jul 21 10:00:00 CEST 2015, Event: ,Haas v Mitu, Favorite: ,Andreea Mitu, 7289592   size:413.46,Price: ,1.25,Barbara Haas, 6438801   size:536.85,Price: ,4.7,ok
1.119596094, Sport: ,Tennis, Time: ,Tue Jul 21 11:00:00 CEST 2015, Time: ,Tue Jul 21 11:00:00 CEST 2015, Event: ,Reister v Zverev, Favorite: ,Alexander Zverev, 7430944   size:84.48,Price: ,1.56,Julian Reister, 2607569   size:4.61,Price: ,2.64,ok
1.119585437, Sport: ,Tennis, Time: ,Tue Jul 21 10:00:00 CEST 2015, Time: ,Tue Jul 21 10:00:00 CEST 2015, Event: ,Babos v Hercog, Favorite: ,Polona Hercog, 2548781   size:12.22,Price: ,1.55,Timea Babos, 4828174   size:12.12,Price: ,2.74,ok
1.119594335, Sport: ,Tennis, Time: ,Tue Jul 21 11:30:00 CEST 2015, Time: ,Tue Jul 21 11:30:00 CEST 2015, Event: ,Kasatkina v Krunic, Favorite: ,Daria Kasatkina, 7795290   size:3.0,Price: ,1.9,Aleksandra Krunic, 5300820   size:33.93,Price: ,2.08,ok
