1.119584968, Sport: ,Tennis, Time: ,Tue Jul 21 15:00:00 CEST 2015, Time: ,Tue Jul 21 15:00:00 CEST 2015, Event: ,Eguchi/Jegiolka v Aksu/Sezer, Favorite: ,Eguchi/Jegiolka, 10025951   size:3.27,Price: ,1.53,Aksu/Sezer, 10025952   size:2.12,Price: ,2.36,x
1.119584963, Sport: ,Tennis, Time: ,Tue Jul 21 14:30:00 CEST 2015, Time: ,Tue Jul 21 14:30:00 CEST 2015, Event: ,Kontaveit/Kulichkova v Yang/Zhu, Favorite: ,Yang/Zhu, 9285612   size:2.55,Price: ,1.86,x
1.119584844, Sport: ,Tennis, Time: ,Tue Jul 21 15:00:00 CEST 2015, Time: ,Tue Jul 21 15:00:00 CEST 2015, Event: ,Cibulkova v Giorgi, Favorite: ,Camila Giorgi, 5619012   size:67.74,Price: ,1.87,Dominika Cibulkova, 2301145   size:364.88,Price: ,2.04,ok
1.119596304, Sport: ,Tennis, Time: ,Tue Jul 21 14:30:00 CEST 2015, Time: ,Tue Jul 21 14:30:00 CEST 2015, Event: ,Wang v Przysiezny, Favorite: ,Michal Przysiezny, 2475803   size:7.55,Price: ,1.29,Chuhan Wang, 8326998   size:12.89,Price: ,3.9,ok
1.119591379, Sport: ,Soccer, Time: ,Tue Jul 21 14:30:00 CEST 2015, Time: ,Tue Jul 21 14:30:00 CEST 2015, Event: ,Dhaka Abahani LTD v Brothers Union, Favorite: ,Dhaka Abahani LTD, 8618576   size:2.55,Price: ,2.16,Brothers Union, 8618577   size:3.47,Price: ,2.94,The Draw, 58805   size:9.07,Price: ,3.4,x
1.119575326, Sport: ,Tennis, Time: ,Tue Jul 21 15:30:00 CEST 2015, Time: ,Tue Jul 21 15:30:00 CEST 2015, Event: ,Smith v Fucsovics, Favorite: ,Marton Fucsovics, 4827766   size:2.55,Price: ,1.5,Connor Smith, 8732289   size:133.59,Price: ,2.92,ok
1.119499768, Sport: ,Soccer, Time: ,Tue Jul 21 15:00:00 CEST 2015, Time: ,Tue Jul 21 15:00:00 CEST 2015, Event: ,FC Koln II v Fortuna Koln, Favorite: ,Fortuna Koln, 5790034   size:15.52,Price: ,2.5,FC Koln II, 5288926   size:3.64,Price: ,2.92,The Draw, 58805   size:5.0,Price: ,3.7,x
1.119584746, Sport: ,Tennis, Time: ,Tue Jul 21 14:00:00 CEST 2015, Time: ,Tue Jul 21 14:00:00 CEST 2015, Event: ,Radwanska v J Jankovic, Favorite: ,Jelena Jankovic, 2252607   size:2040.01,Price: ,1.28,Urszula Radwanska, 2395156   size:30.66,Price: ,4.3,x
1.119576990, Sport: ,Tennis, Time: ,Tue Jul 21 15:30:00 CEST 2015, Time: ,Tue Jul 21 15:30:00 CEST 2015, Event: ,Brkic v Niklas-salminen, Favorite: ,Tomislav Brkic, 3957838   size:3.25,Price: ,1.21,Patrik Niklas-salminen, 8713656   size:22.5,Price: ,4.4,x
1.119498416, Sport: ,Soccer, Time: ,Tue Jul 21 14:00:00 CEST 2015, Time: ,Tue Jul 21 14:00:00 CEST 2015, Event: ,Bayern Munich v Inter, Favorite: ,Bayern Munich, 5774350   size:4196.64,Price: ,1.54,The Draw, 58805   size:589.45,Price: ,4.8,Inter, 63347   size:93.59,Price: ,6.6,ok
1.119576192, Sport: ,Tennis, Time: ,Tue Jul 21 15:30:00 CEST 2015, Time: ,Tue Jul 21 15:30:00 CEST 2015, Event: ,Gimeno-Traver v Darcis, Favorite: ,Daniel Gimeno-Traver, 8260127   size:82.65,Price: ,1.55,Steve Darcis, 2481589   size:2.86,Price: ,2.74,x
