1.119611832, Sport: ,Tennis, Time: ,Thu Jul 23 12:30:00 CEST 2015, Time: ,Thu Jul 23 12:30:00 CEST 2015, Event: ,Heliovaara v Zopp, Favorite: ,Jurgen Zopp, 5223695   size:2.55,Price: ,1.21,Harri Heliovaara, 5021887   size:3.88,Price: ,4.8,ok
1.119628296, Sport: ,Tennis, Time: ,Thu Jul 23 13:30:00 CEST 2015, Time: ,Thu Jul 23 13:30:00 CEST 2015, Event: ,Hlavackova/Pavlyuchenko v Gavrilova/Svitolina, Favorite: ,Hlavackova/Pavlyuchenko, 10025956   size:3.65,Price: ,1.37,Gavrilova/Svitolina, 10058165   size:4.22,Price: ,2.98,x
1.119630374, Sport: ,Tennis, Time: ,Thu Jul 23 14:30:00 CEST 2015, Time: ,Thu Jul 23 14:30:00 CEST 2015, Event: ,Bellucci/Souza v Brunstrom/Lindstedt, Favorite: ,Brunstrom/Lindstedt, 6542549   size:2.55,Price: ,1.7,Bellucci/Souza, 7062721   size:3.34,Price: ,1.91,x
1.119606880, Sport: ,Tennis, Time: ,Thu Jul 23 12:00:00 CEST 2015, Time: ,Thu Jul 23 12:00:00 CEST 2015, Event: ,Pironkova v Nara, Favorite: ,Tsvetana Pironkova, 2263606   size:191.1,Price: ,1.75,Kurumi Nara, 3375664   size:239.59,Price: ,2.26,ok
1.119612448, Sport: ,Soccer, Time: ,Thu Jul 23 16:00:00 CEST 2015, Time: ,Thu Jul 23 16:00:00 CEST 2015, Event: ,Barracas Central (Res) v CA Platense (Res), Favorite: ,CA Platense (Res), 10050162   size:10.96,Price: ,1.08,The Draw, 58805   size:10.96,Price: ,1.29,ok
1.119613853, Sport: ,Soccer, Time: ,Thu Jul 23 11:00:00 CEST 2015, Time: ,Thu Jul 23 11:00:00 CEST 2015, Event: ,Krylya Sovetov (Y) v CSKA Moscow (Y), Favorite: ,CSKA Moscow (Y), 5386432   size:4.84,Price: ,1.32,The Draw, 58805   size:3.99,Price: ,5.6,Krylya Sovetov (Y), 9989505   size:2.68,Price: ,8.2,x
1.119613237, Sport: ,Soccer, Time: ,Thu Jul 23 13:00:00 CEST 2015, Time: ,Thu Jul 23 13:00:00 CEST 2015, Event: ,Heegan FC v Al Ahly (Sudan), Favorite: ,Al Ahly (Sudan), 6618831   size:10.96,Price: ,1.08,The Draw, 58805   size:10.96,Price: ,1.29,ok
1.119613797, Sport: ,Soccer, Time: ,Thu Jul 23 11:15:00 CEST 2015, Time: ,Thu Jul 23 11:15:00 CEST 2015, Event: ,Pasargad FC v Laos FC, Favorite: ,Laos FC, 9175332   size:13.84,Price: ,1.15,The Draw, 58805   size:3.3,Price: ,9.0,Pasargad FC, 9271141   size:25.12,Price: ,20.0,ok
1.119614246, Sport: ,Soccer, Time: ,Thu Jul 23 12:00:00 CEST 2015, Time: ,Thu Jul 23 12:00:00 CEST 2015, Event: ,Shb Da Nang v Hoang Anh Gia Lai, Favorite: ,Shb Da Nang, 4658209   size:3.42,Price: ,1.6,The Draw, 58805   size:3.77,Price: ,4.0,Hoang Anh Gia Lai, 7180053   size:4.28,Price: ,4.6,ok
1.119614022, Sport: ,Soccer, Time: ,Thu Jul 23 12:00:00 CEST 2015, Time: ,Thu Jul 23 12:00:00 CEST 2015, Event: ,Dong Nai v Quang Nam, Favorite: ,Dong Nai, 9094955   size:6.34,Price: ,2.3,Quang Nam, 9107099   size:7.26,Price: ,2.8,The Draw, 58805   size:4.17,Price: ,3.6,ok
1.119612184, Sport: ,Tennis, Time: ,Thu Jul 23 15:00:00 CEST 2015, Time: ,Thu Jul 23 15:00:00 CEST 2015, Event: ,Beck v Niklas-salminen, Favorite: ,Andreas Beck, 2396600   size:2.55,Price: ,1.13,Patrik Niklas-salminen, 8713656   size:2.96,Price: ,6.6,ok
1.119595918, Sport: ,Tennis, Time: ,Thu Jul 23 14:30:00 CEST 2015, Time: ,Thu Jul 23 14:30:00 CEST 2015, Event: ,Goffin v Paire, Favorite: ,David Goffin, 5224084   size:108.99,Price: ,1.25,Benoit Paire, 3911345   size:7.05,Price: ,4.8,x
1.119623426, Sport: ,Tennis, Time: ,Thu Jul 23 11:00:00 CEST 2015, Time: ,Thu Jul 23 11:00:00 CEST 2015, Event: ,Errani v Zanevska, Favorite: ,Sara Errani, 2309567   size:509.48,Price: ,1.15,Maryna Zanevska, 6390239   size:34.7,Price: ,7.4,ok
1.119623504, Sport: ,Tennis, Time: ,Thu Jul 23 11:00:00 CEST 2015, Time: ,Thu Jul 23 11:00:00 CEST 2015, Event: ,Monroe/Sitak v Mridha/Simonsson, Favorite: ,Monroe/Sitak, 9363712   size:8.48,Price: ,1.15,Mridha/Simonsson, 10016715   size:4.0,Price: ,4.4,ok
