1.119628470, Sport: ,Soccer, Time: ,Fri Jul 24 12:30:00 CEST 2015, Time: ,Fri Jul 24 12:30:00 CEST 2015, Event: ,AC Sparta Praha U19 v HNK Hajduk Split U19, Favorite: ,AC Sparta Praha U19, 6533101   size:2.77,Price: ,1.53,HNK Hajduk Split U19, 6533093   size:2.77,Price: ,2.06,The Draw, 58805   size:10.93,Price: ,3.45,ok
1.119652323, Sport: ,Tennis, Time: ,Fri Jul 24 12:00:00 CEST 2015, Time: ,Fri Jul 24 12:00:00 CEST 2015, Event: ,Gavrilova/Svitolina v Diatchenko/Savchuk, Favorite: ,Gavrilova/Svitolina, 10058165   size:2.55,Price: ,1.81,Diatchenko/Savchuk, 10025948   size:2.55,Price: ,1.98,ok
1.119630583, Sport: ,Basketball, Time: ,Fri Jul 24 13:00:00 CEST 2015, Time: ,Fri Jul 24 13:00:00 CEST 2015, Event: ,Netherlands U19 (W) v South Korea U19 (W), Favorite: ,South Korea U19 (W), 7433568   size:1502.82,Price: ,1.02,x
1.119630344, Sport: ,Tennis, Time: ,Fri Jul 24 11:30:00 CEST 2015, Time: ,Fri Jul 24 11:30:00 CEST 2015, Event: ,Lamasine v Satral, Favorite: ,Jan Satral, 8490613   size:5.92,Price: ,1.49,Tristan Lamasine, 8428332   size:4.94,Price: ,2.66,x
1.119644725, Sport: ,Tennis, Time: ,Fri Jul 24 11:00:00 CEST 2015, Time: ,Fri Jul 24 11:00:00 CEST 2015, Event: ,A Schmiedlova v Ann Beck, Favorite: ,Anna Karolina Schmiedlo, 9379842   size:745.53,Price: ,1.42,Annika Beck, 4174996   size:2.55,Price: ,3.0,ok
1.119644928, Sport: ,Tennis, Time: ,Fri Jul 24 13:00:00 CEST 2015, Time: ,Fri Jul 24 13:00:00 CEST 2015, Event: ,Cabal/Farah v Monroe/Sitak, Favorite: ,Cabal/Farah, 6098095   size:2.55,Price: ,1.43,Monroe/Sitak, 9363712   size:87.59,Price: ,2.56,ok
1.119619592, Sport: ,Tennis, Time: ,Fri Jul 24 11:00:00 CEST 2015, Time: ,Fri Jul 24 11:00:00 CEST 2015, Event: ,K Knapp v J Larsson, Favorite: ,Johanna Larsson, 3220168   size:405.62,Price: ,1.76,Karin Knapp, 2328045   size:4.15,Price: ,2.08,x
1.119630580, Sport: ,Basketball, Time: ,Fri Jul 24 10:45:00 CEST 2015, Time: ,Fri Jul 24 10:45:00 CEST 2015, Event: ,Egypt U19 (W) v Brazil U19 (W), Favorite: ,Brazil U19 (W), 7433563   size:664.24,Price: ,1.01,Egypt U19 (W), 9789212   size:313.93,Price: ,1.04,ok
1.119627912, Sport: ,Tennis, Time: ,Fri Jul 24 11:30:00 CEST 2015, Time: ,Fri Jul 24 11:30:00 CEST 2015, Event: ,Hamou v Ghem, Favorite: ,Andre Ghem, 5304700   size:6.88,Price: ,1.47,Maxime Hamou, 8859456   size:2.55,Price: ,2.72,ok
1.119629258, Sport: ,Tennis, Time: ,Fri Jul 24 12:45:00 CEST 2015, Time: ,Fri Jul 24 12:45:00 CEST 2015, Event: ,Kovinic v Stosur, Favorite: ,Samantha Stosur, 2248502   size:62.49,Price: ,1.48,Danka Kovinic, 7414059   size:6.02,Price: ,2.96,ok
1.119629950, Sport: ,Tennis, Time: ,Fri Jul 24 11:00:00 CEST 2015, Time: ,Fri Jul 24 11:00:00 CEST 2015, Event: ,Bellucci v A Zverev, Favorite: ,Thomaz Bellucci, 2830908   size:81.27,Price: ,1.43,Alexander Zverev, 7430944   size:108.24,Price: ,3.25,x
1.119628300, Sport: ,Soccer, Time: ,Fri Jul 24 13:00:00 CEST 2015, Time: ,Fri Jul 24 13:00:00 CEST 2015, Event: ,Al Khartoum SC Sudan v Gor Mahia FC, Favorite: ,Al Khartoum SC Sudan, 10002755   size:2.55,Price: ,1.52,Gor Mahia FC, 9993134   size:2.55,Price: ,2.08,The Draw, 58805   size:5.0,Price: ,3.1,x
1.119647808, Sport: ,Tennis, Time: ,Fri Jul 24 14:15:00 CEST 2015, Time: ,Fri Jul 24 14:15:00 CEST 2015, Event: ,Errani v Kasatkina, Favorite: ,Sara Errani, 2309567   size:13.18,Price: ,1.41,Daria Kasatkina, 7795290   size:64.63,Price: ,3.35,ok
1.119529253, Sport: ,Soccer, Time: ,Fri Jul 24 13:30:00 CEST 2015, Time: ,Fri Jul 24 13:30:00 CEST 2015, Event: ,Hougang Utd v Tampines Rovers, Favorite: ,Tampines Rovers, 5305977   size:12.77,Price: ,1.82,Hougang Utd, 5339978   size:3.26,Price: ,3.75,The Draw, 58805   size:2.55,Price: ,4.1,ok
1.119644826, Sport: ,Tennis, Time: ,Fri Jul 24 14:00:00 CEST 2015, Time: ,Fri Jul 24 14:00:00 CEST 2015, Event: ,Pironkova v U Radwanska, Favorite: ,Tsvetana Pironkova, 2263606   size:119.97,Price: ,1.69,Urszula Radwanska, 2395156   size:5.0,Price: ,2.32,x
1.119612184, Sport: ,Tennis, Time: ,Fri Jul 24 08:30:00 CEST 2015, Time: ,Fri Jul 24 08:30:00 CEST 2015, Event: ,And Beck v Niklas-salminen, Favorite: ,Andreas Beck, 2396600   size:549.66,Price: ,1.1,Patrik Niklas-salminen, 8713656   size:99.15,Price: ,2.0,ok
1.119616075, Sport: ,Tennis, Time: ,Fri Jul 24 14:00:00 CEST 2015, Time: ,Fri Jul 24 14:00:00 CEST 2015, Event: ,Arruabarrena/Hradecka v Goerges/Martic, Favorite: ,Arruabarrena/Hradecka, 10027014   size:3.29,Price: ,1.52,Goerges/Martic, 9946226   size:2.14,Price: ,2.34,ok
1.119528763, Sport: ,Soccer, Time: ,Fri Jul 24 14:45:00 CEST 2015, Time: ,Fri Jul 24 14:45:00 CEST 2015, Event: ,Malaysia XI v Liverpool, Favorite: ,Liverpool, 56323   size:4292.18,Price: ,1.14,The Draw, 58805   size:28.07,Price: ,10.0,Malaysia XI, 4043547   size:9.78,Price: ,26.0,x
1.119514565, Sport: ,Soccer, Time: ,Fri Jul 24 13:30:00 CEST 2015, Time: ,Fri Jul 24 13:30:00 CEST 2015, Event: ,Geylang International v Harimau Muda B, Favorite: ,Geylang International, 8279004   size:2.0,Price: ,1.9,Harimau Muda B, 5606145   size:6.45,Price: ,3.75,The Draw, 58805   size:2.57,Price: ,3.85,x
1.119645104, Sport: ,Tennis, Time: ,Fri Jul 24 12:45:00 CEST 2015, Time: ,Fri Jul 24 12:45:00 CEST 2015, Event: ,P Mathieu v Robredo, Favorite: ,Tommy Robredo, 2257298   size:266.12,Price: ,1.6,Paul-Henri Mathieu, 8259186   size:2.0,Price: ,2.6,ok
1.119644655, Sport: ,Tennis, Time: ,Fri Jul 24 13:00:00 CEST 2015, Time: ,Fri Jul 24 13:00:00 CEST 2015, Event: ,K Bondarenko v Tsurenko, Favorite: ,Lesia Tsurenko, 5300861   size:245.6,Price: ,1.97,Kateryna Bondarenko, 2291864   size:5.0,Price: ,2.02,ok
1.119647804, Sport: ,Tennis, Time: ,Fri Jul 24 14:45:00 CEST 2015, Time: ,Fri Jul 24 14:45:00 CEST 2015, Event: ,Bellucci/Souza v Chardy/Kubot, Favorite: ,Chardy/Kubot, 6337241   size:2.55,Price: ,1.48,Bellucci/Souza, 7062721   size:2.55,Price: ,2.6,ok
1.119625243, Sport: ,Soccer, Time: ,Fri Jul 24 10:00:00 CEST 2015, Time: ,Fri Jul 24 10:00:00 CEST 2015, Event: ,Foolad v FC Balkan, Favorite: ,FC Balkan, 10059103   size:5.92,Price: ,1.11,The Draw, 58805   size:5.0,Price: ,3.05,x
1.119616459, Sport: ,Tennis, Time: ,Fri Jul 24 08:30:00 CEST 2015, Time: ,Fri Jul 24 08:30:00 CEST 2015, Event: ,J Nieminen v Pavlov, Favorite: ,Jarkko Nieminen, 2257304   size:131.33,Price: ,1.04,Anton Pavlov, 9625175   size:18.16,Price: ,14.0,ok
1.119628412, Sport: ,Soccer, Time: ,Fri Jul 24 10:00:00 CEST 2015, Time: ,Fri Jul 24 10:00:00 CEST 2015, Event: ,Bohemians 1905 U19 v Swansea City AFC U19, Favorite: ,Swansea City AFC U19, 10050236   size:5.92,Price: ,1.12,The Draw, 58805   size:5.0,Price: ,3.6,x
1.119630604, Sport: ,Basketball, Time: ,Fri Jul 24 14:45:00 CEST 2015, Time: ,Fri Jul 24 14:45:00 CEST 2015, Event: ,Spain U19 (W) v Belgium U19 (W), Favorite: ,Belgium U19 (W), 9789190   size:557.82,Price: ,1.02,x
1.119647267, Sport: ,Tennis, Time: ,Fri Jul 24 14:30:00 CEST 2015, Time: ,Fri Jul 24 14:30:00 CEST 2015, Event: ,Paire v Istomin, Favorite: ,Denis Istomin, 2765780   size:173.81,Price: ,1.72,Benoit Paire, 3911345   size:94.0,Price: ,2.24,x
1.119627497, Sport: ,Tennis, Time: ,Fri Jul 24 14:00:00 CEST 2015, Time: ,Fri Jul 24 14:00:00 CEST 2015, Event: ,Pavlasek v An Kuznetsov, Favorite: ,Andrey Kuznetsov, 4257454   size:6.0,Price: ,1.45,Adam Pavlasek, 8494652   size:4.3,Price: ,2.84,ok
1.119629552, Sport: ,Soccer, Time: ,Fri Jul 24 14:00:00 CEST 2015, Time: ,Fri Jul 24 14:00:00 CEST 2015, Event: ,FK Hoverla (Res) v Vorskla (Res), Favorite: ,Vorskla (Res), 5366142   size:5.0,Price: ,1.18,FK Hoverla (Res), 6502677   size:5.0,Price: ,3.3,The Draw, 58805   size:6.36,Price: ,4.7,ok
1.119630006, Sport: ,Tennis, Time: ,Fri Jul 24 12:30:00 CEST 2015, Time: ,Fri Jul 24 12:30:00 CEST 2015, Event: ,Klepac/Krunic v Knoll/Matteucci, Favorite: ,Klepac/Krunic, 9946219   size:5.92,Price: ,1.45,Knoll/Matteucci, 10027017   size:15.77,Price: ,3.0,x
