1.119676272, Sport: ,Soccer, Time: ,Sun Jul 26 17:00:00 CEST 2015, Time: ,Sun Jul 26 17:00:00 CEST 2015, Event: ,Platense v Defensores de Belgrano, Favorite: ,Defensores de Belgrano, 5643646   size:79.18,Price: ,2.22,The Draw, 58805   size:47.68,Price: ,3.0,Platense, 5548214   size:42.75,Price: ,3.45,x
1.119555605, Sport: ,Soccer, Time: ,Sun Jul 26 18:00:00 CEST 2015, Time: ,Sun Jul 26 18:00:00 CEST 2015, Event: ,Esbjerg v FC Copenhagen, Favorite: ,FC Copenhagen, 28217   size:423.9,Price: ,2.28,The Draw, 58805   size:440.98,Price: ,3.4,Esbjerg, 113193   size:74.18,Price: ,3.6,ok
1.119574361, Sport: ,Baseball, Time: ,Sun Jul 26 19:10:00 CEST 2015, Time: ,Sun Jul 26 19:10:00 CEST 2015, Event: ,CWS @ CLE, Favorite: ,Cleveland (D Salazar), 7423005   size:341.44,Price: ,1.59,Chicago White Sox (C Rodon), 9469946   size:273.0,Price: ,2.56,x
1.119682957, Sport: ,Soccer, Time: ,Sun Jul 26 15:00:00 CEST 2015, Time: ,Sun Jul 26 15:00:00 CEST 2015, Event: ,Hibernian LFC (W) v Aberdeen (W), Favorite: ,Hibernian LFC (W), 9539972   size:4.03,Price: ,1.01,The Draw, 58805   size:5.65,Price: ,1.25,Aberdeen (W), 8635135   size:76.21,Price: ,1.5,ok
1.119561604, Sport: ,Soccer, Time: ,Sun Jul 26 18:00:00 CEST 2015, Time: ,Sun Jul 26 18:00:00 CEST 2015, Event: ,GAIS v Ljungskile, Favorite: ,Ljungskile, 502383   size:31.13,Price: ,2.64,GAIS, 384083   size:11.51,Price: ,2.84,The Draw, 58805   size:898.55,Price: ,3.55,x
1.119681507, Sport: ,Soccer, Time: ,Sun Jul 26 18:30:00 CEST 2015, Time: ,Sun Jul 26 18:30:00 CEST 2015, Event: ,Stuttgart v Winterthur, Favorite: ,Stuttgart, 44519   size:11.47,Price: ,1.34,The Draw, 58805   size:23.86,Price: ,5.6,Winterthur, 458019   size:2.82,Price: ,9.8,ok
1.119607813, Sport: ,Soccer, Time: ,Sun Jul 26 20:00:00 CEST 2015, Time: ,Sun Jul 26 20:00:00 CEST 2015, Event: ,Patronato v Sportivo Belgrano, Favorite: ,Patronato, 5178628   size:3.12,Price: ,1.41,The Draw, 58805   size:34.7,Price: ,4.2,Sportivo Belgrano, 5971675   size:24.07,Price: ,13.0,ok
1.119677003, Sport: ,Soccer, Time: ,Sun Jul 26 21:00:00 CEST 2015, Time: ,Sun Jul 26 21:00:00 CEST 2015, Event: ,Brasil de Pelotas v Tupi, Favorite: ,Brasil de Pelotas, 7160974   size:2.3,Price: ,1.91,The Draw, 58805   size:3.19,Price: ,3.1,Tupi, 4516150   size:7.67,Price: ,3.7,x
1.119611072, Sport: ,Soccer, Time: ,Sun Jul 26 20:00:00 CEST 2015, Time: ,Sun Jul 26 20:00:00 CEST 2015, Event: ,Newells v Rosario Central, Favorite: ,Newells, 194506   size:77.84,Price: ,2.86,Rosario Central, 220949   size:30.85,Price: ,2.94,The Draw, 58805   size:450.9,Price: ,3.05,x
1.119562259, Sport: ,Soccer, Time: ,Sun Jul 26 19:00:00 CEST 2015, Time: ,Sun Jul 26 19:00:00 CEST 2015, Event: ,Stjarnan v IBV, Favorite: ,Stjarnan, 3831006   size:752.75,Price: ,1.73,The Draw, 58805   size:88.81,Price: ,4.1,IBV, 198705   size:2.82,Price: ,5.2,ok
1.119560994, Sport: ,Soccer, Time: ,Sun Jul 26 17:30:00 CEST 2015, Time: ,Sun Jul 26 17:30:00 CEST 2015, Event: ,CS Uni Craiova v Astra Giurgiu, Favorite: ,CS Uni Craiova, 7615862   size:8.16,Price: ,2.08,The Draw, 58805   size:93.2,Price: ,3.35,Astra Giurgiu, 4991412   size:67.8,Price: ,4.1,x
1.119698987, Sport: ,Soccer, Time: ,Sun Jul 26 16:30:00 CEST 2015, Time: ,Sun Jul 26 16:30:00 CEST 2015, Event: ,Elazigspor v Balikesirspor, Favorite: ,Balikesirspor, 4985298   size:228.9,Price: ,1.01,The Draw, 58805   size:2.82,Price: ,1.25,ok
1.119676157, Sport: ,Soccer, Time: ,Sun Jul 26 16:00:00 CEST 2015, Time: ,Sun Jul 26 16:00:00 CEST 2015, Event: ,Flandria v CA Colegiales, Favorite: ,Flandria, 9509138   size:76.77,Price: ,2.32,The Draw, 58805   size:4.04,Price: ,2.9,CA Colegiales, 7670892   size:2.63,Price: ,3.6,x
