1.119685249, Sport: ,Tennis, Time: ,Tue Jul 28 09:45:00 CEST 2015, Time: ,Tue Jul 28 09:45:00 CEST 2015, Event: ,Zhyrmont v Kravchuk, Favorite: ,Konstantin Kravchuk, 5011822   size:47.76,Price: ,1.61,Dzmitry Zhyrmont, 7366760   size:3.02,Price: ,2.44,ok
1.119713025, Sport: ,Tennis, Time: ,Tue Jul 28 08:00:00 CEST 2015, Time: ,Tue Jul 28 08:00:00 CEST 2015, Event: ,K Bondarenko v Ivakhnenko, Favorite: ,Kateryna Bondarenko, 2291864   size:8.4,Price: ,1.22,Valentyna Ivakhnenko, 6498928   size:2.55,Price: ,4.7,ok
1.119574483, Sport: ,Baseball, Time: ,Tue Jul 28 01:05:00 CEST 2015, Time: ,Tue Jul 28 01:05:00 CEST 2015, Event: ,ATL @ BAL, Favorite: ,Baltimore (K Gausman), 7292275   size:520.4,Price: ,1.63,Atlanta (A Wood), 7368437   size:94.99,Price: ,2.5,ok
1.119690115, Sport: ,Tennis, Time: ,Tue Jul 28 10:00:00 CEST 2015, Time: ,Tue Jul 28 10:00:00 CEST 2015, Event: ,R Marcora v Hernandez-Fernandez, Favorite: ,Jose Hernandez-Fernande, 9420497   size:5.85,Price: ,1.62,Roberto Marcora, 7412952   size:6.0,Price: ,2.28,ok
1.119711686, Sport: ,Tennis, Time: ,Tue Jul 28 10:00:00 CEST 2015, Time: ,Tue Jul 28 10:00:00 CEST 2015, Event: ,Yaf Wang v K Okamura, Favorite: ,Yafan Wang, 7695509   size:5.44,Price: ,1.25,Kyoka Okamura, 8887170   size:19.48,Price: ,4.8,ok
1.119696367, Sport: ,Tennis, Time: ,Tue Jul 28 01:30:00 CEST 2015, Time: ,Tue Jul 28 01:30:00 CEST 2015, Event: ,Sarkissian v Jasika, Favorite: ,Alexander Sarkissian, 8734382   size:611.65,Price: ,1.8,Omar Jasika, 7335917   size:29.44,Price: ,2.22,x
1.119690155, Sport: ,Tennis, Time: ,Tue Jul 28 10:00:00 CEST 2015, Time: ,Tue Jul 28 10:00:00 CEST 2015, Event: ,L Ouahab v Ramirez Hidalgo, Favorite: ,Ruben Ramirez Hidalgo, 2257299   size:5.68,Price: ,1.65,Lamine Ouahab, 3052816   size:8.41,Price: ,2.24,x
1.119685250, Sport: ,Tennis, Time: ,Tue Jul 28 09:45:00 CEST 2015, Time: ,Tue Jul 28 09:45:00 CEST 2015, Event: ,Khassanov v Moriya, Favorite: ,Hiroki Moriya, 5858055   size:2.55,Price: ,1.1,Roman Khassanov, 8304053   size:4.0,Price: ,7.8,ok
1.119696518, Sport: ,Tennis, Time: ,Mon Jul 27 23:45:00 CEST 2015, Time: ,Mon Jul 27 23:45:00 CEST 2015, Event: ,G Muller v D Young, Favorite: ,Gilles Muller, 2248579   size:366.88,Price: ,1.61,Donald Young, 2345091   size:13.82,Price: ,2.6,ok
1.119685271, Sport: ,Tennis, Time: ,Tue Jul 28 06:00:00 CEST 2015, Time: ,Tue Jul 28 06:00:00 CEST 2015, Event: ,Co Smith v Dubarenco, Favorite: ,Connor Smith, 8732289   size:3.43,Price: ,1.84,Maxim Dubarenco, 7797862   size:2.55,Price: ,1.98,x
1.119716152, Sport: ,Soccer, Time: ,Tue Jul 28 09:00:00 CEST 2015, Time: ,Tue Jul 28 09:00:00 CEST 2015, Event: ,Vasas Budapest SC U19 v Olympic FC Brisbane U19, Favorite: ,Vasas Budapest SC U19, 10039019   size:100.0,Price: ,1.07,The Draw, 58805   size:9.99,Price: ,4.0,Olympic FC Brisbane U19, 10038973   size:9.99,Price: ,5.0,ok
1.119685275, Sport: ,Tennis, Time: ,Tue Jul 28 06:00:00 CEST 2015, Time: ,Tue Jul 28 06:00:00 CEST 2015, Event: ,Boltz v Popko, Favorite: ,Sebastien Boltz, 9260156   size:44.68,Price: ,1.57,Dmitry Popko, 8284522   size:2.08,Price: ,2.4,x
1.119606581, Sport: ,Soccer, Time: ,Tue Jul 28 01:00:00 CEST 2015, Time: ,Tue Jul 28 01:00:00 CEST 2015, Event: ,Audax Italiano v Palestino, Favorite: ,Audax Italiano, 2295419   size:41.62,Price: ,2.42,Palestino, 5129869   size:69.26,Price: ,3.2,The Draw, 58805   size:2.07,Price: ,3.55,x
1.119574515, Sport: ,Baseball, Time: ,Tue Jul 28 02:00:00 CEST 2015, Time: ,Tue Jul 28 02:00:00 CEST 2015, Event: ,NYY @ TEX, Favorite: ,NY Yankees (I Nova), 5445498   size:277.09,Price: ,1.92,Texas (M Harrison), 3174077   size:341.0,Price: ,2.02,ok
1.119685235, Sport: ,Tennis, Time: ,Tue Jul 28 07:45:00 CEST 2015, Time: ,Tue Jul 28 07:45:00 CEST 2015, Event: ,Kukushkin v Y Chung, Favorite: ,Mikhail Kukushkin, 2609424   size:423.01,Price: ,1.04,Yunseong Chung, 8521090   size:2.51,Price: ,9.8,ok
1.119574499, Sport: ,Baseball, Time: ,Tue Jul 28 01:10:00 CEST 2015, Time: ,Tue Jul 28 01:10:00 CEST 2015, Event: ,KC @ CLE, Favorite: ,Cleveland (C Anderson), 9653347   size:354.62,Price: ,1.95,Kansas City (E Volquez), 9385643   size:31.64,Price: ,2.02,x
1.119610434, Sport: ,Soccer, Time: ,Mon Jul 27 23:00:00 CEST 2015, Time: ,Mon Jul 27 23:00:00 CEST 2015, Event: ,Arsenal FC v Argentinos Juniors, Favorite: ,Arsenal FC, 512619   size:34.62,Price: ,2.54,The Draw, 58805   size:290.1,Price: ,2.98,Argentinos Juniors, 453739   size:669.51,Price: ,3.65,ok
1.119685239, Sport: ,Tennis, Time: ,Tue Jul 28 07:45:00 CEST 2015, Time: ,Tue Jul 28 07:45:00 CEST 2015, Event: ,Y Mertens v Perez Sanz, Favorite: ,Yannick Mertens, 4521608   size:28.33,Price: ,1.31,David Perez Sanz, 8827525   size:4.99,Price: ,3.9,ok
1.119698350, Sport: ,Tennis, Time: ,Tue Jul 28 08:00:00 CEST 2015, Time: ,Tue Jul 28 08:00:00 CEST 2015, Event: ,Kalovelonis v Milton, Favorite: ,Joshua Milton, 3985858   size:8.12,Price: ,1.18,Markos Kalovelonis, 8713238   size:2.55,Price: ,5.0,x
