1.119690131, Sport: ,Tennis, Time: ,Tue Jul 28 13:30:00 CEST 2015, Time: ,Tue Jul 28 13:30:00 CEST 2015, Event: ,Fucsovics v Giannessi, Favorite: ,Alessandro Giannessi, 5829494   size:14.07,Price: ,1.61,Marton Fucsovics, 4827766   size:8.06,Price: ,2.5,ok
1.119723172, Sport: ,Soccer, Time: ,Tue Jul 28 13:30:00 CEST 2015, Time: ,Tue Jul 28 13:30:00 CEST 2015, Event: ,Wisla Krakow U19 v Bohemians 1905 U19, Favorite: ,Bohemians 1905 U19, 6531981   size:3.58,Price: ,1.64,Wisla Krakow U19, 7579700   size:4.28,Price: ,3.55,The Draw, 58805   size:2.55,Price: ,4.0,ok
1.119723430, Sport: ,Tennis, Time: ,Tue Jul 28 14:00:00 CEST 2015, Time: ,Tue Jul 28 14:00:00 CEST 2015, Event: ,Sakkari v Alexandrova, Favorite: ,Ekaterina Alexandrova, 8681458   size:2.55,Price: ,1.84,Maria Sakkari, 9002331   size:2.55,Price: ,2.0,x
1.119668582, Sport: ,Cricket, Time: ,Tue Jul 28 15:00:00 CEST 2015, Time: ,Tue Jul 28 15:00:00 CEST 2015, Event: ,Glamorgan v Kent, Favorite: ,Kent, 5901   size:528.81,Price: ,1.86,Glamorgan, 169   size:5776.2,Price: ,2.14,x
1.119690040, Sport: ,Tennis, Time: ,Tue Jul 28 15:30:00 CEST 2015, Time: ,Tue Jul 28 15:30:00 CEST 2015, Event: ,Bury/Istomin v Fyrstenberg/Gonzalez, Favorite: ,Fyrstenberg/Gonzalez, 9128657   size:5.58,Price: ,1.44,Bury/Istomin, 9494336   size:2.55,Price: ,2.6,x
1.119230048, Sport: ,Bowls, Time: ,Tue Jul 28 13:00:00 CEST 2015, Time: ,Tue Jul 28 13:00:00 CEST 2015, Event: ,Royal v Ware, Favorite: ,Mark Royal, 2266429   size:14.18,Price: ,1.53,Andy Ware, 9205051   size:9.2,Price: ,2.36,ok
1.119723115, Sport: ,Soccer, Time: ,Tue Jul 28 15:00:00 CEST 2015, Time: ,Tue Jul 28 15:00:00 CEST 2015, Event: ,Gor Mahia FC v Al Malakia FC, Favorite: ,Gor Mahia FC, 9993134   size:2.75,Price: ,1.43,The Draw, 58805   size:3.87,Price: ,3.75,Al Malakia FC, 10009440   size:2.21,Price: ,6.6,ok
1.119691424, Sport: ,Tennis, Time: ,Tue Jul 28 14:45:00 CEST 2015, Time: ,Tue Jul 28 14:45:00 CEST 2015, Event: ,Ilhan v An Kuznetsov, Favorite: ,Andrey Kuznetsov, 4257454   size:106.15,Price: ,1.36,Marsel Ilhan, 4147957   size:61.0,Price: ,3.45,x
1.119690138, Sport: ,Tennis, Time: ,Tue Jul 28 14:00:00 CEST 2015, Time: ,Tue Jul 28 14:00:00 CEST 2015, Event: ,Quinzi v T Brkic, Favorite: ,Gianluigi Quinzi, 8257864   size:5.71,Price: ,1.58,Tomislav Brkic, 3957838   size:2.55,Price: ,2.48,x
1.119690136, Sport: ,Tennis, Time: ,Tue Jul 28 15:00:00 CEST 2015, Time: ,Tue Jul 28 15:00:00 CEST 2015, Event: ,Kovalik v Caruso, Favorite: ,Jozef Kovalik, 7287668   size:82.68,Price: ,1.59,Salvatore Caruso, 8257868   size:2.22,Price: ,2.4,x
1.119690123, Sport: ,Tennis, Time: ,Tue Jul 28 13:30:00 CEST 2015, Time: ,Tue Jul 28 13:30:00 CEST 2015, Event: ,And Martin v Krstin, Favorite: ,Andrej Martin, 5071877   size:7.36,Price: ,1.61,Pedja Krstin, 8257862   size:29.95,Price: ,2.56,ok
