1.119735580, Sport: ,Handball, Time: ,Wed Jul 29 18:30:00 CEST 2015, Time: ,Wed Jul 29 18:30:00 CEST 2015, Event: ,Portugal U21 v Argentina U21, Favorite: ,Portugal U21, 10026205   size:45.25,Price: ,1.03,Draw, 330157   size:4.52,Price: ,3.0,x
1.119735583, Sport: ,Handball, Time: ,Wed Jul 29 18:30:00 CEST 2015, Time: ,Wed Jul 29 18:30:00 CEST 2015, Event: ,Norway U21 v Russia U21, Favorite: ,Norway U21, 10026175   size:18.1,Price: ,1.15,Russia U21, 7437020   size:9.05,Price: ,2.0,Draw, 330157   size:4.52,Price: ,3.0,ok
1.119696391, Sport: ,Tennis, Time: ,Wed Jul 29 17:45:00 CEST 2015, Time: ,Wed Jul 29 17:45:00 CEST 2015, Event: ,Fratangelo v Bangoura, Favorite: ,Sekou Bangoura, 7066127   size:229.9,Price: ,1.07,Bjorn Fratangelo, 7593723   size:7.29,Price: ,1.36,x
1.119717640, Sport: ,Soccer, Time: ,Wed Jul 29 18:00:00 CEST 2015, Time: ,Wed Jul 29 18:00:00 CEST 2015, Event: ,Academica v Nacional, Favorite: ,Academica, 203143   size:22.95,Price: ,2.16,The Draw, 58805   size:28.82,Price: ,3.45,Nacional, 203723   size:147.56,Price: ,3.75,x
1.119735004, Sport: ,Tennis, Time: ,Wed Jul 29 19:00:00 CEST 2015, Time: ,Wed Jul 29 19:00:00 CEST 2015, Event: ,Muhammad v Simmonds, Favorite: ,Asia Muhammad, 3288385   size:65.16,Price: ,1.53,Chanel Simmonds, 6604256   size:4.8,Price: ,2.58,x
1.119734996, Sport: ,Tennis, Time: ,Wed Jul 29 17:30:00 CEST 2015, Time: ,Wed Jul 29 17:30:00 CEST 2015, Event: ,Cako v Frenkel, Favorite: ,Nicole Frenkel, 9442839   size:52.16,Price: ,1.58,Jacqueline Cako, 8801039   size:25.07,Price: ,2.52,ok
1.119734997, Sport: ,Tennis, Time: ,Wed Jul 29 17:30:00 CEST 2015, Time: ,Wed Jul 29 17:30:00 CEST 2015, Event: ,S Chang v Whoriskey, Favorite: ,Caitlin Whoriskey, 8776880   size:5.88,Price: ,1.4,Sophie Chang, 9348383   size:15.38,Price: ,3.2,x
1.119698896, Sport: ,Basketball, Time: ,Wed Jul 29 17:30:00 CEST 2015, Time: ,Wed Jul 29 17:30:00 CEST 2015, Event: ,Seattle @ Washington, Favorite: ,Washington, 13105   size:7.25,Price: ,1.27,Seattle, 13130   size:2.83,Price: ,4.5,ok
1.119619622, Sport: ,Soccer, Time: ,Wed Jul 29 19:00:00 CEST 2015, Time: ,Wed Jul 29 19:00:00 CEST 2015, Event: ,Soderhamns v Selanger FK, Favorite: ,Selanger FK, 6415352   size:10.86,Price: ,1.07,The Draw, 58805   size:3.62,Price: ,1.29,x
1.119723594, Sport: ,Tennis, Time: ,Wed Jul 29 20:00:00 CEST 2015, Time: ,Wed Jul 29 20:00:00 CEST 2015, Event: ,Ye Lu v V Pospisil, Favorite: ,Vasek Pospisil, 4903598   size:558.18,Price: ,1.95,Yen-Hsun Lu, 8287128   size:296.71,Price: ,2.04,ok
1.119723960, Sport: ,Tennis, Time: ,Wed Jul 29 17:30:00 CEST 2015, Time: ,Wed Jul 29 17:30:00 CEST 2015, Event: ,Embree v Hibino, Favorite: ,Nao Hibino, 7683152   size:10.89,Price: ,1.4,Lauren Embree, 3915174   size:19.91,Price: ,3.45,ok
1.119619614, Sport: ,Soccer, Time: ,Wed Jul 29 20:00:00 CEST 2015, Time: ,Wed Jul 29 20:00:00 CEST 2015, Event: ,Sindri v IR Reykjavik, Favorite: ,IR Reykjavik, 4742652   size:11.86,Price: ,1.08,The Draw, 58805   size:3.62,Price: ,1.29,ok
1.119619624, Sport: ,Soccer, Time: ,Wed Jul 29 19:30:00 CEST 2015, Time: ,Wed Jul 29 19:30:00 CEST 2015, Event: ,Aspudden-Tellus v Ekero IK, Favorite: ,Aspudden-Tellus, 8438628   size:3.52,Price: ,1.65,The Draw, 58805   size:5.76,Price: ,4.3,Ekero IK, 7179554   size:5.55,Price: ,4.8,ok
1.119619605, Sport: ,Soccer, Time: ,Wed Jul 29 17:30:00 CEST 2015, Time: ,Wed Jul 29 17:30:00 CEST 2015, Event: ,Kultsu FC v Klubi-04, Favorite: ,Klubi-04, 798978   size:2.83,Price: ,2.66,Kultsu FC, 3844375   size:3.58,Price: ,2.76,The Draw, 58805   size:13.63,Price: ,3.8,ok
1.119619608, Sport: ,Soccer, Time: ,Wed Jul 29 17:30:00 CEST 2015, Time: ,Wed Jul 29 17:30:00 CEST 2015, Event: ,ESC v GrIFK, Favorite: ,GrIFK, 1229634   size:2.31,Price: ,2.34,ESC, 8661051   size:6.35,Price: ,2.98,The Draw, 58805   size:17.42,Price: ,3.8,x
1.119735003, Sport: ,Tennis, Time: ,Wed Jul 29 19:00:00 CEST 2015, Time: ,Wed Jul 29 19:00:00 CEST 2015, Event: ,Hesse v Loeb, Favorite: ,Jamie Loeb, 7593252   size:46.02,Price: ,1.79,Amandine Hesse, 7289620   size:2.12,Price: ,2.08,x
1.119734998, Sport:
