1.119714295, Sport: ,Soccer, Time: ,Fri Jul 31 00:00:00 CEST 2015, Time: ,Fri Jul 31 00:00:00 CEST 2015, Event: ,Everton De Vina v Union La Calera, Favorite: ,Everton De Vina, 3677851   size:10.27,Price: ,2.44,Union La Calera, 5271439   size:50.38,Price: ,2.94,The Draw, 58805   size:10.0,Price: ,3.6,ok
1.119698185, Sport: ,Baseball, Time: ,Fri Jul 31 02:10:00 CEST 2015, Time: ,Fri Jul 31 02:10:00 CEST 2015, Event: ,SEA @ MIN, Favorite: ,Minnesota (P Hughes), 8436206   size:287.78,Price: ,1.84,Seattle (J Happ), 9520039   size:8.0,Price: ,2.16,ok
1.119698041, Sport: ,Baseball, Time: ,Fri Jul 31 01:05:00 CEST 2015, Time: ,Fri Jul 31 01:05:00 CEST 2015, Event: ,DET @ BAL, Favorite: ,Baltimore (M Gonzalez), 6495397   size:1925.57,Price: ,1.65,Detroit (A Simon), 9389893   size:52.15,Price: ,2.48,x
1.119698169, Sport: ,Baseball, Time: ,Fri Jul 31 02:10:00 CEST 2015, Time: ,Fri Jul 31 02:10:00 CEST 2015, Event: ,CHC @ MIL, Favorite: ,Chicago (J Arrieta), 9430134   size:1904.41,Price: ,1.72,Milwaukee (J Nelson), 7720203   size:517.0,Price: ,2.24,ok
1.119751759, Sport: ,Soccer, Time: ,Fri Jul 31 01:00:00 CEST 2015, Time: ,Fri Jul 31 01:00:00 CEST 2015, Event: ,Union San Felipe v Palestino, Favorite: ,Palestino, 5129869   size:24.15,Price: ,2.5,Union San Felipe, 4966011   size:22.12,Price: ,2.94,The Draw, 58805   size:34.05,Price: ,3.5,x
1.119731414, Sport: ,Soccer, Time: ,Thu Jul 30 22:45:00 CEST 2015, Time: ,Thu Jul 30 22:45:00 CEST 2015, Event: ,Univ Catolica (Chile) v Audax Italiano, Favorite: ,Univ Catolica (Chile), 7029037   size:20.41,Price: ,2.06,The Draw, 58805   size:10.0,Price: ,3.65,Audax Italiano, 2295419   size:21.58,Price: ,3.85,ok
1.119753664, Sport: ,Tennis, Time: ,Fri Jul 31 00:00:00 CEST 2015, Time: ,Fri Jul 31 00:00:00 CEST 2015, Event: ,Isner v Stepanek, Favorite: ,John Isner, 2474763   size:74.17,Price: ,1.36,Radek Stepanek, 2249332   size:380.31,Price: ,3.7,ok
1.119698979, Sport: ,Basketball, Time: ,Fri Jul 31 02:00:00 CEST 2015, Time: ,Fri Jul 31 02:00:00 CEST 2015, Event: ,Phoenix @ Tulsa, Favorite: ,Phoenix, 13128   size:3.48,Price: ,1.84,Tulsa, 711056   size:288.89,Price: ,2.14,ok
1.119751885, Sport: ,Soccer, Time: ,Fri Jul 31 05:00:00 CEST 2015, Time: ,Fri Jul 31 05:00:00 CEST 2015, Event: ,Suva FC v Nadi FC, Favorite: ,Nadi FC, 9454370   size:12.01,Price: ,1.08,The Draw, 58805   size:10.0,Price: ,3.1,x
1.119753960, Sport: ,Tennis, Time: ,Thu Jul 30 22:45:00 CEST 2015, Time: ,Thu Jul 30 22:45:00 CEST 2015, Event: ,Baghdatis/Jaziri v Fleming/Muller, Favorite: ,Fleming/Muller, 10079043   size:49.96,Price: ,1.57,Baghdatis/Jaziri, 10079042   size:2.36,Price: ,2.72,ok
1.119698193, Sport: ,Baseball, Time: ,Fri Jul 31 02:10:00 CEST 2015, Time: ,Fri Jul 31 02:10:00 CEST 2015, Event: ,LAA @ HOU, Favorite: ,Houston (S Kazmir), 10067619   size:325.73,Price: ,1.7,LA Angels (M Shoemaker), 7683114   size:282.58,Price: ,2.32,ok
1.119698097, Sport: ,Baseball, Time: ,Fri Jul 31 01:10:00 CEST 2015, Time: ,Fri Jul 31 01:10:00 CEST 2015, Event: ,CWS @ BOS, Favorite: ,Chicago White Sox (C Sale), 6296975   size:470.0,Price: ,1.57,Boston (S Wright), 7555699   size:470.0,Price: ,2.6,x
1.119554927, Sport: ,American Football, Time: ,Fri Jul 31 02:30:00 CEST 2015, Time: ,Fri Jul 31 02:30:00 CEST 2015, Event: ,BC @ Winnipeg, Favorite: ,BC, 2014481   size:2.88,Price: ,1.71,Winnipeg, 2026212   size:2.78,Price: ,2.32,x
