1.119805648, Sport: ,Soccer, Time: ,Sun Aug 02 16:00:00 CEST 2015, Time: ,Sun Aug 02 16:00:00 CEST 2015, Event: ,Argentino de Merlo v CS Dock Sud, Favorite: ,Argentino de Merlo, 9593355   size:26.44,Price: ,1.02,CS Dock Sud, 9366695   size:5.88,Price: ,2.06,The Draw, 58805   size:13.32,Price: ,2.18,ok
1.119661214, Sport: ,Soccer, Time: ,Sun Aug 02 18:00:00 CEST 2015, Time: ,Sun Aug 02 18:00:00 CEST 2015, Event: ,Tromso v Stromsgodset, Favorite: ,Tromso, 50046   size:118.06,Price: ,2.64,Stromsgodset, 31319   size:5.0,Price: ,2.68,The Draw, 58805   size:173.51,Price: ,3.65,x
1.119662545, Sport: ,Soccer, Time: ,Sun Aug 02 13:45:00 CEST 2015, Time: ,Sun Aug 02 13:45:00 CEST 2015, Event: ,Lions XII FC v Felda Utd, Favorite: ,Lions XII FC, 6958482   size:10.7,Price: ,1.98,The Draw, 58805   size:22.02,Price: ,3.6,Felda Utd, 9189668   size:14.36,Price: ,3.95,ok
1.119813030, Sport: ,Tennis, Time: ,Sun Aug 02 13:45:00 CEST 2015, Time: ,Sun Aug 02 13:45:00 CEST 2015, Event: ,Zormann v J Paz, Favorite: ,Marcelo Zormann, 8843888   size:2.0,Price: ,1.83,Juan Pablo Paz, 8461061   size:2.55,Price: ,1.86,x
1.119805762, Sport: ,Soccer, Time: ,Sun Aug 02 17:00:00 CEST 2015, Time: ,Sun Aug 02 17:00:00 CEST 2015, Event: ,Shakhter Soligorsk v FK Slonim, Favorite: ,FK Slonim, 8509657   size:25.46,Price: ,1.02,The Draw, 58805   size:2.84,Price: ,1.25,x
1.119804430, Sport: ,Soccer, Time: ,Sun Aug 02 11:00:00 CEST 2015, Time: ,Sun Aug 02 11:00:00 CEST 2015, Event: ,FK Mlada Boleslav U21 v FK Teplice U21, Favorite: ,FK Mlada Boleslav U21, 6550996   size:2.55,Price: ,1.27,The Draw, 58805   size:5.61,Price: ,5.5,FK Teplice U21, 6563632   size:2.1,Price: ,7.2,ok
1.119802497, Sport: ,Soccer, Time: ,Sun Aug 02 15:00:00 CEST 2015, Time: ,Sun Aug 02 15:00:00 CEST 2015, Event: ,Jatran - Umanfrmash (W) v Legenda-SHMSV (W), Favorite: ,Legenda-SHMSV (W), 9274402   size:202.07,Price: ,1.03,Jatran - Umanfrmash (W), 8331761   size:6.01,Price: ,1.12,The Draw, 58805   size:2.84,Price: ,1.25,ok
1.119812985, Sport: ,Tennis, Time: ,Sun Aug 02 12:45:00 CEST 2015, Time: ,Sun Aug 02 12:45:00 CEST 2015, Event: ,Cipolla v Suc, Favorite: ,Flavio Cipolla, 2424788   size:2.55,Price: ,1.1,Dominik Suc, 8490611   size:2.55,Price: ,1.5,ok
1.119808350, Sport: ,Soccer, Time: ,Sun Aug 02 13:15:00 CEST 2015, Time: ,Sun Aug 02 13:15:00 CEST 2015, Event: ,Moonlight FC v Tarun Sangha FC, Favorite: ,Tarun Sangha FC, 10094548   size:25.46,Price: ,1.02,The Draw, 58805   size:2.84,Price: ,1.25,ok
1.119660374, Sport: ,Soccer, Time: ,Sun Aug 02 17:00:00 CEST 2015, Time: ,Sun Aug 02 17:00:00 CEST 2015, Event: ,Mlada Boleslav v FC Brno, Favorite: ,Mlada Boleslav, 886284   size:3.11,Price: ,1.54,The Draw, 58805   size:6.58,Price: ,4.6,FC Brno, 367582   size:36.76,Price: ,6.8,ok
1.119659704, Sport: ,Soccer, Time: ,Sun Aug 02 18:00:00 CEST 2015, Time: ,Sun Aug 02 18:00:00 CEST 2015, Event: ,Hodd v Baerum, Favorite: ,Hodd, 44824   size:357.65,Price: ,1.68,The Draw, 58805   size:354.84,Price: ,4.3,Baerum, 168740   size:9.15,Price: ,5.5,ok
