1.119664969, Sport: ,Soccer, Time: ,Sun Aug 02 21:00:00 CEST 2015, Time: ,Sun Aug 02 21:00:00 CEST 2015, Event: ,Joinville v Avai, Favorite: ,Joinville, 5259406   size:58.31,Price: ,2.46,The Draw, 58805   size:286.72,Price: ,3.25,Avai, 3859186   size:2.83,Price: ,3.35,ok
1.119805648, Sport: ,Soccer, Time: ,Sun Aug 02 16:00:00 CEST 2015, Time: ,Sun Aug 02 16:00:00 CEST 2015, Event: ,Argentino de Merlo v CS Dock Sud, Favorite: ,Argentino de Merlo, 9593355   size:26.44,Price: ,1.02,CS Dock Sud, 9366695   size:7.02,Price: ,2.62,The Draw, 58805   size:14.39,Price: ,2.8,ok
1.119718553, Sport: ,Soccer, Time: ,Sun Aug 02 21:00:00 CEST 2015, Time: ,Sun Aug 02 21:00:00 CEST 2015, Event: ,Deportivo Pasto v Once Caldas, Favorite: ,Deportivo Pasto, 478919   size:145.31,Price: ,2.46,Once Caldas, 816112   size:9.12,Price: ,3.0,The Draw, 58805   size:8.09,Price: ,3.35,ok
1.119711241, Sport: ,Baseball, Time: ,Sun Aug 02 19:35:00 CEST 2015, Time: ,Sun Aug 02 19:35:00 CEST 2015, Event: ,DET @ BAL, Favorite: ,Baltimore (U Jimenez), 8432626   size:465.0,Price: ,1.57,Detroit (D Norris), 10107605   size:104.0,Price: ,2.62,x
1.119813030, Sport: ,Tennis, Time: ,Sun Aug 02 16:15:00 CEST 2015, Time: ,Sun Aug 02 16:15:00 CEST 2015, Event: ,Zormann v J Paz, Favorite: ,Marcelo Zormann, 8843888   size:2.55,Price: ,1.86,Juan Pablo Paz, 8461061   size:2.55,Price: ,1.89,x
1.119742784, Sport: ,Soccer, Time: ,Sun Aug 02 20:30:00 CEST 2015, Time: ,Sun Aug 02 20:30:00 CEST 2015, Event: ,Ayacucho Futbol Club v Uni Cesar Vallejo, Favorite: ,Ayacucho Futbol Club, 9297155   size:7.76,Price: ,1.98,The Draw, 58805   size:27.0,Price: ,3.5,Uni Cesar Vallejo, 4897906   size:73.35,Price: ,4.3,x
1.119806610, Sport: ,Soccer, Time: ,Sun Aug 02 21:00:00 CEST 2015, Time: ,Sun Aug 02 21:00:00 CEST 2015, Event: ,Villa Nova v SE do Gama, Favorite: ,SE do Gama, 8288661   size:11.93,Price: ,1.08,The Draw, 58805   size:10.92,Price: ,1.29,ok
1.119805762, Sport: ,Soccer, Time: ,Sun Aug 02 17:00:00 CEST 2015, Time: ,Sun Aug 02 17:00:00 CEST 2015, Event: ,Shakhter Soligorsk v FK Slonim, Favorite: ,FK Slonim, 8509657   size:25.46,Price: ,1.02,The Draw, 58805   size:2.84,Price: ,1.25,x
1.119802497, Sport: ,Soccer, Time: ,Sun Aug 02 15:00:00 CEST 2015, Time: ,Sun Aug 02 15:00:00 CEST 2015, Event: ,Jatran - Umanfrmash (W) v Legenda-SHMSV (W), Favorite: ,Legenda-SHMSV (W), 9274402   size:202.07,Price: ,1.03,The Draw, 58805   size:5.91,Price: ,1.29,ok
1.119711249, Sport: ,Baseball, Time: ,Sun Aug 02 19:35:00 CEST 2015, Time: ,Sun Aug 02 19:35:00 CEST 2015, Event: ,TB @ BOS, Favorite: ,Boston (W Miley), 9389894   size:2.46,Price: ,1.84,Tampa Bay (J Odorizzi), 7286524   size:2.04,Price: ,2.02,x
1.119801289, Sport: ,Soccer, Time: ,Sun Aug 02 20:00:00 CEST 2015, Time: ,Sun Aug 02 20:00:00 CEST 2015, Event: ,Comercial FC U20 v CA Penapolense U20, Favorite: ,CA Penapolense U20, 9534522   size:25.46,Price: ,1.02,The Draw, 58805   size:2.84,Price: ,1.25,ok
1.119805083, Sport: ,Soccer, Time: ,Sun Aug 02 20:45:00 CEST 2015, Time: ,Sun Aug 02 20:45:00 CEST 2015, Event: ,Pescara v Sassuolo, Favorite: ,Sassuolo, 2013140   size:10.08,Price: ,2.42,Pescara, 201327   size:29.42,Price: ,3.2,The Draw, 58805   size:7.11,Price: ,3.35,ok
1.119818847, Sport: ,Tennis, Time: ,Sun Aug 02 18:15:00 CEST 2015, Time: ,Sun Aug 02 18:15:00 CEST 2015, Event: ,Niki v Matosevic, Favorite: ,Marinko Matosevic, 4423909   size:2.7,Price: ,1.3,Takuto Niki, 8351123   size:5.91,Price: ,3.95,ok
1.119725890, Sport: ,Soccer, Time: ,Sun Aug 02 20:30:00 CEST 2015, Time: ,Sun Aug 02 20:30:00 CEST 2015, Event: ,Benevento v Tuttocuoio, Favorite: ,Benevento, 522054   size:34.8,Price: ,1.58,The Draw, 58805   size:2.87,Price: ,3.95,Tuttocuoio, 8236407   size:2.18,Price: ,6.8,x
1.119808350, Sport: ,Soccer, Time: ,Sun Aug 02 13:15:00 CEST 2015, Time: ,Sun Aug 02 13:15:00 CEST 2015, Event: ,Moonlight FC v Tarun Sangha FC, Favorite: ,Tarun Sangha FC, 10094548   size:300.0,Price: ,1.55,The Draw, 58805   size:160.01,Price: ,2.52,Moonlight FC, 10091830   size:120.0,Price: ,2.78,ok
1.119818843, Sport: ,Tennis, Time: ,Sun Aug 02 19:15:00 CEST 2015, Time: ,Sun Aug 02 19:15:00 CEST 2015, Event: ,Sasnovich v N Broady, Favorite: ,Aliaksandra Sasnovich, 7283310   size:117.22,Price: ,1.71,Naomi Broady, 3960538   size:4.27,Price: ,2.16,x
1.119660374, Sport: ,Soccer, Time: ,Sun Aug 02 17:00:00 CEST 2015, Time: ,Sun Aug 02 17:00:00 CEST 2015, Event: ,Mlada Boleslav v FC Brno, Favorite: ,Mlada Boleslav, 886284   size:81.72,Price: ,1.54,The Draw, 58805   size:62.12,Price: ,4.5,FC Brno, 367582   size:4.3,Price: ,7.6,ok
1.119663506, Sport: ,Soccer, Time: ,Sun Aug 02 21:00:00 CEST 2015, Time: ,Sun Aug 02 21:00:00 CEST 2015, Event: ,Nice v Napoli, Favorite: ,Napoli, 676464   size:52.56,Price: ,2.24,Nice, 189829   size:13.98,Price: ,3.3,The Draw, 58805   size:4.97,Price: ,3.65,x
1.119659704, Sport: ,Soccer, Time: ,Sun Aug 02 18:00:00 CEST 2015, Time: ,Sun Aug 02 18:00:00 CEST 2015, Event: ,Hodd v Baerum, Favorite: ,Hodd, 44824   size:2.78,Price: ,1.64,The Draw, 58805   size:8.53,Price: ,4.5,Baerum, 168740   size:29.59,Price: ,5.6,ok
1.119719533, Sport: ,Soccer, Time: ,Sun Aug 02 19:00:00 CEST 2015, Time: ,Sun Aug 02 19:00:00 CEST 2015, Event: ,Aucas v River Plate (Ecu), Favorite: ,Aucas, 897347   size:208.03,Price: ,1.51,The Draw, 58805   size:91.5,Price: ,4.1,River Plate (Ecu), 9180231   size:3.83,Price: ,8.4,ok
1.119662535, Sport: ,Soccer, Time: ,Sun Aug 02 17:30:00 CEST 2015, Time: ,Sun Aug 02 17:30:00 CEST 2015, Event: ,JaPS v Ilves Kissat, Favorite: ,JaPS, 436011   size:5.69,Price: ,1.74,The Draw, 58805   size:17.43,Price: ,3.6,Ilves Kissat, 4674857   size:3.49,Price: ,3.75,ok
1.119819143, Sport: ,Volleyball, Time: ,Sun Aug 02 15:10:00 CEST 2015, Time: ,Sun Aug 02 15:10:00 CEST 2015, Event: ,Czech Republic (W) v Puerto Rico (W), Favorite: ,Puerto Rico (W), 8723807   size:4.65,Price: ,1.85,Czech Republic (W), 6412761   size:2.55,Price: ,1.96,x
1.119814928, Sport: ,Tennis, Time: ,Sun Aug 02 16:30:00 CEST 2015, Time: ,Sun Aug 02 16:30:00 CEST 2015, Event: ,Ortega-Olmedo v Rumenov Payakov, Favorite: ,Georgi Rumenov Payakov, 9489731   size:2.6,Price: ,1.35,Roberto Ortega-Olmedo, 8475991   size:25.87,Price: ,2.94,ok
1.119806047, Sport: ,Soccer, Time: ,Sun Aug 02 15:00:00 CEST 2015, Time: ,Sun Aug 02 15:00:00 CEST 2015, Event: ,EC Taubate (W) v Audax Sao Paulo (W), Favorite: ,Audax Sao Paulo (W), 9448737   size:20.91,Price: ,1.02,The Draw, 58805   size:2.84,Price: ,1.25,ok
1.119711257, Sport: ,Baseball, Time: ,Sun Aug 02 20:10:00 CEST 2015, Time: ,Sun Aug 02 20:10:00 CEST 2015, Event: ,ARI @ HOU, Favorite: ,Houston (C McHugh), 8480882   size:97.0,Price: ,1.75,Arizona (R Ray), 9458902   size:300.0,Price: ,2.26,ok
1.119805991, Sport: ,Soccer, Time: ,Sun Aug 02 20:30:00 CEST 2015, Time: ,Sun Aug 02 20:30:00 CEST 2015, Event: ,Siroki Brijeg v NK Vitez, Favorite: ,Siroki Brijeg, 198684   size:2.92,Price: ,1.26,The Draw, 58805   size:32.81,Price: ,3.75,NK Vitez, 8263537   size:16.88,Price: ,7.0,ok
1.119727025, Sport: ,Soccer, Time: ,Sun Aug 02 18:00:00 CEST 2015, Time: ,Sun Aug 02 18:00:00 CEST 2015, Event: ,Pisa v Sestri Levante, Favorite: ,Pisa, 501200   size:2.55,Price: ,1.61,The Draw, 58805   size:2.48,Price: ,3.45,Sestri Levante, 9170215   size:4.34,Price: ,5.2,ok
1.119667310, Sport: ,Soccer, Time: ,Sun Aug 02 21:00:00 CEST 2015, Time: ,Sun Aug 02 21:00:00 CEST 2015, Event: ,Fiorentina v Barcelona, Favorite: ,Barcelona, 55270   size:5.0,Price: ,1.57,The Draw, 58805   size:123.68,Price: ,4.5,Fiorentina, 676467   size:565.96,Price: ,6.8,x
1.119806160, Sport: ,Soccer, Time: ,Sun Aug 02 15:00:00 CEST 2015, Time: ,Sun Aug 02 15:00:00 CEST 2015, Event: ,XV de Piracicaba (W) v Sao Paulo FC (W), Favorite: ,Sao Paulo FC (W), 9433178   size:20.91,Price: ,1.02,The Draw, 58805   size:2.84,Price: ,1.25,x
1.119818859, Sport: ,Tennis, Time: ,Sun Aug 02 20:00:00 CEST 2015, Time: ,Sun Aug 02 20:00:00 CEST 2015, Event: ,Kalinina v Glushko, Favorite: ,Anhelina Kalinina, 8907168   size:2.9,Price: ,1.55,Julia Glushko, 5321877   size:7.72,Price: ,2.5,x
1.119814934, Sport: ,Tennis, Time: ,Sun Aug 02 13:30:00 CEST 2015, Time: ,Sun Aug 02 13:30:00 CEST 2015, Event: ,P Mathieu v Munar, Favorite: ,Paul-Henri Mathieu, 8259186   size:34.11,Price: ,1.23,Jaume Munar, 9350385   size:27.3,Price: ,4.8,ok
1.119662541, Sport: ,Soccer, Time: ,Sun Aug 02 17:30:00 CEST 2015, Time: ,Sun Aug 02 17:30:00 CEST 2015, Event: ,GrIFK v KaaPo, Favorite: ,GrIFK, 1229634   size:7.48,Price: ,1.15,The Draw, 58805   size:6.91,Price: ,6.4,KaaPo, 496722   size:2.84,Price: ,11.0,ok
