1.119820045, Sport: ,Tennis, Time: ,Mon Aug 03 11:00:00 CEST 2015, Time: ,Mon Aug 03 11:00:00 CEST 2015, Event: ,Cipolla v Dima, Favorite: ,Flavio Cipolla, 2424788   size:2.55,Price: ,1.63,Dragos Dima, 7216244   size:26.64,Price: ,2.24,ok
1.119816781, Sport: ,Soccer, Time: ,Mon Aug 03 13:00:00 CEST 2015, Time: ,Mon Aug 03 13:00:00 CEST 2015, Event: ,FC Copenhagen (Res) v Lyngby (Res), Favorite: ,Lyngby (Res), 5372987   size:5.91,Price: ,1.1,The Draw, 58805   size:5.0,Price: ,3.55,x
1.119811291, Sport: ,Tennis, Time: ,Mon Aug 03 10:00:00 CEST 2015, Time: ,Mon Aug 03 10:00:00 CEST 2015, Event: ,Lipovsek Puches v Rafael Matos, Favorite: ,Tomas Lipovsek Puches, 8174492   size:109.33,Price: ,1.51,Rafael Matos, 8842507   size:50.09,Price: ,2.56,ok
1.119804430, Sport: ,Soccer, Time: ,Mon Aug 03 11:00:00 CEST 2015, Time: ,Mon Aug 03 11:00:00 CEST 2015, Event: ,FK Mlada Boleslav U21 v FK Teplice U21, Favorite: ,FK Mlada Boleslav U21, 6550996   size:12.09,Price: ,1.28,The Draw, 58805   size:12.76,Price: ,6.2,FK Teplice U21, 6563632   size:5.71,Price: ,8.8,ok
1.119814689, Sport: ,Tennis, Time: ,Mon Aug 03 15:00:00 CEST 2015, Time: ,Mon Aug 03 15:00:00 CEST 2015, Event: ,Saez v Coppejans, Favorite: ,Kimmer Coppejans, 7364095   size:7.41,Price: ,1.31,Juan Carlos Saez, 8258302   size:29.07,Price: ,3.65,
1.119668132, Sport: ,Soccer, Time: ,Mon Aug 03 13:30:00 CEST 2015, Time: ,Mon Aug 03 13:30:00 CEST 2015, Event: ,Balestier Khalsa v Home Utd, Favorite: ,Balestier Khalsa, 5322891   size:3.3,Price: ,1.93,The Draw, 58805   size:8.76,Price: ,3.55,Home Utd, 4852330   size:2.55,Price: ,3.9,
1.119729013, Sport: ,Soccer, Time: ,Mon Aug 03 16:00:00 CEST 2015, Time: ,Mon Aug 03 16:00:00 CEST 2015, Event: ,Tyumen v Kamaz, Favorite: ,Tyumen, 6681501   size:37.2,Price: ,2.02,The Draw, 58805   size:4.48,Price: ,3.25,Kamaz, 2460921   size:6.03,Price: ,4.1,ok
1.119669429, Sport: ,Cricket, Time: ,Mon Aug 03 15:00:00 CEST 2015, Time: ,Mon Aug 03 15:00:00 CEST 2015, Event: ,Sussex v Middlesex, Favorite: ,Sussex, 31379   size:120.07,Price: ,1.78,Middlesex, 31378   size:711.4,Price: ,2.24,x
1.119667602, Sport: ,Soccer, Time: ,Mon Aug 03 14:30:00 CEST 2015, Time: ,Mon Aug 03 14:30:00 CEST 2015, Event: ,Muktijoddha Sangsad KC v Sheikh Jamal DC, Favorite: ,Sheikh Jamal DC, 8244834   size:4.59,Price: ,1.39,The Draw, 58805   size:6.74,Price: ,3.6,Muktijoddha Sangsad KC, 8727758   size:6.38,Price: ,4.6,x
1.119818685, Sport: ,Soccer, Time: ,Mon Aug 03 15:00:00 CEST 2015, Time: ,Mon Aug 03 15:00:00 CEST 2015, Event: ,FC Volga NN II v Volga Ulyanovsk, Favorite: ,Volga Ulyanovsk, 5656320   size:2.76,Price: ,1.81,The Draw, 58805   size:55.47,Price: ,2.84,FC Volga NN II, 10019067   size:4.22,Price: ,2.98,x
1.119669426, Sport: ,Cricket, Time: ,Mon Aug 03 15:00:00 CEST 2015, Time: ,Mon Aug 03 15:00:00 CEST 2015, Event: ,Northamptonshire v Somerset, Favorite: ,Somerset, 5995   size:685.59,Price: ,1.82,Northamptonshire, 475559   size:62.6,Price: ,2.14,x
