1.119828529, Sport: ,Soccer, Time: ,Tue Aug 04 17:00:00 CEST 2015, Time: ,Tue Aug 04 17:00:00 CEST 2015, Event: ,FK Volga Tver v FC Strogino, Favorite: ,FK Volga Tver, 6548131   size:2.55,Price: ,2.16,FC Strogino, 7536210   size:2.82,Price: ,2.38,The Draw, 58805   size:2.31,Price: ,2.94,ok
1.119815692, Sport: ,Tennis, Time: ,Tue Aug 04 15:00:00 CEST 2015, Time: ,Tue Aug 04 15:00:00 CEST 2015, Event: ,Volandri v Cagnina, Favorite: ,Filippo Volandri, 2256483   size:2.55,Price: ,1.34,Julien Cagnina, 8874559   size:4.48,Price: ,3.3,x
1.119828641, Sport: ,Soccer, Time: ,Tue Aug 04 17:00:00 CEST 2015, Time: ,Tue Aug 04 17:00:00 CEST 2015, Event: ,Znamya Truda v FK Pskov 747, Favorite: ,FK Pskov 747, 8659495   size:3.9,Price: ,1.69,The Draw, 58805   size:55.74,Price: ,2.78,Znamya Truda, 7536199   size:47.51,Price: ,3.25,ok
1.119732618, Sport: ,Soccer, Time: ,Tue Aug 04 13:30:00 CEST 2015, Time: ,Tue Aug 04 13:30:00 CEST 2015, Event: ,Hougang Utd v Warriors FC, Favorite: ,Warriors FC, 7120994   size:214.83,Price: ,1.65,The Draw, 58805   size:22.16,Price: ,4.5,Hougang Utd, 5339978   size:3.39,Price: ,4.8,x
1.119826987, Sport: ,Tennis, Time: ,Tue Aug 04 10:30:00 CEST 2015, Time: ,Tue Aug 04 10:30:00 CEST 2015, Event: ,Ortega-Olmedo v Gojowczyk, Favorite: ,Peter Gojowczyk, 4691416   size:46.99,Price: ,1.22,Roberto Ortega-Olmedo, 8475991   size:10.38,Price: ,4.7,ok
1.119832870, Sport: ,Volleyball, Time: ,Tue Aug 04 10:30:00 CEST 2015, Time: ,Tue Aug 04 10:30:00 CEST 2015, Event: ,Chinese Taipei v Thailand, Favorite: ,Chinese Taipei, 2158182   size:5.93,Price: ,1.55,Thailand, 1243242   size:2.42,Price: ,2.64,ok
1.119815619, Sport: ,Tennis, Time: ,Tue Aug 04 15:15:00 CEST 2015, Time: ,Tue Aug 04 15:15:00 CEST 2015, Event: ,Co Smith v H Cunha, Favorite: ,Henrique Cunha, 7444875   size:5.73,Price: ,1.89,Connor Smith, 8732289   size:5.88,Price: ,1.92,x
1.119830730, Sport: ,Tennis, Time: ,Tue Aug 04 12:15:00 CEST 2015, Time: ,Tue Aug 04 12:15:00 CEST 2015, Event: ,Cipolla v Carballes Baena, Favorite: ,Roberto Carballes Baena, 7185192   size:6.96,Price: ,1.45,Flavio Cipolla, 2424788   size:4.87,Price: ,2.76,x
1.119815696, Sport: ,Tennis, Time: ,Tue Aug 04 16:00:00 CEST 2015, Time: ,Tue Aug 04 16:00:00 CEST 2015, Event: ,Ma Gonzalez v Safwat, Favorite: ,Maximo Gonzalez, 2489416   size:4.18,Price: ,1.28,Mohamed Safwat, 6948116   size:3.29,Price: ,3.95,ok
1.119832874, Sport: ,Volleyball, Time: ,Tue Aug 04 14:30:00 CEST 2015, Time: ,Tue Aug 04 14:30:00 CEST 2015, Event: ,Qatar v China, Favorite: ,China, 1197302   size:10.14,Price: ,1.38,Qatar, 4210317   size:8.66,Price: ,3.4,ok
1.119826996, Sport: ,Tennis, Time: ,Tue Aug 04 10:30:00 CEST 2015, Time: ,Tue Aug 04 10:30:00 CEST 2015, Event: ,Y Mertens v Boltz, Favorite: ,Yannick Mertens, 4521608   size:15.16,Price: ,1.56,Sebastien Boltz, 9260156   size:35.03,Price: ,2.52,ok
1.119792412, Sport: ,Cricket, Time: ,Tue Aug 04 13:00:00 CEST 2015, Time: ,Tue Aug 04 13:00:00 CEST 2015, Event: ,Kent v Northamptonshire, Favorite: ,Kent, 5901   size:3.65,Price: ,1.72,Northamptonshire, 475559   size:2.68,Price: ,2.6,The Draw, 60443   size:2.68,Price: ,3.35,x
1.119825268, Sport: ,Tennis, Time: ,Tue Aug 04 10:00:00 CEST 2015, Time: ,Tue Aug 04 10:00:00 CEST 2015, Event: ,Reix v Salden, Favorite: ,Sherazad Reix, 9610851   size:4.13,Price: ,1.21,Lara Salden, 9218376   size:37.51,Price: ,4.8,ok
1.119826995, Sport: ,Tennis, Time: ,Tue Aug 04 13:30:00 CEST 2015, Time: ,Tue Aug 04 13:30:00 CEST 2015, Event: ,Mektic v L Ouahab, Favorite: ,Nikola Mektic, 3658467   size:31.73,Price: ,1.74,Lamine Ouahab, 3052816   size:2.31,Price: ,2.16,x
1.119793743, Sport: ,Cricket, Time: ,Tue Aug 04 11:30:00 CEST 2015, Time: ,Tue Aug 04 11:30:00 CEST 2015, Event: ,Lancashire v Nottinghamshire, Favorite: ,Nottinghamshire, 2780   size:230.8,Price: ,1.63,Lancashire, 424679   size:2.55,Price: ,2.26,ok
1.119831807, Sport: ,Soccer, Time: ,Tue Aug 04 16:45:00 CEST 2015, Time: ,Tue Aug 04 16:45:00 CEST 2015, Event: ,Petrojet v Misr El Makasa, Favorite: ,Misr El Makasa, 5905941   size:5.49,Price: ,2.24,Petrojet, 5168594   size:59.85,Price: ,2.84,The Draw, 58805   size:48.51,Price: ,3.6,x
1.119828135, Sport: ,Soccer, Time: ,Tue Aug 04 17:00:00 CEST 2015, Time: ,Tue Aug 04 17:00:00 CEST 2015, Event: ,FS METTA/LU (Res) v BFC Daugavpils (Res), Favorite: ,BFC Daugavpils (Res), 9457375   size:2.61,Price: ,1.07,The Draw, 58805   size:2.85,Price: ,1.25,x
1.119829227, Sport: ,Tennis, Time: ,Tue Aug 04 11:15:00 CEST 2015, Time: ,Tue Aug 04 11:15:00 CEST 2015, Event: ,Versteeg v Dodin, Favorite: ,Oceane Dodin, 7289631   size:6.34,Price: ,1.32,Kelly Versteeg, 9166490   size:8.34,Price: ,3.5,x
1.119815629, Sport: ,Tennis, Time: ,Tue Aug 04 12:15:00 CEST 2015, Time: ,Tue Aug 04 12:15:00 CEST 2015, Event: ,Mi Basic v D Wu, Favorite: ,Mirza Basic, 5499167   size:4.15,Price: ,1.54,Di Wu, 4596953   size:37.33,Price: ,2.56,ok
1.119815589, Sport: ,Tennis, Time: ,Tue Aug 04 10:30:00 CEST 2015, Time: ,Tue Aug 04 10:30:00 CEST 2015, Event: ,Crepaldi v Kravchuk, Favorite: ,Konstantin Kravchuk, 5011822   size:5.93,Price: ,1.35,Erik Crepaldi, 7839753   size:4.4,Price: ,3.45,ok
1.119829039, Sport: ,Soccer, Time: ,Tue Aug 04 15:00:00 CEST 2015, Time: ,Tue Aug 04 15:00:00 CEST 2015, Event: ,Ross Co U20 v Motherwell U20, Favorite: ,Motherwell U20, 6773900   size:2.61,Price: ,1.07,The Draw, 58805   size:2.85,Price: ,1.25,ok
1.119829159, Sport: ,Tennis, Time: ,Tue Aug 04 10:00:00 CEST 2015, Time: ,Tue Aug 04 10:00:00 CEST 2015, Event: ,Radanovic v Raina, Favorite: ,Ankita Raina, 7921012   size:75.99,Price: ,1.82,Dejana Radanovic, 9630247   size:3.05,Price: ,2.1,x
1.119803763, Sport: ,Tennis, Time: ,Tue Aug 04 14:45:00 CEST 2015, Time: ,Tue Aug 04 14:45:00 CEST 2015, Event: ,J Melzer v Gimeno-Traver, Favorite: ,Daniel Gimeno-Traver, 8260127   size:34.09,Price: ,1.88,Jurgen Melzer, 2256472   size:110.0,Price: ,2.0,x
1.119815713, Sport: ,Tennis, Time: ,Tue Aug 04 10:00:00 CEST 2015, Time: ,Tue Aug 04 10:00:00 CEST 2015, Event: ,Mager v An Kuznetsov, Favorite: ,Andrey Kuznetsov, 4257454   size:445.34,Price: ,1.16,Gianluca Mager, 8284482   size:9.16,Price: ,5.5,ok
1.119815679, Sport: ,Tennis, Time: ,Tue Aug 04 10:00:00 CEST 2015, Time: ,Tue Aug 04 10:00:00 CEST 2015, Event: ,Giannessi v R Marcora, Favorite: ,Alessandro Giannessi, 5829494   size:33.22,Price: ,1.33,Roberto Marcora, 7412952   size:18.61,Price: ,3.7,ok
1.119815672, Sport: ,Tennis, Time: ,Tue Aug 04 17:00:00 CEST 2015, Time: ,Tue Aug 04 17:00:00 CEST 2015, Event: ,Naso v Krajinovic, Favorite: ,Filip Krajinovic, 3509265   size:9.98,Price: ,1.47,Gianluca Naso, 2967260   size:7.46,Price: ,2.7,ok
1.119837747, Sport: ,Tennis, Time: ,Tue Aug 04 10:30:00 CEST 2015, Time: ,Tue Aug 04 10:30:00 CEST 2015, Event: ,Gorgodze v Vajdova, Favorite: ,Ekaterine Gorgodze, 6531033   size:8.89,Price: ,1.69,Natalia Vajdova, 9456624   size:8.02,Price: ,2.22,x
1.119815676, Sport: ,Tennis, Time: ,Tue Aug 04 13:00:00 CEST 2015, Time: ,Tue Aug 04 13:00:00 CEST 2015, Event: ,P Lorenzi v Garin, Favorite: ,Paolo Lorenzi, 2345099   size:5.6,Price: ,1.24,Christian Garin, 6670624   size:2.55,Price: ,4.3,ok
1.119837748, Sport: ,Tennis, Time: ,Tue Aug 04 13:00:00 CEST 2015, Time: ,Tue Aug 04 13:00:00 CEST 2015, Event: ,Klaffner v Slovakova, Favorite: ,Melanie Klaffner, 2814671   size:6.34,Price: ,1.32,Anna Slovakova, 9634044   size:7.8,Price: ,3.4,ok
1.119837745, Sport: ,Tennis, Time: ,Tue Aug 04 10:30:00 CEST 2015, Time: ,Tue Aug 04 10:30:00 CEST 2015, Event: ,B Pera v Rohanova, Favorite: ,Bernarda Pera, 8784983   size:4.17,Price: ,1.2,Petra Rohanova, 9342442   size:11.62,Price: ,4.4,ok
1.119815678, Sport: ,Tennis, Time: ,Tue Aug 04 14:45:00 CEST 2015, Time: ,Tue Aug 04 14:45:00 CEST 2015, Event: ,Bellotti v P Sousa, Favorite: ,Riccardo Bellotti, 7533686   size:8.48,Price: ,1.47,Pedro Sousa, 2395048   size:6.86,Price: ,2.82,ok
1.119815677, Sport: ,Tennis, Time: ,Tue Aug 04 11:45:00 CEST 2015, Time: ,Tue Aug 04 11:45:00 CEST 2015, Event: ,Romboli v Karatsev, Favorite: ,Aslan Karatsev, 7659748   size:38.78,Price: ,1.29,Fernando Romboli, 5304143   size:2.55,Price: ,3.85,ok
