1.119639764, Sport: ,Snooker, Time: ,Wed Aug 05 11:00:00 CEST 2015, Time: ,Wed Aug 05 11:00:00 CEST 2015, Event: ,Wasley v Cahill, Favorite: ,Michael Wasley, 5760289   size:8.53,Price: ,1.55,James Cahill, 6601059   size:2.55,Price: ,2.58,ok
1.119847727, Sport: ,Tennis, Time: ,Wed Aug 05 13:45:00 CEST 2015, Time: ,Wed Aug 05 13:45:00 CEST 2015, Event: ,Gerasimov v Guez, Favorite: ,David Guez, 2263683   size:5.64,Price: ,1.62,Egor Gerasimov, 7797772   size:2.19,Price: ,2.28,x
1.119841862, Sport: ,Tennis, Time: ,Wed Aug 05 14:15:00 CEST 2015, Time: ,Wed Aug 05 14:15:00 CEST 2015, Event: ,H Zeballos v Antonio Veic, Favorite: ,Horacio Zeballos, 3506037   size:6.95,Price: ,1.46,Antonio Veic, 3186312   size:2.38,Price: ,2.7,ok
1.119847806, Sport: ,Tennis, Time: ,Wed Aug 05 11:00:00 CEST 2015, Time: ,Wed Aug 05 11:00:00 CEST 2015, Event: ,Munoz-De La Nava v Gaio, Favorite: ,Daniel Munoz-de la Nava, 8259000   size:3.45,Price: ,1.45,Federico Gaio, 8284479   size:14.1,Price: ,2.72,ok
1.119639481, Sport: ,Snooker, Time: ,Wed Aug 05 11:00:00 CEST 2015, Time: ,Wed Aug 05 11:00:00 CEST 2015, Event: ,Yuelong v Miah, Favorite: ,Zhou Yuelong, 6185914   size:7.86,Price: ,1.38,Hammad Miah, 7303691   size:4.26,Price: ,3.55,
1.119795084, Sport: ,Soccer, Time: ,Wed Aug 05 14:45:00 CEST 2015, Time: ,Wed Aug 05 14:45:00 CEST 2015, Event: ,Terengganu v Lions XII FC, Favorite: ,Terengganu, 5315208   size:2.55,Price: ,2.1,Lions XII FC, 6958482   size:2.55,Price: ,3.15,The Draw, 58805   size:2.55,Price: ,3.55,ok
1.119829095, Sport: ,Soccer, Time: ,Wed Aug 05 13:00:00 CEST 2015, Time: ,Wed Aug 05 13:00:00 CEST 2015, Event: ,Quang Ninh v Hoang Anh Gia Lai, Favorite: ,Quang Ninh, 9127869   size:8.08,Price: ,1.78,The Draw, 58805   size:2.55,Price: ,3.65,Hoang Anh Gia Lai, 7180053   size:2.55,Price: ,4.5,ok
1.119639480, Sport: ,Snooker, Time: ,Wed Aug 05 11:00:00 CEST 2015, Time: ,Wed Aug 05 11:00:00 CEST 2015, Event: ,Burns v S O Sullivan, Favorite: ,Ian Burns, 5760960   size:7.02,Price: ,1.67,Sean O Sullivan, 6426016   size:5.98,Price: ,2.32,ok
1.119837568, Sport: ,Tennis, Time: ,Wed Aug 05 11:30:00 CEST 2015, Time: ,Wed Aug 05 11:30:00 CEST 2015, Event: ,Mertens v Buzarnescu, Favorite: ,Elise Mertens, 9002334   size:3.38,Price: ,1.48,Mihaela Buzarnescu, 5776800   size:94.67,Price: ,2.66,ok
1.119795086, Sport: ,Soccer, Time: ,Wed Aug 05 14:45:00 CEST 2015, Time: ,Wed Aug 05 14:45:00 CEST 2015, Event: ,Pahang v ATM (Armed Forces), Favorite: ,Pahang, 5289044   size:2.3,Price: ,1.13,The Draw, 58805   size:2.21,Price: ,6.6,ATM (Armed Forces), 6958481   size:5.46,Price: ,16.0,
1.119855153, Sport: ,Tennis, Time: ,Wed Aug 05 13:00:00 CEST 2015, Time: ,Wed Aug 05 13:00:00 CEST 2015, Event: ,Korpatsch v Hogenkamp, Favorite: ,Richel Hogenkamp, 6440521   size:7.74,Price: ,1.24,Tamara Korpatsch, 9166525   size:49.24,Price: ,4.0,x
