1.119745019, Sport: ,Soccer, Time: ,Thu Aug 06 17:30:00 CEST 2015, Time: ,Thu Aug 06 17:30:00 CEST 2015, Event: ,Honka v KaPa, Favorite: ,Honka, 396722   size:322.14,Price: ,1.13,The Draw, 58805   size:2.0,Price: ,11.0,KaPa, 436003   size:2.0,Price: ,27.0,x
1.119745812, Sport: ,Soccer, Time: ,Thu Aug 06 21:15:00 CEST 2015, Time: ,Thu Aug 06 21:15:00 CEST 2015, Event: ,Grindavik v Selfoss, Favorite: ,Grindavik, 399802   size:162.16,Price: ,1.72,The Draw, 58805   size:89.79,Price: ,4.1,Selfoss, 3968964   size:16.14,Price: ,5.4,ok
1.119874343, Sport: ,Tennis, Time: ,Thu Aug 06 23:30:00 CEST 2015, Time: ,Thu Aug 06 23:30:00 CEST 2015, Event: ,A Zverev v Dolgopolov, Favorite: ,Alexandr Dolgopolov, 4720522   size:125.53,Price: ,1.45,Alexander Zverev, 7430944   size:22.1,Price: ,3.05,x
1.119737314, Sport: ,Rugby League, Time: ,Thu Aug 06 21:00:00 CEST 2015, Time: ,Thu Aug 06 21:00:00 CEST 2015, Event: ,Wigan v Huddersfield, Favorite: ,Wigan, 23756   size:28.99,Price: ,1.37,Huddersfield, 43689   size:4.57,Price: ,4.2,Draw, 11126   size:10.65,Price: ,23.0,ok
1.119870221, Sport: ,Snooker, Time: ,Thu Aug 06 20:00:00 CEST 2015, Time: ,Thu Aug 06 20:00:00 CEST 2015, Event: ,Greene v Surety, Favorite: ,Gerard Greene, 2278864   size:2.55,Price: ,1.58,Zak Surety, 6641527   size:5.1,Price: ,2.52,ok
1.119747314, Sport: ,Soccer, Time: ,Thu Aug 06 18:00:00 CEST 2015, Time: ,Thu Aug 06 18:00:00 CEST 2015, Event: ,Rubin Kazan v Sturm Graz, Favorite: ,Rubin Kazan, 503142   size:429.25,Price: ,1.63,The Draw, 58805   size:64.59,Price: ,4.3,Sturm Graz, 71085   size:1414.81,Price: ,6.4,x
1.119874460, Sport: ,Snooker, Time: ,Thu Aug 06 20:00:00 CEST 2015, Time: ,Thu Aug 06 20:00:00 CEST 2015, Event: ,Baird v Fernandez, Favorite: ,Sam Baird, 4271913   size:7.2,Price: ,1.38,Leo Fernandez, 2725273   size:2.03,Price: ,3.15,x
1.119750964, Sport: ,Soccer, Time: ,Thu Aug 06 21:00:00 CEST 2015, Time: ,Thu Aug 06 21:00:00 CEST 2015, Event: ,Vojvodina v Sampdoria, Favorite: ,Sampdoria, 60311   size:20.55,Price: ,2.02,The Draw, 58805   size:451.33,Price: ,3.9,Vojvodina, 2020542   size:50.82,Price: ,3.95,ok
1.119820602, Sport: ,Soccer, Time: ,Fri Aug 07 00:30:00 CEST 2015, Time: ,Fri Aug 07 00:30:00 CEST 2015, Event: ,CA Temperley v Defensa y Justicia, Favorite: ,Defensa y Justicia, 5178272   size:3.08,Price: ,2.68,CA Temperley, 8742769   size:2.55,Price: ,2.9,The Draw, 58805   size:2.37,Price: ,3.2,x
1.119748491, Sport: ,Soccer, Time: ,Thu Aug 06 19:00:00 CEST 2015, Time: ,Thu Aug 06 19:00:00 CEST 2015, Event: ,Rosenborg v Debrecen, Favorite: ,Rosenborg, 55224   size:76.42,Price: ,1.51,The Draw, 58805   size:109.48,Price: ,4.9,Debrecen, 46934   size:123.03,Price: ,7.2,ok
1.119749023, Sport: ,Soccer, Time: ,Thu Aug 06 19:00:00 CEST 2015, Time: ,Thu Aug 06 19:00:00 CEST 2015, Event: ,Odd v Elfsborg, Favorite: ,Odd, 955466   size:14.54,Price: ,2.6,Elfsborg, 30684   size:145.66,Price: ,2.84,The Draw, 58805   size:316.67,Price: ,3.7,ok
1.119724168, Sport: ,Baseball, Time: ,Thu Aug 06 19:05:00 CEST 2015, Time: ,Thu Aug 06 19:05:00 CEST 2015, Event: ,LAD @ PHI, Favorite: ,LA Dodgers (Z Greinke), 7179922   size:1049.49,Price: ,1.39,Philadelphia (D Buchanan), 8548266   size:178.64,Price: ,3.35,ok
1.119853890, Sport: ,Soccer, Time: ,Thu Aug 06 23:30:00 CEST 2015, Time: ,Thu Aug 06 23:30:00 CEST 2015, Event: ,Guatemala U20 (W) v Nicaragua U20 (W), Favorite: ,Nicaragua U20 (W), 7103349   size:2.03,Price: ,1.09,The Draw, 58805   size:11.02,Price: ,1.29,x
1.119855675, Sport: ,Tennis, Time: ,Thu Aug 06 20:15:00 CEST 2015, Time: ,Thu Aug 06 20:15:00 CEST 2015, Event: ,Putintseva v McHale, Favorite: ,Christina McHale, 8859302   size:58.83,Price: ,1.63,Yulia Putintseva, 4259580   size:282.65,Price: ,2.52,ok
1.119853610, Sport: ,Soccer, Time: ,Thu Aug 06 21:00:00 CEST 2015, Time: ,Thu Aug 06 21:00:00 CEST 2015, Event: ,Fylkir U19 v Fram Reykjavik U19, Favorite: ,Fram Reykjavik U19, 6827193   size:2.03,Price: ,1.09,Fylkir U19, 6390674   size:11.02,Price: ,1.55,The Draw, 58805   size:5.0,Price: ,3.45,x
