1.119873973, Sport: ,Tennis, Time: ,Fri Aug 07 01:15:00 CEST 2015, Time: ,Fri Aug 07 01:15:00 CEST 2015, Event: ,Bencic/Mladenovic v Marand/Townsend, Favorite: ,Bencic/Mladenovic, 10108707   size:2.55,Price: ,1.26,Marand/Townsend, 10108714   size:60.52,Price: ,3.6,ok
1.119874343, Sport: ,Tennis, Time: ,Thu Aug 06 23:30:00 CEST 2015, Time: ,Thu Aug 06 23:30:00 CEST 2015, Event: ,A Zverev v Dolgopolov, Favorite: ,Alexandr Dolgopolov, 4720522   size:7.95,Price: ,1.45,Alexander Zverev, 7430944   size:92.72,Price: ,3.1,x
1.119874288, Sport: ,Tennis, Time: ,Fri Aug 07 01:30:00 CEST 2015, Time: ,Fri Aug 07 01:30:00 CEST 2015, Event: ,Gabashvili v Berankis, Favorite: ,Teymuraz Gabashvili, 4877292   size:66.37,Price: ,1.96,Ricardas Berankis, 2923248   size:153.76,Price: ,1.99,x
1.119874141, Sport: ,Tennis, Time: ,Thu Aug 06 23:30:00 CEST 2015, Time: ,Thu Aug 06 23:30:00 CEST 2015, Event: ,St Johnson v G Dimitrov, Favorite: ,Grigor Dimitrov, 3120169   size:5.0,Price: ,1.51,Steve Johnson, 4876706   size:5.0,Price: ,2.9,x
1.119880149, Sport: ,Baseball, Time: ,Fri Aug 07 04:05:00 CEST 2015, Time: ,Fri Aug 07 04:05:00 CEST 2015, Event: ,HOU @ OAK, Favorite: ,Houston (S Feldman), 8431599   size:8.65,Price: ,1.88,Oakland (A Brooks), 10101845   size:502.0,Price: ,2.06,ok
1.119856344, Sport: ,Tennis, Time: ,Thu Aug 06 23:30:00 CEST 2015, Time: ,Thu Aug 06 23:30:00 CEST 2015, Event: ,Querrey v Ma Cilic, Favorite: ,Marin Cilic, 2263681   size:293.78,Price: ,1.55,Sam Querrey, 2263560   size:47.16,Price: ,2.74,ok
1.119853890, Sport: ,Soccer, Time: ,Thu Aug 06 23:30:00 CEST 2015, Time: ,Thu Aug 06 23:30:00 CEST 2015, Event: ,Guatemala U20 (W) v Nicaragua U20 (W), Favorite: ,Guatemala U20 (W), 7103366   size:13.88,Price: ,1.09,The Draw, 58805   size:10.0,Price: ,3.5,Nicaragua U20 (W), 7103349   size:10.0,Price: ,4.0,ok
1.119724224, Sport: ,Baseball, Time: ,Fri Aug 07 02:05:00 CEST 2015, Time: ,Fri Aug 07 02:05:00 CEST 2015, Event: ,SF @ CHC, Favorite: ,Chicago Cubs (J Hammel), 8450037   size:24.21,Price: ,1.85,San Francisco (C Heston), 8875870   size:321.0,Price: ,2.12,ok
1.119856288, Sport: ,Tennis, Time: ,Thu Aug 06 23:30:00 CEST 2015, Time: ,Thu Aug 06 23:30:00 CEST 2015, Event: ,Ka Pliskova v Date-Krumm, Favorite: ,Karolina Pliskova, 6199453   size:2136.0,Price: ,1.2,Kimiko Date-Krumm, 8244520   size:31.02,Price: ,5.6,ok
1.119724200, Sport: ,Baseball, Time: ,Fri Aug 07 01:05:00 CEST 2015, Time: ,Fri Aug 07 01:05:00 CEST 2015, Event: ,BOS @ NYY, Favorite: ,NY Yankees (CC Sabathia), 8431598   size:3.64,Price: ,1.76,Boston (E Rodriguez), 9531865   size:279.02,Price: ,2.28,ok
1.119855695, Sport: ,Tennis, Time: ,Fri Aug 07 04:00:00 CEST 2015, Time: ,Fri Aug 07 04:00:00 CEST 2015, Event: ,Wozniacki v Lepchenko, Favorite: ,Caroline Wozniacki, 2309522   size:2231.64,Price: ,1.24,Varvara Lepchenko, 2263576   size:2.84,Price: ,5.1,x
1.119838574, Sport: ,Tennis, Time: ,Fri Aug 07 05:30:00 CEST 2015, Time: ,Fri Aug 07 05:30:00 CEST 2015, Event: ,Chan/Chan v Bondarenko/Maria, Favorite: ,Chan/Chan, 2035578   size:2.24,Price: ,1.42,Bondarenko/Maria, 10109062   size:2.55,Price: ,2.66,x
1.119729836, Sport: ,Basketball, Time: ,Fri Aug 07 04:30:00 CEST 2015, Time: ,Fri Aug 07 04:30:00 CEST 2015, Event: ,Tulsa @ Los Angeles, Favorite: ,Los Angeles, 3213264   size:384.02,Price: ,1.28,Tulsa, 711056   size:10.17,Price: ,4.0,ok
1.119724208, Sport: ,Baseball, Time: ,Fri Aug 07 01:07:00 CEST 2015, Time: ,Fri Aug 07 01:07:00 CEST 2015, Event: ,MIN @ TOR, Favorite: ,Toronto (M Buehrle), 7177273   size:47.27,Price: ,1.66,Minnesota (K Gibson), 7395517   size:347.0,Price: ,2.42,ok
1.119813973, Sport: ,Soccer, Time: ,Fri Aug 07 04:00:00 CEST 2015, Time: ,Fri Aug 07 04:00:00 CEST 2015, Event: ,LA Galaxy v Central FC, Favorite: ,LA Galaxy, 2658589   size:54.28,Price: ,1.15,The Draw, 58805   size:12.0,Price: ,8.8,Central FC, 8002306   size:8.0,Price: ,21.0,ok
1.119872554, Sport: ,Soccer, Time: ,Fri Aug 07 02:00:00 CEST 2015, Time: ,Fri Aug 07 02:00:00 CEST 2015, Event: ,Panama U20 (W) v Costa Rica U20 (W), Favorite: ,Costa Rica U20 (W), 4835197   size:13.59,Price: ,1.07,The Draw, 58805   size:10.98,Price: ,1.29,x
1.119871861, Sport: ,Soccer, Time: ,Fri Aug 07 02:00:00 CEST 2015, Time: ,Fri Aug 07 02:00:00 CEST 2015, Event: ,Bahia Salvador U20 v Vitoria U20, Favorite: ,Vitoria U20, 5181430   size:5.14,Price: ,1.42,Bahia Salvador U20, 6846709   size:6.41,Price: ,1.43,The Draw, 58805   size:5.95,Price: ,2.24,x
1.119874118, Sport: ,Tennis, Time: ,Thu Aug 06 23:30:00 CEST 2015, Time: ,Thu Aug 06 23:30:00 CEST 2015, Event: ,Kudryavtsev/Pavlyuchenk v Rae/Smith, Favorite: ,Kudryavtsev/Pavlyuchenk, 9144497   size:109.82,Price: ,1.47,Rae/Smith, 8621531   size:30.27,Price: ,2.82,ok
1.119855839, Sport: ,Tennis, Time: ,Thu Aug 06 22:01:00 CEST 2015, Time: ,Thu Aug 06 22:01:00 CEST 2015, Event: ,E Makarova v N Broady, Favorite: ,Ekaterina Makarova, 2453959   size:2919.7,Price: ,1.12,Naomi Broady, 3960538   size:56.41,Price: ,8.8,ok
1.119873981, Sport: ,Tennis, Time: ,Thu Aug 06 22:00:00 CEST 2015, Time: ,Thu Aug 06 22:00:00 CEST 2015, Event: ,Fel Lopez v Groth, Favorite: ,Feliciano Lopez, 2265109   size:30.22,Price: ,1.78,Sam Groth, 8639819   size:860.29,Price: ,2.24,x
1.119677732, Sport: ,Cricket, Time: ,Fri Aug 07 05:30:00 CEST 2015, Time: ,Fri Aug 07 05:30:00 CEST 2015, Event: ,India A v Australia A, Favorite: ,Australia A, 257129   size:52.3,Price: ,1.66,India A, 3351855   size:21.0,Price: ,2.3,ok
1.119874195, Sport: ,Tennis, Time: ,Thu Aug 06 21:59:00 CEST 2015, Time: ,Thu Aug 06 21:59:00 CEST 2015, Event: ,Falconi/Niculescu v Chuang/Liang, Favorite: ,Chuang/Liang, 8844673   size:5.39,Price: ,1.78,Falconi/Niculescu, 10108706   size:2.84,Price: ,2.04,x
1.119820554, Sport: ,Soccer, Time: ,Thu Aug 06 22:00:00 CEST 2015, Time: ,Thu Aug 06 22:00:00 CEST 2015, Event: ,Lanus v Nueva Chicago, Favorite: ,Lanus, 194513   size:36.0,Price: ,1.77,The Draw, 58805   size:27.99,Price: ,3.5,Nueva Chicago, 194504   size:10.93,Price: ,6.0,ok
1.119856891, Sport: ,Baseball, Time: ,Thu Aug 06 22:05:00 CEST 2015, Time: ,Thu Aug 06 22:05:00 CEST 2015, Event: ,ARI @ WSH, Favorite: ,Washington (J Ross), 9565218   size:328.55,Price: ,1.6,Arizona (J Hellickson), 9385116   size:524.2,Price: ,2.6,ok
1.119837751, Sport: ,Tennis, Time: ,Thu Aug 06 22:00:00 CEST 2015, Time: ,Thu Aug 06 22:00:00 CEST 2015, Event: ,Doi v A Radwanska, Favorite: ,Agnieszka Radwanska, 2263577   size:5329.11,Price: ,1.18,Misaki Doi, 4729711   size:586.59,Price: ,6.2,ok
1.119813902, Sport: ,Soccer, Time: ,Fri Aug 07 04:00:00 CEST 2015, Time: ,Fri Aug 07 04:00:00 CEST 2015, Event: ,Herediano v Isidro Metapan, Favorite: ,Herediano, 4067826   size:27.24,Price: ,1.29,The Draw, 58805   size:5.0,Price: ,6.6,Isidro Metapan, 4864112   size:10.0,Price: ,11.0,ok
1.119724216, Sport: ,Baseball, Time: ,Fri Aug 07 01:10:00 CEST 2015, Time: ,Fri Aug 07 01:10:00 CEST 2015, Event: ,MIA @ ATL, Favorite: ,Atlanta (M Wisler), 9647265   size:468.0,Price: ,1.91,Miami (J Urena), 9521925   size:271.0,Price: ,2.02,ok
1.119855865, Sport: ,Tennis, Time: ,Thu Aug 06 23:00:00 CEST 2015, Time: ,Thu Aug 06 23:00:00 CEST 2015, Event: ,Muhammad/Tomljanovic v Dabrowski/Rosolska, Favorite: ,Dabrowski/Rosolska, 7766530   size:70.66,Price: ,1.58,Muhammad/Tomljanovic, 10109069   size:9.94,Price: ,2.5,ok
1.119816136, Sport: ,Tennis, Time: ,Fri Aug 07 03:15:00 CEST 2015, Time: ,Fri Aug 07 03:15:00 CEST 2015, Event: ,Bryan/Bryan v Murray/Peers, Favorite: ,Bryan/Bryan, 1502771   size:8.49,Price: ,1.32,Murray/Peers, 7191922   size:2.55,Price: ,3.35,ok
1.119874406, Sport: ,Tennis, Time: ,Fri Aug 07 01:30:00 CEST 2015, Time: ,Fri Aug 07 01:30:00 CEST 2015, Event: ,Gasquet v J Sock, Favorite: ,Richard Gasquet, 2249399   size:260.55,Price: ,1.41,Jack Sock, 4596957   size:76.67,Price: ,3.35,x
1.119554930, Sport: ,American Football, Time: ,Fri Aug 07 04:00:00 CEST 2015, Time: ,Fri Aug 07 04:00:00 CEST 2015, Event: ,Edmonton @ BC, Favorite: ,Edmonton, 2014480   size:8.49,Price: ,1.81,BC, 2014481   size:5.66,Price: ,2.06,x
1.119874207, Sport: ,Tennis, Time: ,Thu Aug 06 22:02:00 CEST 2015, Time: ,Thu Aug 06 22:02:00 CEST 2015, Event: ,L Mayer v Nishikori, Favorite: ,Kei Nishikori, 2483001   size:16124.9,Price: ,1.18,Leonardo Mayer, 3186303   size:149.39,Price: ,6.2,ok
