1.119909931, Sport: ,Volleyball, Time: ,Fri Aug 07 10:30:00 CEST 2015, Time: ,Fri Aug 07 10:30:00 CEST 2015, Event: ,Thailand v Australia, Favorite: ,Australia, 2175252   size:5.95,Price: ,1.13,Thailand, 1243242   size:4.75,Price: ,5.8,ok
1.119894131, Sport: ,Snooker, Time: ,Fri Aug 07 11:00:00 CEST 2015, Time: ,Fri Aug 07 11:00:00 CEST 2015, Event: ,Rory McLeod v Scott Donaldson, Favorite: ,Rory McLeod, 2328286   size:2.55,Price: ,1.62,Scott Donaldson, 6535829   size:2.55,Price: ,2.18,ok
1.119767643, Sport: ,Soccer, Time: ,Fri Aug 07 13:30:00 CEST 2015, Time: ,Fri Aug 07 13:30:00 CEST 2015, Event: ,Warriors FC v Tampines Rovers, Favorite: ,Warriors FC, 7120994   size:5.82,Price: ,2.2,Tampines Rovers, 5305977   size:2.55,Price: ,2.74,The Draw, 58805   size:3.81,Price: ,4.0,ok
1.119909934, Sport: ,Volleyball, Time: ,Fri Aug 07 12:30:00 CEST 2015, Time: ,Fri Aug 07 12:30:00 CEST 2015, Event: ,South Korea v Chinese Taipei, Favorite: ,South Korea, 1538770   size:5.95,Price: ,1.21,Chinese Taipei, 2158182   size:3.66,Price: ,5.2,x
1.119873277, Sport: ,Soccer, Time: ,Fri Aug 07 11:00:00 CEST 2015, Time: ,Fri Aug 07 11:00:00 CEST 2015, Event: ,FK Hoverla U21 v Metalurg Z U21, Favorite: ,Metalurg Z U21, 10096670   size:616.4,Price: ,1.5,FK Hoverla U21, 10096334   size:115.88,Price: ,2.94,The Draw, 58805   size:10.05,Price: ,3.5,x
1.119871693, Sport: ,Soccer, Time: ,Fri Aug 07 14:30:00 CEST 2015, Time: ,Fri Aug 07 14:30:00 CEST 2015, Event: ,Feni Soccer Club v Sheikh Russel, Favorite: ,Sheikh Russel, 8640784   size:11.09,Price: ,1.29,The Draw, 58805   size:2.67,Price: ,3.55,ok
1.119909915, Sport: ,Volleyball, Time: ,Fri Aug 07 14:30:00 CEST 2015, Time: ,Fri Aug 07 14:30:00 CEST 2015, Event: ,Japan v Qatar, Favorite: ,Qatar, 4210317   size:2.55,Price: ,1.65,Japan, 1175884   size:13.04,Price: ,2.18,x
1.119765546, Sport: ,Soccer, Time: ,Fri Aug 07 11:30:00 CEST 2015, Time: ,Fri Aug 07 11:30:00 CEST 2015, Event: ,Hindustan FC v Goodwill FC, Favorite: ,Goodwill FC, 10096150   size:10.99,Price: ,1.32,The Draw, 58805   size:20.0,Price: ,3.35,x
1.119872141, Sport: ,Soccer, Time: ,Fri Aug 07 09:00:00 CEST 2015, Time: ,Fri Aug 07 09:00:00 CEST 2015, Event: ,Rewa FC v Suva FC, Favorite: ,Suva FC, 9413672   size:34.0,Price: ,1.6,Rewa FC, 9461599   size:20.0,Price: ,2.06,The Draw, 58805   size:2.55,Price: ,3.6,x
1.119870280, Sport: ,Tennis, Time: ,Fri Aug 07 12:30:00 CEST 2015, Time: ,Fri Aug 07 12:30:00 CEST 2015, Event: ,P Lorenzi v Brands, Favorite: ,Paolo Lorenzi, 2345099   size:2.55,Price: ,1.6,Daniel Brands, 2395076   size:2.43,Price: ,2.36,ok
1.119894096, Sport: ,Snooker, Time: ,Fri Aug 07 11:00:00 CEST 2015, Time: ,Fri Aug 07 11:00:00 CEST 2015, Event: ,Kurt Maflin v Lu Ning, Favorite: ,Kurt Maflin, 2725270   size:2.55,Price: ,1.36,Lu Ning, 6185897   size:2.55,Price: ,3.4,x
1.119882429, Sport: ,Tennis, Time: ,Fri Aug 07 12:00:00 CEST 2015, Time: ,Fri Aug 07 12:00:00 CEST 2015, Event: ,Hlavackova v Fett, Favorite: ,Andrea Hlavackova, 2405315   size:2.55,Price: ,1.52,Jana Fett, 9087351   size:2.62,Price: ,2.44,ok
1.119890689, Sport: ,Tennis, Time: ,Fri Aug 07 10:30:00 CEST 2015, Time: ,Fri Aug 07 10:30:00 CEST 2015, Event: ,Peterson v Komardina, Favorite: ,Rebecca Peterson, 7430598   size:13.03,Price: ,1.42,Anastasiya Komardina, 9148804   size:2.55,Price: ,3.05,x
1.119860587, Sport: ,Tennis, Time: ,Fri Aug 07 14:15:00 CEST 2015, Time: ,Fri Aug 07 14:15:00 CEST 2015, Event: ,Cervantes v Kamke, Favorite: ,Inigo Cervantes, 6297238   size:4.96,Price: ,1.53,Tobias Kamke, 2581407   size:2.55,Price: ,2.52,x
