1.119938857, Sport: ,Tennis, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,N Irani v Hercog, Favorite: ,Polona Hercog, 2548781   size:5.92,Price: ,1.14, Natasha Irani , 10135776   size:3.64,Price: ,5.2,ok
1.119764695, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Brackley Town v Harrogate Town, Favorite: ,Brackley Town, 2145773   size:2.55,Price: ,2.42,Harrogate Town, 256198   size:2.55,Price: ,2.68,The Draw, 58805   size:2.55,Price: ,2.98,ok
1.119770334, Sport: ,Soccer, Time: ,Sat Aug 08 14:00:00 CEST 2015, Time: ,Sat Aug 08 14:00:00 CEST 2015, Event: ,Kickers Offenbach v Homburg, Favorite: ,Kickers Offenbach, 247869   size:6.1,Price: ,1.88,The Draw, 58805   size:2.82,Price: ,3.6,Homburg, 2049065   size:2.55,Price: ,4.6,x
1.119764699, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Chorley v Nuneaton, Favorite: ,Chorley, 4231709   size:2.55,Price: ,1.85,The Draw, 58805   size:3.07,Price: ,3.45,Nuneaton, 228536   size:3.06,Price: ,3.55,x
1.119754527, Sport: ,Soccer, Time: ,Sat Aug 08 14:00:00 CEST 2015, Time: ,Sat Aug 08 14:00:00 CEST 2015, Event: ,AB Tarnby v HIK, Favorite: ,HIK, 150990   size:9.03,Price: ,1.96,AB Tarnby, 6579604   size:6.49,Price: ,3.0,The Draw, 58805   size:4.77,Price: ,3.75,ok
1.119309812, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Portsmouth v Dag and Red, Favorite: ,Portsmouth, 58344   size:355.52,Price: ,1.75,The Draw, 58805   size:65.18,Price: ,3.9,Dag and Red, 66244   size:91.0,Price: ,5.4,ok
1.119754529, Sport: ,Soccer, Time: ,Sat Aug 08 14:00:00 CEST 2015, Time: ,Sat Aug 08 14:00:00 CEST 2015, Event: ,Brabrand v Middelfart, Favorite: ,Middelfart, 4886887   size:2.31,Price: ,1.96,Brabrand, 579439   size:3.97,Price: ,3.15,The Draw, 58805   size:3.76,Price: ,3.75,x
1.119308724, Sport: ,Soccer, Time: ,Sat Aug 08 16:00:00 CEST 2015, Time: ,Sat Aug 08 16:00:00 CEST 2015, Event: ,Gillingham v Sheff Utd, Favorite: ,Sheff Utd, 48470   size:299.6,Price: ,2.18,The Draw, 58805   size:218.13,Price: ,3.4,Gillingham, 56298   size:90.9,Price: ,3.9,x
1.119754535, Sport: ,Soccer, Time: ,Sat Aug 08 15:00:00 CEST 2015, Time: ,Sat Aug 08 15:00:00 CEST 2015, Event: ,Odder v Kolding IF, Favorite: ,Kolding IF, 151010   size:2.55,Price: ,2.46,Odder, 4127740   size:5.19,Price: ,2.62,The Draw, 58805   size:3.43,Price: ,3.7,ok
1.119839667, Sport: ,Rugby Union, Time: ,Sat Aug 08 15:30:00 CEST 2015, Time: ,Sat Aug 08 15:30:00 CEST 2015, Event: ,Wales v Ireland, Favorite: ,Wales, 14118   size:181.57,Price: ,1.96,Ireland, 351   size:54.15,Price: ,2.12,Draw, 246289   size:12.8,Price: ,22.0,x
1.119754537, Sport: ,Soccer, Time: ,Sat Aug 08 13:00:00 CEST 2015, Time: ,Sat Aug 08 13:00:00 CEST 2015, Event: ,FCV v TPV, Favorite: ,TPV, 804682   size:2.84,Price: ,2.36,FCV, 498141   size:7.76,Price: ,2.52,The Draw, 58805   size:15.15,Price: ,3.3,x
1.119754531, Sport: ,Soccer, Time: ,Sat Aug 08 15:00:00 CEST 2015, Time: ,Sat Aug 08 15:00:00 CEST 2015, Event: ,Hvidovre v AB, Favorite: ,AB, 113194   size:2.55,Price: ,1.94,Hvidovre, 151007   size:2.55,Price: ,3.2,The Draw, 58805   size:4.92,Price: ,3.7,x
