1.119931642, Sport: ,Soccer, Time: ,Sun Aug 09 10:00:00 CEST 2015, Time: ,Sun Aug 09 10:00:00 CEST 2015, Event: ,Turgutluspor v Kirklarelispor, Favorite: ,Kirklarelispor, 5340310   size:5.92,Price: ,1.11,The Draw, 58805   size:5.0,Price: ,2.52,x
1.119930478, Sport: ,Soccer, Time: ,Sun Aug 09 11:00:00 CEST 2015, Time: ,Sun Aug 09 11:00:00 CEST 2015, Event: ,FK Fotbal Trinec U21 v FC Zbrojovka Brno U21, Favorite: ,FC Zbrojovka Brno U21, 6553194   size:10.0,Price: ,1.23,FK Fotbal Trinec U21, 7533022   size:10.0,Price: ,2.88,The Draw, 58805   size:5.0,Price: ,4.0,x
1.119793815, Sport: ,Soccer, Time: ,Sun Aug 09 11:10:00 CEST 2015, Time: ,Sun Aug 09 11:10:00 CEST 2015, Event: ,South Korea v North Korea, Favorite: ,South Korea, 47965   size:60.48,Price: ,1.67,The Draw, 58805   size:112.93,Price: ,3.8,North Korea, 548596   size:48.34,Price: ,6.8,x
1.119942938, Sport: ,Snooker, Time: ,Sun Aug 09 11:00:00 CEST 2015, Time: ,Sun Aug 09 11:00:00 CEST 2015, Event: ,Jamie Jones v Morris, Favorite: ,Jamie Jones, 3502366   size:2.55,Price: ,1.6,David Morris, 2329398   size:7.55,Price: ,2.36,ok
1.119793117, Sport: ,Soccer, Time: ,Sun Aug 09 12:00:00 CEST 2015, Time: ,Sun Aug 09 12:00:00 CEST 2015, Event: ,Mohun Bagan v Mohammedan SC, Favorite: ,Mohun Bagan, 4234362   size:5.0,Price: ,1.39,Mohammedan SC, 4397902   size:5.0,Price: ,2.14,The Draw, 58805   size:5.0,Price: ,2.94,x
1.119936034, Sport: ,Soccer, Time: ,Sun Aug 09 10:15:00 CEST 2015, Time: ,Sun Aug 09 10:15:00 CEST 2015, Event: ,1. FC Slovacko II v Trebic, Favorite: ,Trebic, 4154830   size:11.95,Price: ,1.08,The Draw, 58805   size:5.0,Price: ,3.25,x
1.119936996, Sport: ,Soccer, Time: ,Sun Aug 09 12:00:00 CEST 2015, Time: ,Sun Aug 09 12:00:00 CEST 2015, Event: ,Breidablik U19 II v Volsungur U19, Favorite: ,Volsungur U19, 8618582   size:11.95,Price: ,1.08,The Draw, 58805   size:5.92,Price: ,3.2,x
1.119929948, Sport: ,Soccer, Time: ,Sun Aug 09 12:00:00 CEST 2015, Time: ,Sun Aug 09 12:00:00 CEST 2015, Event: ,Binh Duong v Dong Tam Long An, Favorite: ,Binh Duong, 2909643   size:2.84,Price: ,1.4,The Draw, 58805   size:4.1,Price: ,4.3,Dong Tam Long An, 2343976   size:2.74,Price: ,6.0,ok
1.119852121, Sport: ,Soccer, Time: ,Sun Aug 09 12:30:00 CEST 2015, Time: ,Sun Aug 09 12:30:00 CEST 2015, Event: ,Liverpool U21 v Chelsea U21, Favorite: ,Chelsea U21, 6689721   size:11.95,Price: ,1.08,The Draw, 58805   size:10.93,Price: ,1.29,ok
1.119930604, Sport: ,Soccer, Time: ,Sun Aug 09 10:30:00 CEST 2015, Time: ,Sun Aug 09 10:30:00 CEST 2015, Event: ,FK Teplice U21 v FC Slovan Liberec U21, Favorite: ,FC Slovan Liberec U21, 6563663   size:12.48,Price: ,1.78,FK Teplice U21, 6563632   size:9.93,Price: ,1.97,The Draw, 58805   size:2.55,Price: ,3.55,x
1.119942945, Sport: ,Snooker, Time: ,Sun Aug 09 11:00:00 CEST 2015, Time: ,Sun Aug 09 11:00:00 CEST 2015, Event: ,Gould v Highfield, Favorite: ,Martin Gould, 2613031   size:8.47,Price: ,1.41,Liam Highfield, 4392732   size:5.01,Price: ,3.05,ok
1.119942768, Sport: ,Tennis, Time: ,Sun Aug 09 09:00:00 CEST 2015, Time: ,Sun Aug 09 09:00:00 CEST 2015, Event: ,M Berrettini v Boltz, Favorite: ,Sebastien Boltz, 9260156   size:55.22,Price: ,1.08,Matteo Berrettini, 8962036   size:5.92,Price: ,1.21,x
1.119942943, Sport: ,Snooker, Time: ,Sun Aug 09 11:00:00 CEST 2015, Time: ,Sun Aug 09 11:00:00 CEST 2015, Event: ,Wenbo v Higginson, Favorite: ,Liang Wenbo, 2293301   size:4.83,Price: ,1.53,Andrew Higginson, 2278819   size:2.03,Price: ,2.54,ok
1.119942844, Sport: ,Tennis, Time: ,Sun Aug 09 11:45:00 CEST 2015, Time: ,Sun Aug 09 11:45:00 CEST 2015, Event: ,Lazov v Riba, Favorite: ,Pere Riba, 2489421   size:2.55,Price: ,1.1,Alexandar Lazov, 9377232   size:2.55,Price: ,1.35,ok
1.119793565, Sport: ,Soccer, Time: ,Sun Aug 09 06:00:00 CEST 2015, Time: ,Sun Aug 09 06:00:00 CEST 2015, Event: ,Sagamihara v FC Machida, Favorite: ,FC Machida, 6207339   size:2.29,Price: ,2.38,Sagamihara, 9339232   size:3.93,Price: ,2.86,The Draw, 58805   size:3.77,Price: ,3.2,ok
1.119941315, Sport: ,Tennis, Time: ,Sun Aug 09 10:00:00 CEST 2015, Time: ,Sun Aug 09 10:00:00 CEST 2015, Event: ,Salaba v Staubert, Favorite: ,Libor Salaba, 8750028   size:17.09,Price: ,1.08,Pavel Staubert, 8574197   size:5.92,Price: ,1.19,x
1.119942941, Sport: ,Snooker, Time: ,Sun Aug 09 11:00:00 CEST 2015, Time: ,Sun Aug 09 11:00:00 CEST 2015, Event: ,Guodong v Dunn, Favorite: ,Xiao Guodong, 2336728   size:5.92,Price: ,1.42,Mike Dunn, 2497811   size:5.4,Price: ,2.9,x
1.119942566, Sport: ,Tennis, Time: ,Sun Aug 09 10:45:00 CEST 2015, Time: ,Sun Aug 09 10:45:00 CEST 2015, Event: ,Kirche v Nys, Favorite: ,Hugo Nys, 7445712   size:55.22,Price: ,1.08,Leonardo Kirche, 6603940   size:5.92,Price: ,1.25,ok
1.119940584, Sport: ,Tennis, Time: ,Sun Aug 09 10:45:00 CEST 2015, Time: ,Sun Aug 09 10:45:00 CEST 2015, Event: ,Milton v Becuzzi, Favorite: ,Joshua Milton, 3985858   size:85.35,Price: ,1.02,Enrico Becuzzi, 7364125   size:17.09,Price: ,1.08,ok
1.119793341, Sport: ,Soccer, Time: ,Sun Aug 09 10:15:00 CEST 2015, Time: ,Sun Aug 09 10:15:00 CEST 2015, Event: ,Vysehrad v Vlasim, Favorite: ,Vlasim, 5866799   size:6.41,Price: ,1.82,The Draw, 58805   size:5.22,Price: ,3.7,Vysehrad, 7589995   size:2.55,Price: ,4.2,x
1.119929720, Sport: ,Soccer, Time: ,Sun Aug 09 11:00:00 CEST 2015, Time: ,Sun Aug 09 11:00:00 CEST 2015, Event: ,Metalurg Zaporizhya U19 v FC Volyn Lutsk U19, Favorite: ,Metalurg Zaporizhya U19, 6534953   size:2.55,Price: ,1.27,FC Volyn Lutsk U19, 6599957   size:5.0,Price: ,2.04,The Draw, 58805   size:5.0,Price: ,3.3,x
1.119793229, Sport: ,Soccer, Time: ,Sun Aug 09 10:15:00 CEST 2015, Time: ,Sun Aug 09 10:15:00 CEST 2015, Event: ,Sigma Olomouc B v Usti nad Labem, Favorite: ,Sigma Olomouc B, 10079892   size:2.53,Price: ,1.99,The Draw, 58805   size:22.88,Price: ,3.45,Usti Nad Labem, 3358865   size:3.86,Price: ,3.8,x
1.119934105, Sport: ,Soccer, Time: ,Sun Aug 09 09:00:00 CEST 2015, Time: ,Sun Aug 09 09:00:00 CEST 2015, Event: ,UP Fighting Maroons (S) v UE R Warrios (S), Favorite: ,UE R Warrios (S), 10135590   size:5.92,Price: ,1.2,The Draw, 58805   size:9.93,Price: ,3.3,x
1.119942828, Sport: ,Tennis, Time: ,Sun Aug 09 10:45:00 CEST 2015, Time: ,Sun Aug 09 10:45:00 CEST 2015, Event: ,Garin v Gorsic, Favorite: ,Christian Garin, 6670624   size:2.55,Price: ,1.11,David Gorsic, 9631866   size:2.55,Price: ,1.85,ok
1.119942948, Sport: ,Snooker, Time: ,Sun Aug 09 11:00:00 CEST 2015, Time: ,Sun Aug 09 11:00:00 CEST 2015, Event: ,Selt v Swail, Favorite: ,Matthew Selt, 2725267   size:2.55,Price: ,1.48,Joe Swail, 2280125   size:6.04,Price: ,2.7,ok
1.119940603, Sport: ,Tennis, Time: ,Sun Aug 09 09:00:00 CEST 2015, Time: ,Sun Aug 09 09:00:00 CEST 2015, Event: ,Tsitsipas v Durasovic, Favorite: ,Viktor Durasovic, 9631478   size:86.53,Price: ,1.03,Stefanos Tsitsipas, 9193006   size:5.92,Price: ,1.19,ok
1.119942947, Sport: ,Snooker, Time: ,Sun Aug 09 11:00:00 CEST 2015, Time: ,Sun Aug 09 11:00:00 CEST 2015, Event: ,Milkins v Gerard Greene, Favorite: ,Robert Milkins, 2278803   size:5.92,Price: ,1.45,Gerard Greene, 2278864   size:5.64,Price: ,2.82,ok
1.119933935, Sport: ,Soccer, Time: ,Sun Aug 09 07:00:00 CEST 2015, Time: ,Sun Aug 09 07:00:00 CEST 2015, Event: ,Ateneo B Eagles (S) v Lyceum Pirates (S), Favorite: ,Lyceum Pirates (S), 10135542   size:12.24,Price: ,1.06,The Draw, 58805   size:10.93,Price: ,1.29,x
1.119930061, Sport: ,Soccer, Time: ,Sun Aug 09 12:00:00 CEST 2015, Time: ,Sun Aug 09 12:00:00 CEST 2015, Event: ,Hai Phong v Dong Nai, Favorite: ,Hai Phong, 9109500   size:2.61,Price: ,1.43,The Draw, 58805   size:2.24,Price: ,4.1,Dong Nai, 9094955   size:2.1,Price: ,6.0,ok
1.119936147, Sport: ,Soccer, Time: ,Sun Aug 09 10:30:00 CEST 2015, Time: ,Sun Aug 09 10:30:00 CEST 2015, Event: ,FC Viktoria Otrokovice v Hlucin, Favorite: ,Hlucin, 4142641   size:11.95,Price: ,1.08,The Draw, 58805   size:5.0,Price: ,3.35,x
