1.119844175, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Scunthorpe v Barnsley, Favorite: ,Scunthorpe, 18566   size:32.59,Price: ,2.36,Barnsley, 1117   size:2.82,Price: ,3.25,The Draw, 58805   size:7.34,Price: ,3.6,x
1.119846475, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,FC Halifax Town v Chester, Favorite: ,FC Halifax Town, 4231683   size:51.04,Price: ,2.66,Chester, 18572   size:50.64,Price: ,2.94,The Draw, 58805   size:101.77,Price: ,3.45,x
1.119846510, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,FC Utd Manchester v Stockport, Favorite: ,Stockport, 47997   size:35.77,Price: ,2.54,FC Utd Manchester, 6742984   size:11.81,Price: ,2.86,The Draw, 58805   size:5.94,Price: ,3.6,ok
1.119846477, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Grimsby v Barrow, Favorite: ,Grimsby, 48001   size:31.71,Price: ,1.63,The Draw, 58805   size:110.34,Price: ,4.3,Barrow, 62647   size:58.86,Price: ,6.0,ok
1.119868389, Sport: ,Soccer, Time: ,Wed Aug 12 02:30:00 CEST 2015, Time: ,Wed Aug 12 02:30:00 CEST 2015, Event: ,Bragantino SP v Parana, Favorite: ,Bragantino SP, 4701919   size:4.22,Price: ,2.56,Parana, 198129   size:89.27,Price: ,3.15,The Draw, 58805   size:24.36,Price: ,3.3,ok
1.119846516, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Nuneaton v Brackley Town, Favorite: ,Nuneaton, 228536   size:732.67,Price: ,2.04,The Draw, 58805   size:27.25,Price: ,3.55,Brackley Town, 2145773   size:83.51,Price: ,4.2,ok
1.119846518, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Worcester v Tamworth, Favorite: ,Tamworth, 62650   size:103.51,Price: ,2.66,The Draw, 58805   size:7.75,Price: ,3.5,ok
1.119954820, Sport: ,Soccer, Time: ,Tue Aug 11 20:30:00 CEST 2015, Time: ,Tue Aug 11 20:30:00 CEST 2015, Event: ,PAOK (W) v Glentoran Belfast (W), Favorite: ,PAOK (W), 6578104   size:4.2,Price: ,1.68,Glentoran Belfast (W), 6571239   size:6.91,Price: ,3.55,The Draw, 58805   size:9.08,Price: ,4.4,ok
1.119846512, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,AFC Fylde v Hednesford, Favorite: ,AFC Fylde, 4317866   size:67.11,Price: ,1.72,The Draw, 58805   size:72.34,Price: ,3.95,Hednesford, 728404   size:62.22,Price: ,5.0,ok
1.119846479, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Woking v Bromley, Favorite: ,Woking, 41998   size:126.9,Price: ,2.14,The Draw, 58805   size:61.3,Price: ,3.55,Bromley, 1282856   size:24.67,Price: ,3.7,ok
1.119970630, Sport: ,Tennis, Time: ,Tue Aug 11 20:30:00 CEST 2015, Time: ,Tue Aug 11 20:30:00 CEST 2015, Event: ,Ser Williams v Pennetta, Favorite: ,Serena Williams, 2538236   size:41347.66,Price: ,1.09,Flavia Pennetta, 2248507   size:225.54,Price: ,11.5,ok
