1.119984955, Sport: ,Tennis, Time: ,Wed Aug 12 13:00:00 CEST 2015, Time: ,Wed Aug 12 13:00:00 CEST 2015, Event: ,Lehnert v Gamiz, Favorite: ,Andrea Gamiz, 7083171   size:3.51,Price: ,1.4,Katharina Lehnert, 9148776   size:42.91,Price: ,2.94,ok
1.119894750, Sport: ,Handball, Time: ,Wed Aug 12 15:00:00 CEST 2015, Time: ,Wed Aug 12 15:00:00 CEST 2015, Event: ,Germany U19 v Spain U19, Favorite: ,Draw, 330157   size:110.43,Price: ,1.01,x
1.119869034, Sport: ,Soccer, Time: ,Wed Aug 12 12:00:00 CEST 2015, Time: ,Wed Aug 12 12:00:00 CEST 2015, Event: ,Kofu v FC Tokyo, Favorite: ,FC Tokyo, 350849   size:4.99,Price: ,2.46,Kofu, 1405179   size:2.36,Price: ,3.3,The Draw, 58805   size:2.34,Price: ,3.35,ok
1.119973182, Sport: ,Tennis, Time: ,Wed Aug 12 12:30:00 CEST 2015, Time: ,Wed Aug 12 12:30:00 CEST 2015, Event: ,Ramos-Vinolas v Krajinovic, Favorite: ,Albert Ramos-Vinolas, 8621877   size:2.55,Price: ,1.47,Filip Krajinovic, 3509265   size:8.1,Price: ,2.64,x
1.119868942, Sport: ,Soccer, Time: ,Wed Aug 12 12:00:00 CEST 2015, Time: ,Wed Aug 12 12:00:00 CEST 2015, Event: ,Kawasaki v Yamagata, Favorite: ,Kawasaki, 1080507   size:524.73,Price: ,1.52,The Draw, 58805   size:7.6,Price: ,4.7,Yamagata, 3718961   size:107.81,Price: ,6.2,x
1.119970197, Sport: ,Soccer, Time: ,Wed Aug 12 14:00:00 CEST 2015, Time: ,Wed Aug 12 14:00:00 CEST 2015, Event: ,Police United v Krabi FC, Favorite: ,Krabi FC, 8390797   size:140.4,Price: ,1.06,The Draw, 58805   size:2.0,Price: ,1.26,x
1.119864818, Sport: ,Soccer, Time: ,Wed Aug 12 13:30:00 CEST 2015, Time: ,Wed Aug 12 13:30:00 CEST 2015, Event: ,Warriors FC v Home Utd, Favorite: ,Warriors FC, 7120994   size:5.28,Price: ,1.75,The Draw, 58805   size:4.31,Price: ,3.25,Home Utd, 4852330   size:3.07,Price: ,4.6,x
1.119864538, Sport: ,Soccer, Time: ,Wed Aug 12 12:00:00 CEST 2015, Time: ,Wed Aug 12 12:00:00 CEST 2015, Event: ,Mohammedan SC v Kalighat MS, Favorite: ,Mohammedan SC, 4397902   size:4.99,Price: ,1.7,Kalighat MS, 7014685   size:3.01,Price: ,2.94,The Draw, 58805   size:4.26,Price: ,3.4,ok
1.119970425, Sport: ,Soccer, Time: ,Wed Aug 12 15:00:00 CEST 2015, Time: ,Wed Aug 12 15:00:00 CEST 2015, Event: ,Nasaf v Lokomotiv Tashkent, Favorite: ,Lokomotiv Tashkent, 6449763   size:140.4,Price: ,1.06,The Draw, 58805   size:2.0,Price: ,1.26,x
1.119969244, Sport: ,Soccer, Time: ,Wed Aug 12 16:00:00 CEST 2015, Time: ,Wed Aug 12 16:00:00 CEST 2015, Event: ,Pumas UNAM U20 v Atlas U20, Favorite: ,Atlas U20, 5253683   size:140.4,Price: ,1.06,The Draw, 58805   size:2.0,Price: ,1.27,ok
1.119973618, Sport: ,Tennis, Time: ,Wed Aug 12 14:15:00 CEST 2015, Time: ,Wed Aug 12 14:15:00 CEST 2015, Event: ,Fucsovics v Dutra Silva, Favorite: ,Rogerio Dutra Silva, 2301068   size:2.55,Price: ,1.41,Marton Fucsovics, 4827766   size:11.08,Price: ,2.88,x
