1.119867330, Sport: ,Soccer, Time: ,Wed Aug 12 19:45:00 CEST 2015, Time: ,Wed Aug 12 19:45:00 CEST 2015, Event: ,Biel-Bienne v Le Mont, Favorite: ,Biel-Bienne, 6494650   size:316.25,Price: ,2.04,The Draw, 58805   size:3.68,Price: ,3.7,Le Mont, 4976338   size:5.46,Price: ,3.8,x
1.119968271, Sport: ,Soccer, Time: ,Wed Aug 12 17:00:00 CEST 2015, Time: ,Wed Aug 12 17:00:00 CEST 2015, Event: ,Tatabanya v Soproni VSE, Favorite: ,Soproni VSE, 5819748   size:2.55,Price: ,1.62,The Draw, 58805   size:14.96,Price: ,3.95,Tatabanya, 2018014   size:7.11,Price: ,4.6,ok
1.119867611, Sport: ,Soccer, Time: ,Wed Aug 12 19:45:00 CEST 2015, Time: ,Wed Aug 12 19:45:00 CEST 2015, Event: ,Young Boys v Lugano, Favorite: ,Young Boys, 65778   size:8.44,Price: ,1.59,The Draw, 58805   size:17.74,Price: ,4.7,Lugano, 65780   size:171.82,Price: ,5.9,x
1.119863929, Sport: ,Soccer, Time: ,Wed Aug 12 20:00:00 CEST 2015, Time: ,Wed Aug 12 20:00:00 CEST 2015, Event: ,Rangers (Chile) v Curico Unido, Favorite: ,Rangers (Chile), 6105742   size:47.19,Price: ,1.89,The Draw, 58805   size:4.2,Price: ,3.65,Curico Unido, 5429246   size:4.62,Price: ,4.7,x
1.119949191, Sport: ,Soccer, Time: ,Wed Aug 12 17:00:00 CEST 2015, Time: ,Wed Aug 12 17:00:00 CEST 2015, Event: ,FK Spartak v Jagodina, Favorite: ,FK Spartak, 4104730   size:30.26,Price: ,1.95,The Draw, 58805   size:33.06,Price: ,3.45,Jagodina, 4906872   size:67.41,Price: ,4.4,x
1.119866769, Sport: ,Soccer, Time: ,Wed Aug 12 18:30:00 CEST 2015, Time: ,Wed Aug 12 18:30:00 CEST 2015, Event: ,Targu Mures v ACS Poli Timisoara, Favorite: ,Targu Mures, 3413079   size:137.48,Price: ,1.87,The Draw, 58805   size:7.45,Price: ,3.45,ACS Poli Timisoara, 6809287   size:17.24,Price: ,5.3,x
1.119985490, Sport: ,Tennis, Time: ,Wed Aug 12 18:30:00 CEST 2015, Time: ,Wed Aug 12 18:30:00 CEST 2015, Event: ,Andujar v Nishikori, Favorite: ,Kei Nishikori, 2483001   size:42201.16,Price: ,1.12,Pablo Andujar, 2303153   size:166.09,Price: ,8.6,ok
1.119961086, Sport: ,Soccer, Time: ,Wed Aug 12 19:00:00 CEST 2015, Time: ,Wed Aug 12 19:00:00 CEST 2015, Event: ,Amorebieta v Burgos, Favorite: ,Amorebieta, 5756673   size:2.32,Price: ,2.12,Burgos, 968180   size:3.22,Price: ,3.05,The Draw, 58805   size:3.12,Price: ,3.15,x
1.119985011, Sport: ,Tennis, Time: ,Wed Aug 12 16:00:00 CEST 2015, Time: ,Wed Aug 12 16:00:00 CEST 2015, Event: ,de Bakker v Kudryavtsev, Favorite: ,Thiemo De Bakker, 8720949   size:42.38,Price: ,1.44,Alexander Kudryavtsev, 5908538   size:31.64,Price: ,3.05,x
1.119967540, Sport: ,Soccer, Time: ,Wed Aug 12 22:00:00 CEST 2015, Time: ,Wed Aug 12 22:00:00 CEST 2015, Event: ,Las Palmas v Tenerife, Favorite: ,Las Palmas, 9163   size:9.09,Price: ,1.72,The Draw, 58805   size:14.84,Price: ,3.8,Tenerife, 44509   size:2.03,Price: ,5.3,x
1.119985254, Sport: ,Tennis, Time: ,Wed Aug 12 18:30:00 CEST 2015, Time: ,Wed Aug 12 18:30:00 CEST 2015, Event: ,C Witthoeft v Riske, Favorite: ,Alison Riske, 4566011   size:17.18,Price: ,1.63,Carina Witthoeft, 5408907   size:42.09,Price: ,2.5,x
1.119864342, Sport: ,Soccer, Time: ,Wed Aug 12 19:00:00 CEST 2015, Time: ,Wed Aug 12 19:00:00 CEST 2015, Event: ,Nest-Sotra v Kristiansund, Favorite: ,Kristiansund, 2440424   size:271.31,Price: ,2.7,Nest-Sotra, 398198   size:77.41,Price: ,2.78,The Draw, 58805   size:17.48,Price: ,3.6,ok
1.119965206, Sport: ,Soccer, Time: ,Wed Aug 12 19:00:00 CEST 2015, Time: ,Wed Aug 12 19:00:00 CEST 2015, Event: ,Valencia B v Levante UD II, Favorite: ,Valencia B, 2250358   size:170.76,Price: ,1.83,The Draw, 58805   size:2.08,Price: ,3.45,Levante UD II, 6399692   size:2.4,Price: ,4.1,x
1.119949079, Sport: ,Soccer, Time: ,Wed Aug 12 17:00:00 CEST 2015, Time: ,Wed Aug 12 17:00:00 CEST 2015, Event: ,OFK Belgrade v Radnik Surdulica, Favorite: ,OFK Belgrade, 427627   size:38.95,Price: ,2.3,Radnik Surdulica, 8860947   size:12.2,Price: ,3.4,The Draw, 58805   size:42.03,Price: ,3.55,ok
1.119985015, Sport: ,Tennis, Time: ,Wed Aug 12 20:00:00 CEST 2015, Time: ,Wed Aug 12 20:00:00 CEST 2015, Event: ,Zemlja v Lacko, Favorite: ,Lukas Lacko, 2263634   size:2.76,Price: ,1.78,Grega Zemlja, 3509269   size:19.45,Price: ,2.22,x
1.119967821, Sport: ,Soccer, Time: ,Wed Aug 12 22:30:00 CEST 2015, Time: ,Wed Aug 12 22:30:00 CEST 2015, Event: ,Atletico Venezuela v Estudiantes de Caracas, Favorite: ,Atletico Venezuela, 7683135   size:42.01,Price: ,2.0,The Draw, 58805   size:2.55,Price: ,3.3,Estudiantes de Caracas, 10064371   size:2.55,Price: ,4.2,ok
1.119964038, Sport: ,Soccer, Time: ,Wed Aug 12 19:00:00 CEST 2015, Time: ,Wed Aug 12 19:00:00 CEST 2015, Event: ,Jonsereds v Ytterby, Favorite: ,Jonsereds, 502312   size:6.02,Price: ,1.89,Ytterby, 502421   size:3.03,Price: ,2.8,The Draw, 58805   size:3.5,Price: ,3.4,x
1.119985613, Sport: ,Tennis, Time: ,Wed Aug 12 19:00:00 CEST 2015, Time: ,Wed Aug 12 19:00:00 CEST 2015, Event: ,Edmund v Da Nguyen, Favorite: ,Kyle Edmund, 5626817   size:4.62,Price: ,1.3,Daniel Nguyen, 8349390   size:3.67,Price: ,3.8,ok
1.119865391, Sport: ,Soccer, Time: ,Wed Aug 12 20:30:00 CEST 2015, Time: ,Wed Aug 12 20:30:00 CEST 2015, Event: ,Dessel Sport v Antwerp, Favorite: ,Antwerp, 3247346   size:200.0,Price: ,2.08,The Draw, 58805   size:18.81,Price: ,3.65,Dessel Sport, 6587029   size:9.66,Price: ,3.9,ok
1.119867540, Sport: ,Soccer, Time: ,Wed Aug 12 20:30:00 CEST 2015, Time: ,Wed Aug 12 20:30:00 CEST 2015, Event: ,Luzern v St Gallen, Favorite: ,Luzern, 65784   size:45.61,Price: ,1.86,The Draw, 58805   size:21.18,Price: ,4.1,St Gallen, 6392   size:244.03,Price: ,4.4,x
