1.119983425, Sport: ,Soccer, Time: ,Thu Aug 13 17:00:00 CEST 2015, Time: ,Thu Aug 13 17:00:00 CEST 2015, Event: ,Konak (W) v KS Vllaznia (W), Favorite: ,Konak (W), 7769844   size:2.55,Price: ,1.18,The Draw, 58805   size:5.06,Price: ,1.31,KS Vllaznia (W), 8758604   size:4.88,Price: ,7.0,ok
1.119974071, Sport: ,Tennis, Time: ,Thu Aug 13 12:30:00 CEST 2015, Time: ,Thu Aug 13 12:30:00 CEST 2015, Event: ,Sorribes Tormo v Dominguez Lino, Favorite: ,Lourdes Dominguez Lino, 2256484   size:8.38,Price: ,1.51,Sara Sorribes Tormo, 6356637   size:6.9,Price: ,2.56,x
1.119982850, Sport: ,Soccer, Time: ,Thu Aug 13 17:00:00 CEST 2015, Time: ,Thu Aug 13 17:00:00 CEST 2015, Event: ,Shakhtar U21 v Dnipro U21, Favorite: ,Dnipro U21, 10096695   size:140.08,Price: ,1.06,The Draw, 58805   size:2.0,Price: ,1.27,x
1.119899725, Sport: ,Handball, Time: ,Thu Aug 13 17:00:00 CEST 2015, Time: ,Thu Aug 13 17:00:00 CEST 2015, Event: ,Tunisia U19 v Argentina U19, Favorite: ,Tunisia U19, 7554682   size:71.83,Price: ,1.11,Argentina U19, 7555151   size:70.6,Price: ,9.6,Draw, 330157   size:70.46,Price: ,13.0,ok
1.119983187, Sport: ,Soccer, Time: ,Thu Aug 13 15:00:00 CEST 2015, Time: ,Thu Aug 13 15:00:00 CEST 2015, Event: ,Tskhinvali v FC Saburtalo Tbilisi, Favorite: ,FC Saburtalo Tbilisi, 7644645   size:140.08,Price: ,1.06,The Draw, 58805   size:2.0,Price: ,1.26,ok
1.119990635, Sport: ,Volleyball, Time: ,Thu Aug 13 17:00:00 CEST 2015, Time: ,Thu Aug 13 17:00:00 CEST 2015, Event: ,Poland v Slovenia, Favorite: ,Slovenia, 2444668   size:3.94,Price: ,1.27,Poland, 678742   size:82.0,Price: ,4.1,ok
1.119958904, Sport: ,Volleyball, Time: ,Thu Aug 13 18:00:00 CEST 2015, Time: ,Thu Aug 13 18:00:00 CEST 2015, Event: ,China U23 (W) v Japan U23 (W), Favorite: ,China U23 (W), 7757838   size:7138.47,Price: ,1.01,Japan U23 (W), 7757797   size:5.83,Price: ,1.13,
1.119897341, Sport: ,Soccer, Time: ,Thu Aug 13 18:00:00 CEST 2015, Time: ,Thu Aug 13 18:00:00 CEST 2015, Event: ,Miedz Legnica v Podbeskidzie B-B, Favorite: ,Podbeskidzie B-B, 4135278   size:8.49,Price: ,2.62,Miedz Legnica, 4935893   size:14.02,Price: ,3.0,The Draw, 58805   size:4.64,Price: ,3.3,x
1.119971201, Sport: ,Baseball, Time: ,Thu Aug 13 18:10:00 CEST 2015, Time: ,Thu Aug 13 18:10:00 CEST 2015, Event: ,COL @ NYM, Favorite: ,New York Mets (N Syndergaard), 9477744   size:270.99,Price: ,1.41,Colorado (E Butler), 8587372   size:111.89,Price: ,3.2,ok
1.119958902, Sport: ,Volleyball, Time: ,Thu Aug 13 18:00:00 CEST 2015, Time: ,Thu Aug 13 18:00:00 CEST 2015, Event: ,Turkey U23 (W) v Italy U23 (W), Favorite: ,Turkey U23 (W), 7757799   size:10138.47,Price: ,1.01,Italy U23 (W), 7757798   size:5.83,Price: ,1.23,ok
1.120004354, Sport: ,Tennis, Time: ,Thu Aug 13 17:00:00 CEST 2015, Time: ,Thu Aug 13 17:00:00 CEST 2015, Event: ,Vinci v Gavrilova, Favorite: ,Daria Gavrilova, 5053424   size:281.99,Price: ,1.69,Roberta Vinci, 2249840   size:5.0,Price: ,2.34,x
1.119899562, Sport: ,Handball, Time: ,Thu Aug 13 15:00:00 CEST 2015, Time: ,Thu Aug 13 15:00:00 CEST 2015, Event: ,Brazil U19 v France U19, Favorite: ,France U19, 7554776   size:2710.43,Price: ,1.01,Brazil U19, 7554774   size:70.41,Price: ,19.5,Draw, 330157   size:70.1,Price: ,21.0,ok
1.119997956, Sport: ,Tennis, Time: ,Thu Aug 13 12:30:00 CEST 2015, Time: ,Thu Aug 13 12:30:00 CEST 2015, Event: ,Allertova v M Vondrousova, Favorite: ,Denisa Allertova, 8679183   size:3.45,Price: ,1.45,Marketa Vondrousova, 9433253   size:12.7,Price: ,2.8,ok
1.119997712, Sport: ,Tennis, Time: ,Thu Aug 13 12:00:00 CEST 2015, Time: ,Thu Aug 13 12:00:00 CEST 2015, Event: ,L Gjorcheska v Ferro, Favorite: ,Fiona Ferro, 8535268   size:4.62,Price: ,1.36,Lina Gjorcheska, 9627521   size:4.78,Price: ,3.25,x
1.119997711, Sport: ,Tennis, Time: ,Thu Aug 13 17:00:00 CEST 2015, Time: ,Thu Aug 13 17:00:00 CEST 2015, Event: ,Oprandi v Zaja, Favorite: ,Romina Oprandi, 2256455   size:5.83,Price: ,1.16,Anna Zaja, 7216216   size:141.42,Price: ,5.0,ok
