1.120211069, Sport: ,Tennis, Time: ,Thu Aug 27 02:30:00 CEST 2015, Time: ,Thu Aug 27 02:30:00 CEST 2015, Event: ,Gabashvili/Sousa v Inglot/Lindstedt, Favorite: ,Inglot/Lindstedt, 10075651   size:79.83,Price: ,1.31,Gabashvili/Sousa, 8259766   size:13.66,Price: ,3.0,ok
1.120256572, Sport: ,Tennis, Time: ,Thu Aug 27 04:30:00 CEST 2015, Time: ,Thu Aug 27 04:30:00 CEST 2015, Event: ,S Lee v Akita, Favorite: ,So-Ra Lee, 8839149   size:53.47,Price: ,1.23,Shiho Akita, 9165932   size:6.62,Price: ,4.3,ok
1.120242725, Sport: ,Soccer, Time: ,Thu Aug 27 03:00:00 CEST 2015, Time: ,Thu Aug 27 03:00:00 CEST 2015, Event: ,Real Monarchs SLC v Colorado Springs, Favorite: ,Colorado Springs, 9587822   size:3.37,Price: ,2.0,The Draw, 58805   size:3.8,Price: ,3.6,Real Monarchs SLC, 9362496   size:12.51,Price: ,3.65,x
1.120124372, Sport: ,Soccer, Time: ,Thu Aug 27 02:00:00 CEST 2015, Time: ,Thu Aug 27 02:00:00 CEST 2015, Event: ,Deportivo Tachira v Estudiantes de Merida, Favorite: ,Deportivo Tachira, 712865   size:23.36,Price: ,1.61,The Draw, 58805   size:15.3,Price: ,4.0,Estudiantes de Merida, 7838019   size:7.28,Price: ,6.4,x
1.120123185, Sport: ,Soccer, Time: ,Thu Aug 27 02:30:00 CEST 2015, Time: ,Thu Aug 27 02:30:00 CEST 2015, Event: ,Chicago Fire v New York Red Bulls, Favorite: ,New York Red Bulls, 2362970   size:7.74,Price: ,2.68,Chicago Fire, 226469   size:28.83,Price: ,2.74,The Draw, 58805   size:44.79,Price: ,3.75,x
1.120127262, Sport: ,Soccer, Time: ,Thu Aug 27 03:30:00 CEST 2015, Time: ,Thu Aug 27 03:30:00 CEST 2015, Event: ,Guadalajara v Coras Tepic, Favorite: ,Guadalajara, 230909   size:3.66,Price: ,1.59,The Draw, 58805   size:2.55,Price: ,3.65,Coras Tepic, 8692848   size:9.29,Price: ,6.0,
1.120234206, Sport: ,Tennis, Time: ,Thu Aug 27 02:30:00 CEST 2015, Time: ,Thu Aug 27 02:30:00 CEST 2015, Event: ,Ozeki v K Hisami, Favorite: ,Kanae Hisami, 7657213   size:93.57,Price: ,1.28,Michika Ozeki, 8887168   size:178.59,Price: ,4.2,ok
1.120244127, Sport: ,Soccer, Time: ,Thu Aug 27 02:00:00 CEST 2015, Time: ,Thu Aug 27 02:00:00 CEST 2015, Event: ,Racing Club v CA Atlanta, Favorite: ,Racing Club, 198558   size:58.95,Price: ,1.59,The Draw, 58805   size:9.6,Price: ,4.1,CA Atlanta, 5860879   size:2.25,Price: ,6.8,x
1.120221171, Sport: ,Baseball, Time: ,Thu Aug 27 04:15:00 CEST 2015, Time: ,Thu Aug 27 04:15:00 CEST 2015, Event: ,CHC @ SF, Favorite: ,Chicago Cubs (K Hendricks), 8688427   size:345.01,Price: ,1.93,San Francisco (J Peavy), 8735367   size:118.87,Price: ,2.04,x
1.120242780, Sport: ,Soccer, Time: ,Thu Aug 27 04:00:00 CEST 2015, Time: ,Thu Aug 27 04:00:00 CEST 2015, Event: ,Seattle Reign FC (W) v Boston Breakers (W), Favorite: ,Seattle Reign FC (W), 7212833   size:2.55,Price: ,1.25,The Draw, 58805   size:7.58,Price: ,6.0,Boston Breakers (W), 5508529   size:7.83,Price: ,9.6,ok
1.120229419, Sport: ,Soccer, Time: ,Thu Aug 27 02:00:00 CEST 2015, Time: ,Thu Aug 27 02:00:00 CEST 2015, Event: ,CD UES v CD Atletico Marte, Favorite: ,CD UES, 8464811   size:2.55,Price: ,2.16,The Draw, 58805   size:4.39,Price: ,3.3,CD Atletico Marte, 8459079   size:6.32,Price: ,3.35,x
1.120123706, Sport: ,Soccer, Time: ,Thu Aug 27 04:00:00 CEST 2015, Time: ,Thu Aug 27 04:00:00 CEST 2015, Event: ,Herediano v Tigres, Favorite: ,Herediano, 4067826   size:502.06,Price: ,2.74,Tigres, 328916   size:17.33,Price: ,2.88,The Draw, 58805   size:367.84,Price: ,3.4,x
1.120224642, Sport: ,Soccer, Time: ,Thu Aug 27 02:15:00 CEST 2015, Time: ,Thu Aug 27 02:15:00 CEST 2015, Event: ,Olimpia v CD Aguilas, Favorite: ,Olimpia, 328699   size:46.01,Price: ,1.49,The Draw, 58805   size:16.1,Price: ,4.1,CD Aguilas, 8343594   size:2.74,Price: ,11.0,x
1.120221155, Sport: ,Baseball, Time: ,Thu Aug 27 02:10:00 CEST 2015, Time: ,Thu Aug 27 02:10:00 CEST 2015, Event: ,BOS @ CWS, Favorite: ,Chicago White Sox (C Sale), 6296975   size:46.89,Price: ,1.5,Boston (R Porcello), 9385112   size:38.18,Price: ,2.96,
