1.119909955, Sport: ,Cricket, Time: ,Thu Aug 27 11:45:00 CEST 2015, Time: ,Thu Aug 27 11:45:00 CEST 2015, Event: ,Ireland v Australia (Only ODI), Favorite: ,Australia, 16606   size:9118.11,Price: ,1.09,Ireland, 152530   size:104.84,Price: ,11.0,ok
1.120267847, Sport: ,Basketball, Time: ,Thu Aug 27 12:00:00 CEST 2015, Time: ,Thu Aug 27 12:00:00 CEST 2015, Event: ,Zimbabwe v Uganda, Favorite: ,Uganda, 9792211   size:3.21,Price: ,1.56,Zimbabwe, 9792397   size:42.71,Price: ,2.56,ok
1.120267765, Sport: ,Tennis, Time: ,Thu Aug 27 13:30:00 CEST 2015, Time: ,Thu Aug 27 13:30:00 CEST 2015, Event: ,Dunne v Amanmuradova, Favorite: ,Akgul Amanmuradova, 2301144   size:42.97,Price: ,1.81,Katy Dunne, 7368513   size:2.55,Price: ,1.99,x
1.120120729, Sport: ,Volleyball, Time: ,Thu Aug 27 11:40:00 CEST 2015, Time: ,Thu Aug 27 11:40:00 CEST 2015, Event: ,South Korea v Serbia, Favorite: ,Serbia, 2010254   size:155.0,Price: ,1.14,South Korea, 1538770   size:63.37,Price: ,5.9,ok
1.120243175, Sport: ,Soccer, Time: ,Thu Aug 27 12:30:00 CEST 2015, Time: ,Thu Aug 27 12:30:00 CEST 2015, Event: ,Churchill Brothers v Sporting Goa, Favorite: ,Churchill Brothers, 4484783   size:2.62,Price: ,1.91,Sporting Goa, 5969463   size:2.43,Price: ,2.06,The Draw, 58805   size:4.04,Price: ,3.3,ok
1.120267861, Sport: ,Basketball, Time: ,Thu Aug 27 14:30:00 CEST 2015, Time: ,Thu Aug 27 14:30:00 CEST 2015, Event: ,Gabon v Nigeria, Favorite: ,Nigeria, 1499773   size:657.41,Price: ,1.02,Gabon, 9792256   size:7492.47,Price: ,1.05,ok
1.120243396, Sport: ,Soccer, Time: ,Thu Aug 27 11:00:00 CEST 2015, Time: ,Thu Aug 27 11:00:00 CEST 2015, Event: ,Myanmar U19 v East Timor U19, Favorite: ,Myanmar U19, 8505419   size:59.97,Price: ,1.24,The Draw, 58805   size:9.29,Price: ,6.8,East Timor U19, 10183516   size:7.35,Price: ,11.5,x
1.120243451, Sport: ,Soccer, Time: ,Thu Aug 27 14:00:00 CEST 2015, Time: ,Thu Aug 27 14:00:00 CEST 2015, Event: ,Vietnam U19 v Malaysia U19, Favorite: ,Vietnam U19, 6639217   size:3.47,Price: ,1.78,The Draw, 58805   size:18.97,Price: ,4.0,Malaysia U19, 2502341   size:4.44,Price: ,4.8,x
1.120251304, Sport: ,Hockey, Time: ,Thu Aug 27 14:15:00 CEST 2015, Time: ,Thu Aug 27 14:15:00 CEST 2015, Event: ,Netherlands v Ireland, Favorite: ,Ireland, 261992   size:2.43,Price: ,1.01,Netherlands, 261994   size:222.0,Price: ,1.02,Draw, 318509   size:25.0,Price: ,7.0,x
1.120251303, Sport: ,Hockey, Time: ,Thu Aug 27 12:00:00 CEST 2015, Time: ,Thu Aug 27 12:00:00 CEST 2015, Event: ,Russia v France, Favorite: ,Draw, 318509   size:5.74,Price: ,1.17,France, 318489   size:5.74,Price: ,1.19,x
1.120251269, Sport: ,Tennis, Time: ,Thu Aug 27 13:30:00 CEST 2015, Time: ,Thu Aug 27 13:30:00 CEST 2015, Event: ,Giovine v Barbieri, Favorite: ,Gioia Barbieri, 8427391   size:8.29,Price: ,1.49,Claudia Giovine, 9028649   size:2.73,Price: ,2.96,x
1.120124538, Sport: ,Soccer, Time: ,Thu Aug 27 14:00:00 CEST 2015, Time: ,Thu Aug 27 14:00:00 CEST 2015, Event: ,PSMS Medan v Kwarta FC, Favorite: ,Kwarta FC, 10168748   size:11.59,Price: ,1.08,PSMS Medan, 3703129   size:88.44,Price: ,1.32,The Draw, 58805   size:11.25,Price: ,3.3,x
1.120124057, Sport: ,Soccer, Time: ,Thu Aug 27 13:30:00 CEST 2015, Time: ,Thu Aug 27 13:30:00 CEST 2015, Event: ,Courts Young Lions v Home Utd, Favorite: ,Home Utd, 4852330   size:13.69,Price: ,2.38,Courts Young Lions, 5907159   size:9.58,Price: ,3.15,The Draw, 58805   size:42.72,Price: ,3.55,ok
1.120237621, Sport: ,Tennis, Time: ,Thu Aug 27 12:00:00 CEST 2015, Time: ,Thu Aug 27 12:00:00 CEST 2015, Event: ,Podlipnik-Castillo v Giustino, Favorite: ,Lorenzo Giustino, 7534093   size:1362.35,Price: ,1.74,Hans Podlipnik-Castillo, 8461633   size:12.86,Price: ,2.3,ok
1.120218746, Sport: ,Soccer, Time: ,Thu Aug 27 12:00:00 CEST 2015, Time: ,Thu Aug 27 12:00:00 CEST 2015, Event: ,Portugal (W) U19 v Poland (W) U19, Favorite: ,Portugal (W) U19, 7118921   size:10.42,Price: ,2.42,Poland (W) U19, 6770662   size:17.69,Price: ,2.64,The Draw, 58805   size:5.84,Price: ,3.45,x
1.120242952, Sport: ,Soccer, Time: ,Thu Aug 27 14:00:00 CEST 2015, Time: ,Thu Aug 27 14:00:00 CEST 2015, Event: ,FK Obod Tashkent v FK Yozavon Lochinglari, Favorite: ,FK Obod Tashkent, 8433046   size:2.55,Price: ,1.27,FK Yozavon Lochinglari, 9188591   size:2.55,Price: ,1.78,The Draw, 58805   size:2.55,Price: ,3.2,
1.120267533, Sport: ,Tennis, Time: ,Thu Aug 27 12:00:00 CEST 2015, Time: ,Thu Aug 27 12:00:00 CEST 2015, Event: ,Golubic v Bolkvadze, Favorite: ,Viktorija Golubic, 7283232   size:30.68,Price: ,1.37,Mariam Bolkvadze, 9630030   size:4.61,Price: ,3.6,ok
1.120267514, Sport: ,Tennis, Time: ,Thu Aug 27 12:00:00 CEST 2015, Time: ,Thu Aug 27 12:00:00 CEST 2015, Event: ,Galfi v Ozgen, Favorite: ,Dalma Galfi, 9304691   size:9.51,Price: ,1.6,Pemra Ozgen, 2420585   size:2.58,Price: ,2.4,
