1.120267506, Sport: ,Tennis, Time: ,Thu Aug 27 21:19:00 CEST 2015, Time: ,Thu Aug 27 21:19:00 CEST 2015, Event: ,Mestach v Sakkari, Favorite: ,An-Sophie Mestach, 4818332   size:42.1,Price: ,1.43,Maria Sakkari, 9002331   size:121.06,Price: ,2.0
1.120244268, Sport: ,Soccer, Time: ,Thu Aug 27 21:30:00 CEST 2015, Time: ,Thu Aug 27 21:30:00 CEST 2015, Event: ,Xerez Deportivo FC v Sanluqueno, Favorite: ,Sanluqueno, 6603998   size:3.33,Price: ,1.5,Xerez Deportivo FC, 10198046   size:21.91,Price: ,2.6,The Draw, 58805   size:2.86,Price: ,3.1
1.120267786, Sport: ,Tennis, Time: ,Thu Aug 27 21:30:00 CEST 2015, Time: ,Thu Aug 27 21:30:00 CEST 2015, Event: ,Kontaveit v Torr”-Flor, Favorite: ,Anett Kontaveit, 5300737   size:48.95,Price: ,1.73,MarÕa-Teresa Torr”-Fl, 9628906   size:2.19,Price: ,2.28
1.120267329, Sport: ,Tennis, Time: ,Thu Aug 27 21:30:00 CEST 2015, Time: ,Thu Aug 27 21:30:00 CEST 2015, Event: ,Millot v Jo Smith, Favorite: ,John-Patrick Smith, 8243874   size:17.65,Price: ,1.63,Vincent Millot, 4275820   size:15.14,Price: ,2.42
1.120241810, Sport: ,Soccer, Time: ,Thu Aug 27 21:30:00 CEST 2015, Time: ,Thu Aug 27 21:30:00 CEST 2015, Event: ,Fluminense U20 v Vitoria U20, Favorite: ,Fluminense U20, 5181413   size:2.74,Price: ,1.63,Vitoria U20, 5181430   size:2.74,Price: ,2.68,The Draw, 58805   size:10.29,Price: ,3.6
1.120267612, Sport: ,Baseball, Time: ,Thu Aug 27 21:45:00 CEST 2015, Time: ,Thu Aug 27 21:45:00 CEST 2015, Event: ,CHC @ SF, Favorite: ,San Francisco (M Bumgarner), 4171027   size:208.21,Price: ,1.6,Chicago Cubs (D Haren), 10115949   size:2.74,Price: ,2.64
1.120267771, Sport: ,Tennis, Time: ,Thu Aug 27 21:45:00 CEST 2015, Time: ,Thu Aug 27 21:45:00 CEST 2015, Event: ,Ramanathan v Bagnis, Favorite: ,Facundo Bagnis, 4520808   size:2.74,Price: ,1.59,Ramkumar Ramanathan, 8173038   size:44.61,Price: ,2.64
1.120267936, Sport: ,Tennis, Time: ,Thu Aug 27 21:45:00 CEST 2015, Time: ,Thu Aug 27 21:45:00 CEST 2015, Event: ,T Townsend v Kasatkina, Favorite: ,Daria Kasatkina, 7795290   size:2.74,Price: ,1.63,Taylor Townsend, 7066166   size:19.19,Price: ,2.5
1.120268018, Sport: ,Tennis, Time: ,Thu Aug 27 21:45:00 CEST 2015, Time: ,Thu Aug 27 21:45:00 CEST 2015, Event: ,Su Hsieh v A Lim, Favorite: ,Su-Wei Hsieh, 8244521   size:177.93,Price: ,1.36,AlizÈ Lim, 8538948   size:26.15,Price: ,3.6
1.120268027, Sport: ,Tennis, Time: ,Thu Aug 27 21:45:00 CEST 2015, Time: ,Thu Aug 27 21:45:00 CEST 2015, Event: ,R Peterson v Siegemund, Favorite: ,Laura Siegemund, 4829328   size:2.74,Price: ,1.48,Rebecca Peterson, 7430598   size:29.05,Price: ,2.9
1.120267903, Sport: ,Basketball, Time: ,Thu Aug 27 22:00:00 CEST 2015, Time: ,Thu Aug 27 22:00:00 CEST 2015, Event: ,Tunisia v Mali, Favorite: ,Tunisia, 4030990   size:331.89,Price: ,1.14,Mali, 2475800   size:74.7,Price: ,7.0
1.120265530, Sport: ,Tennis, Time: ,Thu Aug 27 22:00:00 CEST 2015, Time: ,Thu Aug 27 22:00:00 CEST 2015, Event: ,Rublev v Sugita, Favorite: ,Andrey Rublev, 7797771   size:6.95,Price: ,1.45,Yuichi Sugita, 3374117   size:28.36,Price: ,3.15
1.120267995, Sport: ,Tennis, Time: ,Thu Aug 27 22:00:00 CEST 2015, Time: ,Thu Aug 27 22:00:00 CEST 2015, Event: ,Y Duan v N Broady, Favorite: ,Ying-Ying Duan, 8243878   size:147.12,Price: ,1.71,Naomi Broady, 3960538   size:2.17,Price: ,2.3
1.120267999, Sport: ,Tennis, Time: ,Thu Aug 27 22:00:00 CEST 2015, Time: ,Thu Aug 27 22:00:00 CEST 2015, Event: ,Bertens v X Han, Favorite: ,Kiki Bertens, 5611697   size:274.29,Price: ,1.25,Xinyun Han, 3172285   size:20.02,Price: ,4.6
