1.120267472, Sport: ,Tennis, Time: ,Thu Aug 27 23:30:00 CEST 2015, Time: ,Thu Aug 27 23:30:00 CEST 2015, Event: ,Gojowczyk v Fucsovics, Favorite: ,Peter Gojowczyk, 4691416   size:14.21,Price: ,1.9,Marton Fucsovics, 4827766   size:258.98,Price: ,2.04,ok
1.120267770, Sport: ,Tennis, Time: ,Thu Aug 27 23:30:00 CEST 2015, Time: ,Thu Aug 27 23:30:00 CEST 2015, Event: ,K Bondarenko v Soylu, Favorite: ,Kateryna Bondarenko, 2291864   size:1029.4,Price: ,1.19,Ipek Soylu, 8397938   size:14.46,Price: ,5.4,ok
1.120259330, Sport: ,Soccer, Time: ,Fri Aug 28 00:00:00 CEST 2015, Time: ,Fri Aug 28 00:00:00 CEST 2015, Event: ,Rosario Central v Ferro Carril Oeste, Favorite: ,Rosario Central, 220949   size:3.49,Price: ,1.78,The Draw, 58805   size:8.49,Price: ,3.35,Ferro Carril Oeste, 5985279   size:47.57,Price: ,5.8,x
1.120267779, Sport: ,Tennis, Time: ,Thu Aug 27 23:30:00 CEST 2015, Time: ,Thu Aug 27 23:30:00 CEST 2015, Event: ,Khachanov v Dodig, Favorite: ,Ivan Dodig, 2835266   size:32.24,Price: ,1.43,Karen Khachanov, 7659623   size:7.07,Price: ,3.2,ok
1.119768930, Sport: ,Basketball, Time: ,Thu Aug 27 23:45:00 CEST 2015, Time: ,Thu Aug 27 23:45:00 CEST 2015, Event: ,Dominican Republic v Brazil, Favorite: ,Brazil, 207999   size:21.0,Price: ,1.64,Dominican Republic, 4123625   size:404.0,Price: ,2.14,x
1.120267704, Sport: ,Tennis, Time: ,Thu Aug 27 23:30:00 CEST 2015, Time: ,Thu Aug 27 23:30:00 CEST 2015, Event: ,Hozumi v Hibino, Favorite: ,Nao Hibino, 7683152   size:4.58,Price: ,1.29,Eri Hozumi, 7657224   size:2.55,Price: ,4.0,ok
1.120224502, Sport: ,Soccer, Time: ,Thu Aug 27 23:30:00 CEST 2015, Time: ,Thu Aug 27 23:30:00 CEST 2015, Event: ,Deportivo La Guaira v Sportivo Luqueno, Favorite: ,Deportivo La Guaira, 7658015   size:12.47,Price: ,2.64,The Draw, 58805   size:49.55,Price: ,3.05,Sportivo Luqueno, 2844791   size:10.28,Price: ,3.25,x
1.120268205, Sport: ,Tennis, Time: ,Fri Aug 28 00:15:00 CEST 2015, Time: ,Fri Aug 28 00:15:00 CEST 2015, Event: ,Harrison/Harrison v Inglot/Lindstedt, Favorite: ,Inglot/Lindstedt, 10075651   size:2.55,Price: ,1.42,Harrison/Harrison, 6630111   size:4.43,Price: ,2.66,ok
1.120267754, Sport: ,Tennis, Time: ,Thu Aug 27 23:15:00 CEST 2015, Time: ,Thu Aug 27 23:15:00 CEST 2015, Event: ,Gigounon v Fabbiano, Favorite: ,Thomas Fabbiano, 3019240   size:2.74,Price: ,1.48,Germain Gigounon, 8174343   size:2.74,Price: ,2.98,ok
1.120267750, Sport: ,Tennis, Time: ,Thu Aug 27 23:15:00 CEST 2015, Time: ,Thu Aug 27 23:15:00 CEST 2015, Event: ,Coppejans v Opelka, Favorite: ,Kimmer Coppejans, 7364095   size:189.88,Price: ,1.36,Reilly Opelka, 8859316   size:10.98,Price: ,3.4,ok
1.120267675, Sport: ,Tennis, Time: ,Thu Aug 27 23:00:00 CEST 2015, Time: ,Thu Aug 27 23:00:00 CEST 2015, Event: ,Basilashvili v M Krueger, Favorite: ,Nikoloz Basilashvili, 8257807   size:541.05,Price: ,1.38,Mitchell Krueger, 6603910   size:10.16,Price: ,3.35,ok
1.120267552, Sport: ,Tennis, Time: ,Thu Aug 27 23:45:00 CEST 2015, Time: ,Thu Aug 27 23:45:00 CEST 2015, Event: ,Kudryavtsev v J Melzer, Favorite: ,Jurgen Melzer, 2256472   size:26.92,Price: ,1.51,Alexander Kudryavtsev, 5908538   size:25.47,Price: ,2.84,ok
