1.120259330, Sport: ,Soccer, Time: ,Fri Aug 28 00:00:00 CEST 2015, Time: ,Fri Aug 28 00:00:00 CEST 2015, Event: ,Rosario Central v Ferro Carril Oeste, Favorite: ,Rosario Central, 220949   size:162.45,Price: ,1.75,The Draw, 58805   size:8.64,Price: ,3.35,Ferro Carril Oeste, 5985279   size:6.43,Price: ,6.0,
1.119768930, Sport: ,Basketball, Time: ,Thu Aug 27 23:45:00 CEST 2015, Time: ,Thu Aug 27 23:45:00 CEST 2015, Event: ,Dominican Republic v Brazil, Favorite: ,Brazil, 207999   size:148.54,Price: ,1.64,Dominican Republic, 4123625   size:7.26,Price: ,2.18,
1.120268205, Sport: ,Tennis, Time: ,Fri Aug 28 00:15:00 CEST 2015, Time: ,Fri Aug 28 00:15:00 CEST 2015, Event: ,Harrison/Harrison v Inglot/Lindstedt, Favorite: ,Inglot/Lindstedt, 10075651   size:157.9,Price: ,1.45,Harrison/Harrison, 6630111   size:4.4,Price: ,2.68,
1.120267621, Sport: ,Baseball, Time: ,Fri Aug 28 01:05:00 CEST 2015, Time: ,Fri Aug 28 01:05:00 CEST 2015, Event: ,NYM @ PHI, Favorite: ,NY Mets (J Niese), 3340416   size:992.21,Price: ,1.66,Philadelphia (A Harang), 9385113   size:544.0,Price: ,2.38,
1.120153791, Sport: ,Soccer, Time: ,Fri Aug 28 01:00:00 CEST 2015, Time: ,Fri Aug 28 01:00:00 CEST 2015, Event: ,Ituano v Internacional, Favorite: ,Internacional, 198137   size:41.26,Price: ,2.36,The Draw, 58805   size:42.27,Price: ,3.35,Ituano, 1040280   size:11.41,Price: ,3.4,
1.120267552, Sport: ,Tennis, Time: ,Thu Aug 27 23:45:00 CEST 2015, Time: ,Thu Aug 27 23:45:00 CEST 2015, Event: ,Kudryavtsev v J Melzer, Favorite: ,Jurgen Melzer, 2256472   size:83.19,Price: ,1.51,Alexander Kudryavtsev, 5908538   size:39.23,Price: ,2.8,
1.120267795, Sport: ,Tennis, Time: ,Fri Aug 28 01:00:00 CEST 2015, Time: ,Fri Aug 28 01:00:00 CEST 2015, Event: ,Coric v K Anderson, Favorite: ,Kevin Anderson, 2519549   size:187.44,Price: ,1.54,Borna Coric, 7446579   size:2.73,Price: ,2.78,
1.120268005, Sport: ,Tennis, Time: ,Fri Aug 28 01:00:00 CEST 2015, Time: ,Fri Aug 28 01:00:00 CEST 2015, Event: ,Caro Garcia v Wozniacki, Favorite: ,Caroline Wozniacki, 2309522   size:1816.56,Price: ,1.39,Caroline Garcia, 5248977   size:21.94,Price: ,3.45,
1.120267652, Sport: ,Baseball, Time: ,Fri Aug 28 01:10:00 CEST 2015, Time: ,Fri Aug 28 01:10:00 CEST 2015, Event: ,PIT @ MIA, Favorite: ,Pittsburgh (G Cole), 7340947   size:751.66,Price: ,1.49,Miami (J Nicolino), 9654348   size:14.76,Price: ,2.96,
1.120267642, Sport: ,Baseball, Time: ,Fri Aug 28 01:10:00 CEST 2015, Time: ,Fri Aug 28 01:10:00 CEST 2015, Event: ,MIN @ TB, Favorite: ,Tampa Bay (D Smyly), 8753731   size:536.0,Price: ,1.72,Minnesota (T Milone), 8767527   size:339.5,Price: ,2.3,
1.120224432, Sport: ,Soccer, Time: ,Fri Aug 28 00:00:00 CEST 2015, Time: ,Fri Aug 28 00:00:00 CEST 2015, Event: ,Nacional (Uru) v Santa Fe, Favorite: ,Nacional (Uru), 504780   size:88.72,Price: ,2.12,The Draw, 58805   size:96.2,Price: ,3.25,Santa Fe, 4908158   size:232.31,Price: ,4.3,
1.120166387, Sport: ,Basketball, Time: ,Fri Aug 28 01:00:00 CEST 2015, Time: ,Fri Aug 28 01:00:00 CEST 2015, Event: ,Phoenix @ Connecticut, Favorite: ,Phoenix, 13128   size:5.31,Price: ,1.31,Connecticut, 332194   size:66.43,Price: ,3.95,
1.120268092, Sport: ,Tennis, Time: ,Thu Aug 27 23:40:00 CEST 2015, Time: ,Thu Aug 27 23:40:00 CEST 2015, Event: ,Voracova v Y Chan, Favorite: ,Yung-Jan Chan, 8352773   size:127.44,Price: ,1.53,Renata Voracova, 2263711   size:33.56,Price: ,2.76,x
1.119819246, Sport: ,American Football, Time: ,Fri Aug 28 01:30:00 CEST 2015, Time: ,Fri Aug 28 01:30:00 CEST 2015, Event: ,Montreal @ Hamilton, Favorite: ,Hamilton, 2014691   size:82.12,Price: ,1.18,Montreal, 2014643   size:5.35,Price: ,5.4,
