1.120267944, Sport: ,Tennis, Time: ,Fri Aug 28 02:45:00 CEST 2015, Time: ,Fri Aug 28 02:45:00 CEST 2015, Event: ,Bellucci v Jaziri, Favorite: ,Thomaz Bellucci, 2830908   size:353.44,Price: ,1.44,Malek Jaziri, 5776215   size:423.61,Price: ,3.25,
1.120267704, Sport: ,Tennis, Time: ,Fri Aug 28 00:51:00 CEST 2015, Time: ,Fri Aug 28 00:51:00 CEST 2015, Event: ,Hozumi v Hibino, Favorite: ,Nao Hibino, 7683152   size:6.31,Price: ,1.31,Eri Hozumi, 7657224   size:26.6,Price: ,3.95,
1.120267621, Sport: ,Baseball, Time: ,Fri Aug 28 01:05:00 CEST 2015, Time: ,Fri Aug 28 01:05:00 CEST 2015, Event: ,NYM @ PHI, Favorite: ,NY Mets (J Niese), 3340416   size:515.24,Price: ,1.67,Philadelphia (A Harang), 9385113   size:20.5,Price: ,2.42,
1.120153791, Sport: ,Soccer, Time: ,Fri Aug 28 01:00:00 CEST 2015, Time: ,Fri Aug 28 01:00:00 CEST 2015, Event: ,Ituano v Internacional, Favorite: ,Internacional, 198137   size:35.36,Price: ,2.32,The Draw, 58805   size:49.5,Price: ,3.45,Ituano, 1040280   size:13.69,Price: ,3.5,
1.120266810, Sport: ,Soccer, Time: ,Fri Aug 28 02:00:00 CEST 2015, Time: ,Fri Aug 28 02:00:00 CEST 2015, Event: ,FC Kansas City (W) v Washington Spirit (W), Favorite: ,FC Kansas City (W), 7201330   size:7.53,Price: ,1.51,The Draw, 58805   size:101.41,Price: ,4.3,Washington Spirit (W), 7196209   size:41.17,Price: ,5.0,
1.120267661, Sport: ,Baseball, Time: ,Fri Aug 28 02:10:00 CEST 2015, Time: ,Fri Aug 28 02:10:00 CEST 2015, Event: ,SEA @ CWS, Favorite: ,Chicago White Sox (C Rodon), 9469946   size:314.99,Price: ,1.8,Seattle (R Elias), 8436207   size:66.1,Price: ,2.2,
1.120224782, Sport: ,Soccer, Time: ,Fri Aug 28 04:00:00 CEST 2015, Time: ,Fri Aug 28 04:00:00 CEST 2015, Event: ,Emelec v Juventud (Uru), Favorite: ,Emelec, 328197   size:10.15,Price: ,1.33,The Draw, 58805   size:11.09,Price: ,5.7,Juventud (Uru), 6607159   size:70.07,Price: ,13.0,
1.120268277, Sport: ,Tennis, Time: ,Fri Aug 28 04:30:00 CEST 2015, Time: ,Fri Aug 28 04:30:00 CEST 2015, Event: ,S Jang v X Sun, Favorite: ,Su Jeong Jang, 7659425   size:22.34,Price: ,1.46,Xu Liu Sun, 8710303   size:22.18,Price: ,3.0,
1.120267642, Sport: ,Baseball, Time: ,Fri Aug 28 01:10:00 CEST 2015, Time: ,Fri Aug 28 01:10:00 CEST 2015, Event: ,MIN @ TB, Favorite: ,Tampa Bay (D Smyly), 8753731   size:6.54,Price: ,1.77,Minnesota (T Milone), 8767527   size:400.0,Price: ,2.28,
1.120154126, Sport: ,Soccer, Time: ,Fri Aug 28 02:15:00 CEST 2015, Time: ,Fri Aug 28 02:15:00 CEST 2015, Event: ,Belgrano v Lanus, Favorite: ,Belgrano, 1496989   size:35.2,Price: ,2.46,The Draw, 58805   size:113.8,Price: ,3.1,Lanus, 194513   size:7.13,Price: ,3.55,
1.120268230, Sport: ,Tennis, Time: ,Fri Aug 28 02:00:00 CEST 2015, Time: ,Fri Aug 28 02:00:00 CEST 2015, Event: ,Kubot/Nestor v Carreno Bus/Garcia-Lope, Favorite: ,Kubot/Nestor, 7082537   size:5.92,Price: ,1.33,Carreno Bus/Garcia-Lope, 9128738   size:2.55,Price: ,3.25,
1.120268274, Sport: ,Tennis, Time: ,Fri Aug 28 03:00:00 CEST 2015, Time: ,Fri Aug 28 03:00:00 CEST 2015, Event: ,Plipuech v Lertcheewakarn, Favorite: ,Noppawan Lertcheewakarn, 2293408   size:110.78,Price: ,1.68,Peangtarn Plipuech, 8244519   size:2.8,Price: ,2.22,
1.120271790, Sport: ,Basketball, Time: ,Fri Aug 28 02:15:00 CEST 2015, Time: ,Fri Aug 28 02:15:00 CEST 2015, Event: ,Puerto Rico v Argentina, Favorite: ,Puerto Rico, 208003   size:3.89,Price: ,1.6,Argentina, 208017   size:91.32,Price: ,2.5,
1.120264425, Sport: ,Soccer, Time: ,Fri Aug 28 02:00:00 CEST 2015, Time: ,Fri Aug 28 02:00:00 CEST 2015, Event: ,San Jose v Universitario (Sucre), Favorite: ,San Jose, 171908   size:10.99,Price: ,1.75,The Draw, 58805   size:6.73,Price: ,4.0,Universitario (Sucre), 8858487   size:15.18,Price: ,4.9,
1.120264369, Sport: ,Soccer, Time: ,Fri Aug 28 02:00:00 CEST 2015, Time: ,Fri Aug 28 02:00:00 CEST 2015, Event: ,Jorge Wilstermann v Oriente Petrolero, Favorite: ,Jorge Wilstermann, 706904   size:25.2,Price: ,2.02,The Draw, 58805   size:99.92,Price: ,3.55,Oriente Petrolero, 330231   size:53.0,Price: ,4.0,
1.120267632, Sport: ,Baseball, Time: ,Fri Aug 28 01:05:00 CEST 2015, Time: ,Fri Aug 28 01:05:00 CEST 2015, Event: ,SD @ WSH, Favorite: ,Washington (J Ross), 9565218   size:545.86,Price: ,1.59,San Diego (A Cashner), 6436041   size:242.18,Price: ,2.64,
1.120153627, Sport: ,Soccer, Time: ,Fri Aug 28 02:00:00 CEST 2015, Time: ,Fri Aug 28 02:00:00 CEST 2015, Event: ,Gremio v Coritiba, Favorite: ,Gremio, 198134   size:1439.2,Price: ,1.48,The Draw, 58805   size:77.16,Price: ,4.3,Coritiba, 198141   size:26.19,Price: ,9.4,
