1.120267795, Sport: ,Tennis, Time: ,Fri Aug 28 01:03:00 CEST 2015, Time: ,Fri Aug 28 01:03:00 CEST 2015, Event: ,Coric v K Anderson, Favorite: ,Kevin Anderson, 2519549   size:936.29,Price: ,1.54,Borna Coric, 7446579   size:801.82,Price: ,2.8,
1.120267632, Sport: ,Baseball, Time: ,Fri Aug 28 01:05:00 CEST 2015, Time: ,Fri Aug 28 01:05:00 CEST 2015, Event: ,SD @ WSH, Favorite: ,Washington (J Ross), 9565218   size:623.96,Price: ,1.58,San Diego (A Cashner), 6436041   size:232.58,Price: ,2.7,
1.120267621, Sport: ,Baseball, Time: ,Fri Aug 28 01:05:00 CEST 2015, Time: ,Fri Aug 28 01:05:00 CEST 2015, Event: ,NYM @ PHI, Favorite: ,NY Mets (J Niese), 3340416   size:521.46,Price: ,1.67,Philadelphia (A Harang), 9385113   size:292.0,Price: ,2.48,
1.120267652, Sport: ,Baseball, Time: ,Fri Aug 28 01:10:00 CEST 2015, Time: ,Fri Aug 28 01:10:00 CEST 2015, Event: ,PIT @ MIA, Favorite: ,Pittsburgh (G Cole), 7340947   size:953.0,Price: ,1.47,Miami (J Nicolino), 9654348   size:800.0,Price: ,3.05,
1.120267642, Sport: ,Baseball, Time: ,Fri Aug 28 01:10:00 CEST 2015, Time: ,Fri Aug 28 01:10:00 CEST 2015, Event: ,MIN @ TB, Favorite: ,Tampa Bay (D Smyly), 8753731   size:534.0,Price: ,1.78,Minnesota (T Milone), 8767527   size:212.37,Price: ,2.26,
1.119819246, Sport: ,American Football, Time: ,Fri Aug 28 01:30:00 CEST 2015, Time: ,Fri Aug 28 01:30:00 CEST 2015, Event: ,Montreal @ Hamilton, Favorite: ,Hamilton, 2014691   size:30.49,Price: ,1.17,Montreal, 2014643   size:2.73,Price: ,5.4,
1.120224712, Sport: ,Soccer, Time: ,Fri Aug 28 01:45:00 CEST 2015, Time: ,Fri Aug 28 01:45:00 CEST 2015, Event: ,Univ Catolica (Chile) v Libertad, Favorite: ,Univ Catolica (Chile), 7029037   size:54.08,Price: ,2.04,The Draw, 58805   size:140.45,Price: ,3.4,Libertad, 328196   size:95.69,Price: ,4.4,
1.120268230, Sport: ,Tennis, Time: ,Fri Aug 28 02:00:00 CEST 2015, Time: ,Fri Aug 28 02:00:00 CEST 2015, Event: ,Kubot/Nestor v Carreno Bus/Garcia-Lope, Favorite: ,Kubot/Nestor, 7082537   size:5.92,Price: ,1.33,Carreno Bus/Garcia-Lope, 9128738   size:2.55,Price: ,3.25,
1.120153627, Sport: ,Soccer, Time: ,Fri Aug 28 02:00:00 CEST 2015, Time: ,Fri Aug 28 02:00:00 CEST 2015, Event: ,Gremio v Coritiba, Favorite: ,Gremio, 198134   size:268.41,Price: ,1.49,The Draw, 58805   size:58.95,Price: ,4.3,Coritiba, 198141   size:21.78,Price: ,9.2,
1.120264425, Sport: ,Soccer, Time: ,Fri Aug 28 02:00:00 CEST 2015, Time: ,Fri Aug 28 02:00:00 CEST 2015, Event: ,San Jose v Universitario (Sucre), Favorite: ,San Jose, 171908   size:10.99,Price: ,1.75,The Draw, 58805   size:6.31,Price: ,4.0,Universitario (Sucre), 8858487   size:15.18,Price: ,4.9,
1.120266810, Sport: ,Soccer, Time: ,Fri Aug 28 02:00:00 CEST 2015, Time: ,Fri Aug 28 02:00:00 CEST 2015, Event: ,FC Kansas City (W) v Washington Spirit (W), Favorite: ,FC Kansas City (W), 7201330   size:7.53,Price: ,1.51,The Draw, 58805   size:101.41,Price: ,4.1,Washington Spirit (W), 7196209   size:5.82,Price: ,4.4,
1.120267661, Sport: ,Baseball, Time: ,Fri Aug 28 02:10:00 CEST 2015, Time: ,Fri Aug 28 02:10:00 CEST 2015, Event: ,SEA @ CWS, Favorite: ,Chicago White Sox (C Rodon), 9469946   size:302.51,Price: ,1.81,Seattle (R Elias), 8436207   size:42.89,Price: ,2.2,
1.120153959, Sport: ,Soccer, Time: ,Fri Aug 28 02:15:00 CEST 2015, Time: ,Fri Aug 28 02:15:00 CEST 2015, Event: ,Atletico PR v Joinville, Favorite: ,Atletico PR, 442159   size:135.62,Price: ,1.55,The Draw, 58805   size:38.88,Price: ,4.2,Joinville, 5259406   size:6.02,Price: ,8.2,
1.120271790, Sport: ,Basketball, Time: ,Fri Aug 28 02:15:00 CEST 2015, Time: ,Fri Aug 28 02:15:00 CEST 2015, Event: ,Puerto Rico v Argentina, Favorite: ,Puerto Rico, 208003   size:21.43,Price: ,1.64,Argentina, 208017   size:91.32,Price: ,2.5,
1.120154126, Sport: ,Soccer, Time: ,Fri Aug 28 02:15:00 CEST 2015, Time: ,Fri Aug 28 02:15:00 CEST 2015, Event: ,Belgrano v Lanus, Favorite: ,Belgrano, 1496989   size:8.31,Price: ,2.46,The Draw, 58805   size:5.68,Price: ,3.15,Lanus, 194513   size:7.13,Price: ,3.55,
1.120268276, Sport: ,Tennis, Time: ,Fri Aug 28 02:30:00 CEST 2015, Time: ,Fri Aug 28 02:30:00 CEST 2015, Event: ,S Lee v L Zhang, Favorite: ,So-Ra Lee, 8839149   size:16.56,Price: ,1.68,Ling Zhang, 4182952   size:14.87,Price: ,2.36,
1.120267944, Sport: ,Tennis, Time: ,Fri Aug 28 02:45:00 CEST 2015, Time: ,Fri Aug 28 02:45:00 CEST 2015, Event: ,Bellucci v Jaziri, Favorite: ,Thomaz Bellucci, 2830908   size:234.45,Price: ,1.44,Malek Jaziri, 5776215   size:395.26,Price: ,3.25,
1.120268274, Sport: ,Tennis, Time: ,Fri Aug 28 03:00:00 CEST 2015, Time: ,Fri Aug 28 03:00:00 CEST 2015, Event: ,Plipuech v Lertcheewakarn, Favorite: ,Noppawan Lertcheewakarn, 2293408   size:110.78,Price: ,1.68,Peangtarn Plipuech, 8244519   size:2.8,Price: ,2.22,
1.120268244, Sport: ,Tennis, Time: ,Fri Aug 28 03:00:00 CEST 2015, Time: ,Fri Aug 28 03:00:00 CEST 2015, Event: ,Y Lee v Hisami, Favorite: ,Ya-Hsuan Lee, 8839147   size:15.86,Price: ,1.71,Kanae Hisami, 7657213   size:2.55,Price: ,2.18,
1.120267679, Sport: ,Baseball, Time: ,Fri Aug 28 03:40:00 CEST 2015, Time: ,Fri Aug 28 03:40:00 CEST 2015, Event: ,STL @ ARI, Favorite: ,St Louis (C Martinez), 7564048   size:97.07,Price: ,1.85,Arizona (R De La Rosa), 9382117   size:451.58,Price: ,2.1,
1.120224782, Sport: ,Soccer, Time: ,Fri Aug 28 04:00:00 CEST 2015, Time: ,Fri Aug 28 04:00:00 CEST 2015, Event: ,Emelec v Juventud (Uru), Favorite: ,Emelec, 328197   size:369.68,Price: ,1.32,The Draw, 58805   size:19.06,Price: ,5.7,Juventud (Uru), 6607159   size:70.07,Price: ,13.0,
1.120268277, Sport: ,Tennis, Time: ,Fri Aug 28 04:30:00 CEST 2015, Time: ,Fri Aug 28 04:30:00 CEST 2015, Event: ,S Jang v X Sun, Favorite: ,Su Jeong Jang, 7659425   size:196.82,Price: ,1.44,Xu Liu Sun, 8710303   size:17.65,Price: ,2.64,
