1.120265310, Sport: ,Soccer, Time: ,Fri Aug 28 16:00:00 CEST 2015, Time: ,Fri Aug 28 16:00:00 CEST 2015, Event: ,FBK Kaunas v FK Dziugas, Favorite: ,FBK Kaunas, 180566   size:3.02,Price: ,2.06,FK Dziugas, 9390441   size:8.72,Price: ,3.15,The Draw, 58805   size:3.8,Price: ,3.55,
1.120265198, Sport: ,Soccer, Time: ,Fri Aug 28 16:00:00 CEST 2015, Time: ,Fri Aug 28 16:00:00 CEST 2015, Event: ,Ushuru FC v Tusker FC, Favorite: ,Tusker FC, 7177028   size:11.35,Price: ,2.32,The Draw, 58805   size:9.62,Price: ,2.92,
1.120264865, Sport: ,Soccer, Time: ,Fri Aug 28 17:30:00 CEST 2015, Time: ,Fri Aug 28 17:30:00 CEST 2015, Event: ,FC Espoo v Espoon Tikka, Favorite: ,The Draw, 58805   size:136.49,Price: ,1.06,Espoon Tikka, 10201488   size:88.93,Price: ,1.3,
1.120265254, Sport: ,Soccer, Time: ,Fri Aug 28 17:30:00 CEST 2015, Time: ,Fri Aug 28 17:30:00 CEST 2015, Event: ,FK Atlantas v FC Stumbras, Favorite: ,FK Atlantas, 48467   size:165.4,Price: ,1.38,The Draw, 58805   size:29.88,Price: ,5.5,FC Stumbras, 7661326   size:37.32,Price: ,7.0,
1.120264755, Sport: ,Soccer, Time: ,Fri Aug 28 17:30:00 CEST 2015, Time: ,Fri Aug 28 17:30:00 CEST 2015, Event: ,HNK Gorica v Sibenik, Favorite: ,HNK Gorica, 6692727   size:3.65,Price: ,1.86,The Draw, 58805   size:3.6,Price: ,2.88,Sibenik, 2020490   size:2.29,Price: ,2.96,
1.120221795, Sport: ,Basketball, Time: ,Fri Aug 28 17:30:00 CEST 2015, Time: ,Fri Aug 28 17:30:00 CEST 2015, Event: ,Lebanon v Belgium, Favorite: ,Belgium, 1228980   size:4.09,Price: ,1.02,
1.120264810, Sport: ,Soccer, Time: ,Fri Aug 28 17:30:00 CEST 2015, Time: ,Fri Aug 28 17:30:00 CEST 2015, Event: ,JK Tallinna Kalev II v Raasiku FC Joker 1993, Favorite: ,The Draw, 58805   size:136.49,Price: ,1.06,
1.120264920, Sport: ,Soccer, Time: ,Fri Aug 28 18:00:00 CEST 2015, Time: ,Fri Aug 28 18:00:00 CEST 2015, Event: ,Bayern Munich (W) v Potsdam (W), Favorite: ,Potsdam (W), 4714293   size:136.37,Price: ,1.06,Bayern Munich (W), 10150223   size:5.0,Price: ,1.27,The Draw, 58805   size:2.84,Price: ,3.9,
1.120267103, Sport: ,Soccer, Time: ,Fri Aug 28 18:15:00 CEST 2015, Time: ,Fri Aug 28 18:15:00 CEST 2015, Event: ,Nairobi City Stars v Western Stima FC, Favorite: ,Western Stima FC, 10059373   size:5.0,Price: ,1.79,Nairobi City Stars, 9675653   size:7.82,Price: ,2.2,The Draw, 58805   size:3.86,Price: ,2.38,
1.120304361, Sport: ,Tennis, Time: ,Fri Aug 28 18:30:00 CEST 2015, Time: ,Fri Aug 28 18:30:00 CEST 2015, Event: ,Chiudinelli v T Paul, Favorite: ,Marco Chiudinelli, 2263632   size:161.02,Price: ,1.46,Tommy Paul, 8859306   size:34.84,Price: ,2.82,
1.120223217, Sport: ,Soccer, Time: ,Fri Aug 28 18:30:00 CEST 2015, Time: ,Fri Aug 28 18:30:00 CEST 2015, Event: ,Augsburg II v Amberg, Favorite: ,Amberg, 9550072   size:229.79,Price: ,2.26,Augsburg II, 6516845   size:17.89,Price: ,3.2,The Draw, 58805   size:100.84,Price: ,3.7,
1.120155123, Sport: ,Soccer, Time: ,Fri Aug 28 19:00:00 CEST 2015, Time: ,Fri Aug 28 19:00:00 CEST 2015, Event: ,Skive v AC Horsens, Favorite: ,Skive, 151005   size:36.88,Price: ,2.6,AC Horsens, 195583   size:9.22,Price: ,2.94,The Draw, 58805   size:30.72,Price: ,3.35,
1.120223272, Sport: ,Soccer, Time: ,Fri Aug 28 19:00:00 CEST 2015, Time: ,Fri Aug 28 19:00:00 CEST 2015, Event: ,Ingolstadt II v 1860 Munich II, Favorite: ,1860 Munich II, 5482967   size:2.75,Price: ,2.26,Ingolstadt II, 5763642   size:2.71,Price: ,3.4,The Draw, 58805   size:107.92,Price: ,3.45,
1.120264480, Sport: ,Soccer, Time: ,Fri Aug 28 19:00:00 CEST 2015, Time: ,Fri Aug 28 19:00:00 CEST 2015, Event: ,Zrinjski v Celik Zenica, Favorite: ,Zrinjski, 4807138   size:11.38,Price: ,1.4,The Draw, 58805   size:4.0,Price: ,4.2,Celik Zenica, 8071612   size:11.03,Price: ,8.0,
1.120155335, Sport: ,Soccer, Time: ,Fri Aug 28 19:00:00 CEST 2015, Time: ,Fri Aug 28 19:00:00 CEST 2015, Event: ,Lyngby v FC Helsingor, Favorite: ,Lyngby, 28218   size:244.36,Price: ,1.49,The Draw, 58805   size:161.16,Price: ,4.5,FC Helsingor, 6542368   size:36.62,Price: ,8.4,
1.120265365, Sport: ,Soccer, Time: ,Fri Aug 28 19:00:00 CEST 2015, Time: ,Fri Aug 28 19:00:00 CEST 2015, Event: ,FUS Rabat v Mouloudia Dakhla, Favorite: ,FUS Rabat, 6681575   size:4.13,Price: ,1.21,The Draw, 58805   size:2.1,Price: ,5.9,Mouloudia Dakhla, 10201525   size:12.9,Price: ,10.5,
1.120155193, Sport: ,Soccer, Time: ,Fri Aug 28 19:00:00 CEST 2015, Time: ,Fri Aug 28 19:00:00 CEST 2015, Event: ,Fortuna Koln v FC Magdeburg, Favorite: ,FC Magdeburg, 516219   size:311.06,Price: ,2.7,Fortuna Koln, 5790034   size:93.0,Price: ,2.78,The Draw, 58805   size:106.47,Price: ,3.5,
1.120155264, Sport: ,Soccer, Time: ,Fri Aug 28 19:00:00 CEST 2015, Time: ,Fri Aug 28 19:00:00 CEST 2015, Event: ,Ludogorets v Slavia Sofia, Favorite: ,Ludogorets, 5112599   size:445.47,Price: ,1.23,The Draw, 58805   size:20.29,Price: ,6.6,Slavia Sofia, 1255221   size:9.54,Price: ,16.0,
1.120264314, Sport: ,Soccer, Time: ,Fri Aug 28 19:30:00 CEST 2015, Time: ,Fri Aug 28 19:30:00 CEST 2015, Event: ,OH Leuven (W) v Anderlecht (W), Favorite: ,Anderlecht (W), 6639183   size:3.91,Price: ,1.59,OH Leuven (W), 6743192   size:6.59,Price: ,3.85,The Draw, 58805   size:2.69,Price: ,4.3,
1.120231287, Sport: ,Ice Hockey, Time: ,Fri Aug 28 19:30:00 CEST 2015, Time: ,Fri Aug 28 19:30:00 CEST 2015, Event: ,Medvescak Zagreb v Vladivostok, Favorite: ,Medvescak Zagreb, 4182882   size:58.0,Price: ,2.18,Vladivostok, 7597246   size:145.73,Price: ,2.96,Tie, 60104   size:65.0,Price: ,4.3,
1.120264700, Sport: ,Soccer, Time: ,Fri Aug 28 20:00:00 CEST 2015, Time: ,Fri Aug 28 20:00:00 CEST 2015, Event: ,EC Sao Bento U20 v Santos (Bra) U20, Favorite: ,Santos (Bra) U20, 6714730   size:136.51,Price: ,1.06,The Draw, 58805   size:2.52,Price: ,1.07,
1.120264590, Sport: ,Soccer, Time: ,Fri Aug 28 20:00:00 CEST 2015, Time: ,Fri Aug 28 20:00:00 CEST 2015, Event: ,EC Santo Andre U20 v Sao Caetano U20, Favorite: ,Sao Caetano U20, 9465221   size:136.51,Price: ,1.06,The Draw, 58805   size:2.52,Price: ,1.07,
1.120155475, Sport: ,Soccer, Time: ,Fri Aug 28 20:00:00 CEST 2015, Time: ,Fri Aug 28 20:00:00 CEST 2015, Event: ,Almere City v Fortuna Sittard, Favorite: ,Almere City, 4835124   size:483.62,Price: ,1.69,The Draw, 58805   size:277.3,Price: ,4.3,Fortuna Sittard, 49058   size:65.54,Price: ,5.5,
