1.120294488, Sport: ,Soccer, Time: ,Sat Aug 29 12:00:00 CEST 2015, Time: ,Sat Aug 29 12:00:00 CEST 2015, Event: ,Mordovya Saransk (Y) v Rubin Kazan (Y), Favorite: ,Mordovya Saransk (Y), 9048089   size:2.6,Price: ,1.92,Rubin Kazan (Y), 5400702   size:7.95,Price: ,2.7,The Draw, 58805   size:7.65,Price: ,3.35,
1.120294425, Sport: ,Soccer, Time: ,Sat Aug 29 12:00:00 CEST 2015, Time: ,Sat Aug 29 12:00:00 CEST 2015, Event: ,Lokomotiv Moscow (Y) v FK Krasnodar (Y), Favorite: ,Lokomotiv Moscow (Y), 5246808   size:8.53,Price: ,1.35,The Draw, 58805   size:2.75,Price: ,4.3,FK Krasnodar (Y), 9045039   size:3.61,Price: ,5.6,
1.120285210, Sport: ,Soccer, Time: ,Sat Aug 29 13:00:00 CEST 2015, Time: ,Sat Aug 29 13:00:00 CEST 2015, Event: ,Zalgiris Vilnius II v FK Panevezys, Favorite: ,The Draw, 58805   size:136.27,Price: ,1.06,Zalgiris Vilnius II, 9544285   size:2.0,Price: ,1.13,
1.120145168, Sport: ,Soccer, Time: ,Sat Aug 29 13:30:00 CEST 2015, Time: ,Sat Aug 29 13:30:00 CEST 2015, Event: ,Warriors FC v Geylang International, Favorite: ,Warriors FC, 7120994   size:2.13,Price: ,1.55,The Draw, 58805   size:4.2,Price: ,4.1,Geylang International, 8279004   size:13.19,Price: ,5.0,
1.120145239, Sport: ,Soccer, Time: ,Sat Aug 29 13:30:00 CEST 2015, Time: ,Sat Aug 29 13:30:00 CEST 2015, Event: ,Balestier Khalsa v Brunei DPMM FC, Favorite: ,Brunei DPMM FC, 6238894   size:2.71,Price: ,2.3,The Draw, 58805   size:5.0,Price: ,3.2,Balestier Khalsa, 5322891   size:5.5,Price: ,3.3,
1.120223161, Sport: ,Soccer, Time: ,Sat Aug 29 14:00:00 CEST 2015, Time: ,Sat Aug 29 14:00:00 CEST 2015, Event: ,Nurnberg II v Rain am Lech, Favorite: ,Nurnberg II, 5576963   size:3.54,Price: ,1.45,The Draw, 58805   size:26.73,Price: ,4.8,Rain am Lech, 6516917   size:5.38,Price: ,7.4,
1.120223823, Sport: ,Soccer, Time: ,Sat Aug 29 14:00:00 CEST 2015, Time: ,Sat Aug 29 14:00:00 CEST 2015, Event: ,Dortmund II v Alemannia Aachen, Favorite: ,Alemannia Aachen, 199607   size:2.69,Price: ,2.18,The Draw, 58805   size:13.76,Price: ,3.5,
1.120143314, Sport: ,Soccer, Time: ,Sat Aug 29 14:00:00 CEST 2015, Time: ,Sat Aug 29 14:00:00 CEST 2015, Event: ,Vasteras IK v Arameiska-Syrianska, Favorite: ,Arameiska-Syrianska, 4638300   size:12.98,Price: ,1.8,Vasteras IK, 799114   size:14.21,Price: ,2.8,The Draw, 58805   size:13.51,Price: ,3.4,
1.120143312, Sport: ,Soccer, Time: ,Sat Aug 29 14:00:00 CEST 2015, Time: ,Sat Aug 29 14:00:00 CEST 2015, Event: ,Nacka v Stromsbergs, Favorite: ,Nacka, 6431911   size:5.3,Price: ,1.52,The Draw, 58805   size:2.09,Price: ,3.85,Stromsbergs, 9371567   size:34.63,Price: ,5.1,
1.120223713, Sport: ,Soccer, Time: ,Sat Aug 29 14:00:00 CEST 2015, Time: ,Sat Aug 29 14:00:00 CEST 2015, Event: ,TuS Erndtebruck v Fortuna Dusseldorf II, Favorite: ,Fortuna Dusseldorf II, 5545121   size:4.34,Price: ,1.85,The Draw, 58805   size:13.46,Price: ,3.8,TUS Erndtebruck, 10062668   size:7.1,Price: ,4.3,
1.120223493, Sport: ,Soccer, Time: ,Sat Aug 29 14:00:00 CEST 2015, Time: ,Sat Aug 29 14:00:00 CEST 2015, Event: ,Wegberg Beeck v Velbert, Favorite: ,Velbert, 516223   size:2.99,Price: ,1.5,The Draw, 58805   size:12.4,Price: ,4.5,Wegberg Beeck, 3235339   size:26.11,Price: ,7.2,
1.120301662, Sport: ,Volleyball, Time: ,Sat Aug 29 14:30:00 CEST 2015, Time: ,Sat Aug 29 14:30:00 CEST 2015, Event: ,Brazil v Turkey, Favorite: ,Turkey, 1183420   size:29.96,Price: ,1.01,
1.120223548, Sport: ,Soccer, Time: ,Sat Aug 29 14:30:00 CEST 2015, Time: ,Sat Aug 29 14:30:00 CEST 2015, Event: ,FC Kray v Schalke II, Favorite: ,Schalke II, 5340425   size:2.12,Price: ,2.36,FC Kray, 6542377   size:7.15,Price: ,3.2,The Draw, 58805   size:4.4,Price: ,3.45,
1.120294886, Sport: ,Soccer, Time: ,Sat Aug 29 15:00:00 CEST 2015, Time: ,Sat Aug 29 15:00:00 CEST 2015, Event: ,Royal Eagles v Cape Town All Stars FC, Favorite: ,Cape Town All Stars FC, 8835426   size:7.23,Price: ,2.24,Royal Eagles, 8946420   size:7.1,Price: ,2.38,The Draw, 58805   size:15.63,Price: ,2.66,
1.120294941, Sport: ,Soccer, Time: ,Sat Aug 29 15:00:00 CEST 2015, Time: ,Sat Aug 29 15:00:00 CEST 2015, Event: ,Milano Utd (SA) v Mthatha Bucks FC, Favorite: ,Milano Utd (SA), 8543510   size:5.0,Price: ,1.7,The Draw, 58805   size:13.74,Price: ,2.18,Mthatha Bucks FC, 10210834   size:5.0,Price: ,2.36,
1.120145379, Sport: ,Soccer, Time: ,Sat Aug 29 15:00:00 CEST 2015, Time: ,Sat Aug 29 15:00:00 CEST 2015, Event: ,Varbergs BoIS v AFC Utd, Favorite: ,Varbergs BoIS, 6225055   size:59.82,Price: ,1.58,The Draw, 58805   size:225.09,Price: ,4.4,AFC Utd, 7188665   size:81.91,Price: ,6.6,
1.120294822, Sport: ,Soccer, Time: ,Sat Aug 29 15:00:00 CEST 2015, Time: ,Sat Aug 29 15:00:00 CEST 2015, Event: ,Moroka Swallows v FC Cape Town, Favorite: ,Moroka Swallows, 364670   size:5.0,Price: ,1.99,The Draw, 58805   size:53.11,Price: ,2.6,FC Cape Town, 7650617   size:7.25,Price: ,2.78,
1.120083599, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Chelsea v C Palace, Favorite: ,Chelsea, 55190   size:2020.26,Price: ,1.4,The Draw, 58805   size:262.76,Price: ,5.0,C Palace, 52689   size:942.54,Price: ,10.5,
1.120285950, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Almagro v Barracas Central, Favorite: ,Almagro, 897266   size:4.54,Price: ,2.22,The Draw, 58805   size:4.5,Price: ,2.96,Barracas Central, 5408226   size:6.88,Price: ,3.2,
1.120153837, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Ipswich v Brighton, Favorite: ,Ipswich, 48324   size:700.0,Price: ,2.24,The Draw, 58805   size:490.97,Price: ,3.45,Brighton, 18567   size:96.19,Price: ,3.7,
1.120153303, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Rotherham v Fulham, Favorite: ,Rotherham, 18565   size:36.6,Price: ,2.58,Fulham, 56764   size:22.65,Price: ,2.96,The Draw, 58805   size:196.95,Price: ,3.5,
1.120145309, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Utsiktens v Sirius, Favorite: ,Sirius, 4638067   size:98.0,Price: ,1.57,The Draw, 58805   size:62.0,Price: ,4.6,Utsiktens, 2382931   size:62.0,Price: ,6.4,
1.120083719, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Man City v Watford, Favorite: ,Man City, 47999   size:2197.2,Price: ,1.22,The Draw, 58805   size:588.95,Price: ,8.0,Watford, 56301   size:225.65,Price: ,18.0,
1.120261946, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Leioa v Sestao River, Favorite: ,Leioa, 8792389   size:2.02,Price: ,2.48,The Draw, 58805   size:70.39,Price: ,3.15,Sestao River, 7602486   size:58.98,Price: ,3.2,
1.120083478, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Bournemouth v Leicester, Favorite: ,Bournemouth, 1141   size:1756.32,Price: ,2.16,Leicester, 48461   size:325.07,Price: ,3.6,The Draw, 58805   size:3277.91,Price: ,3.75,
1.120153402, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Bristol City v Burnley, Favorite: ,Bristol City, 69745   size:124.84,Price: ,2.56,Burnley, 56299   size:322.77,Price: ,3.15,The Draw, 58805   size:85.69,Price: ,3.35,
1.120146098, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Hibernian v Raith, Favorite: ,Hibernian, 9166   size:42.1,Price: ,1.52,The Draw, 58805   size:9.82,Price: ,4.5,Raith, 674747   size:36.42,Price: ,7.6,
1.120083844, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Aston Villa v Sunderland, Favorite: ,Aston Villa, 63908   size:3529.05,Price: ,2.02,The Draw, 58805   size:60.97,Price: ,3.5,Sunderland, 62783   size:195.6,Price: ,4.5,
1.120154304, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Wolves v Charlton, Favorite: ,Wolves, 48044   size:56.8,Price: ,1.94,The Draw, 58805   size:568.49,Price: ,3.55,Charlton, 48349   size:419.77,Price: ,4.7,
1.120083358, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Liverpool v West Ham, Favorite: ,Liverpool, 56323   size:1206.9,Price: ,1.39,The Draw, 58805   size:363.27,Price: ,5.4,West Ham, 48756   size:358.16,Price: ,10.0,
1.120154021, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Huddersfield v QPR, Favorite: ,Huddersfield, 78984   size:109.79,Price: ,2.72,QPR, 62684   size:257.01,Price: ,2.8,The Draw, 58805   size:1224.03,Price: ,3.55,
1.120083238, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Stoke v West Brom, Favorite: ,Stoke, 69720   size:27.32,Price: ,2.0,The Draw, 58805   size:583.93,Price: ,3.5,West Brom, 1703   size:91.15,Price: ,4.6,
1.120153668, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Sheff Wed v Middlesbrough, Favorite: ,Middlesbrough, 63907   size:85.6,Price: ,2.3,The Draw, 58805   size:789.51,Price: ,3.4,Sheff Wed, 47992   size:80.49,Price: ,3.6,
1.120153205, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Nottm Forest v Cardiff, Favorite: ,Nottm Forest, 69718   size:26.75,Price: ,2.46,Cardiff, 79343   size:467.76,Price: ,3.2,The Draw, 58805   size:152.73,Price: ,3.45,
