1.120143758, Sport: ,Soccer, Time: ,Sat Aug 29 15:30:00 CEST 2015, Time: ,Sat Aug 29 15:30:00 CEST 2015, Event: ,Carmarthen Town v Connahs Quay, Favorite: ,Connahs Quay, 339727   size:11.49,Price: ,1.08,Carmarthen Town, 1193681   size:8.45,Price: ,2.54,The Draw, 58805   size:7.05,Price: ,3.75,
1.120143760, Sport: ,Soccer, Time: ,Sat Aug 29 15:30:00 CEST 2015, Time: ,Sat Aug 29 15:30:00 CEST 2015, Event: ,Newtown v Haverfordwest, Favorite: ,The Draw, 58805   size:12.64,Price: ,1.29,Newtown, 3667299   size:7.59,Price: ,1.64,Haverfordwest, 866240   size:26.16,Price: ,5.1,
1.120143756, Sport: ,Soccer, Time: ,Sat Aug 29 15:30:00 CEST 2015, Time: ,Sat Aug 29 15:30:00 CEST 2015, Event: ,Bangor City v Port Talbot, Favorite: ,Port Talbot, 3667308   size:11.31,Price: ,1.08,The Draw, 58805   size:18.25,Price: ,1.3,Bangor City, 198751   size:10.41,Price: ,2.06,
1.120083599, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Chelsea v C Palace, Favorite: ,Chelsea, 55190   size:13284.06,Price: ,1.38,The Draw, 58805   size:1757.08,Price: ,5.2,C Palace, 52689   size:307.17,Price: ,11.0,
1.120147207, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Zenit St Petersburg v Kryliya Sovetov, Favorite: ,Zenit St Petersburg, 197960   size:1422.67,Price: ,1.25,The Draw, 58805   size:4.65,Price: ,6.8,Kryliya Sovetov, 579339   size:38.72,Price: ,17.0,
1.120143544, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,IS Halmia v Eskilsminne, Favorite: ,IS Halmia, 804931   size:106.19,Price: ,1.94,The Draw, 58805   size:25.43,Price: ,4.0,
1.120153837, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Ipswich v Brighton, Favorite: ,Ipswich, 48324   size:531.06,Price: ,2.22,The Draw, 58805   size:592.61,Price: ,3.4,Brighton, 18567   size:35.1,Price: ,3.85,
1.120154481, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,MK Dons v Birmingham, Favorite: ,MK Dons, 893582   size:662.73,Price: ,2.28,Birmingham, 48759   size:72.05,Price: ,3.4,The Draw, 58805   size:251.2,Price: ,3.6,
1.120153303, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Rotherham v Fulham, Favorite: ,Rotherham, 18565   size:634.43,Price: ,2.44,Fulham, 56764   size:400.2,Price: ,3.15,The Draw, 58805   size:170.06,Price: ,3.5,
1.120145309, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Utsiktens v Sirius, Favorite: ,Sirius, 4638067   size:301.3,Price: ,1.54,The Draw, 58805   size:108.55,Price: ,4.6,Utsiktens, 2382931   size:5.74,Price: ,7.0,
1.120146942, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Queens Park v East Fife, Favorite: ,Queens Park, 729809   size:6.04,Price: ,2.42,East Fife, 674743   size:26.42,Price: ,2.9,The Draw, 58805   size:7.55,Price: ,3.85,
1.120083478, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Bournemouth v Leicester, Favorite: ,Bournemouth, 1141   size:7634.14,Price: ,2.1,Leicester, 48461   size:543.04,Price: ,3.75,The Draw, 58805   size:2052.72,Price: ,3.8,
1.120153402, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Bristol City v Burnley, Favorite: ,Bristol City, 69745   size:17.23,Price: ,2.68,Burnley, 56299   size:1062.64,Price: ,3.05,The Draw, 58805   size:794.52,Price: ,3.25,
1.120146098, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Hibernian v Raith, Favorite: ,Hibernian, 9166   size:3.31,Price: ,1.48,The Draw, 58805   size:9.55,Price: ,4.6,Raith, 674747   size:43.12,Price: ,9.0,
