1.120286985, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,Casa Pia AC U19 v GS Loures U19, Favorite: ,The Draw, 58805   size:137.52,Price: ,1.06,x
1.120152321, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Hartlepool v Carlisle, Favorite: ,Hartlepool, 48303   size:58.14,Price: ,2.64,Carlisle, 18561   size:33.44,Price: ,2.98,The Draw, 58805   size:17.64,Price: ,3.35,x
1.120150260, Sport: ,Soccer, Time: ,Sat Aug 29 20:00:00 CEST 2015, Time: ,Sat Aug 29 20:00:00 CEST 2015, Event: ,ESTAC Troyes v Montpellier, Favorite: ,ESTAC Troyes, 4864974   size:5.0,Price: ,2.6,Montpellier, 44797   size:45.38,Price: ,3.15,The Draw, 58805   size:1275.31,Price: ,3.2,x
1.120313530, Sport: ,Hockey, Time: ,Sat Aug 29 17:30:00 CEST 2015, Time: ,Sat Aug 29 17:30:00 CEST 2015, Event: ,Netherlands v Germany, Favorite: ,Netherlands, 261994   size:206.47,Price: ,2.0,Germany, 206943   size:25.09,Price: ,2.66,Draw, 318509   size:55.06,Price: ,3.75,ok
1.120239516, Sport: ,Soccer, Time: ,Sat Aug 29 19:00:00 CEST 2015, Time: ,Sat Aug 29 19:00:00 CEST 2015, Event: ,FK Senica v Trencin, Favorite: ,Trencin, 501167   size:8.76,Price: ,1.67,The Draw, 58805   size:13.84,Price: ,3.9,FK Senica, 4030017   size:33.8,Price: ,6.2,ok
1.120301301, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Aland United (W) v Tampereen Ilves (W), Favorite: ,The Draw, 58805   size:712.25,Price: ,2.0,Tampereen Ilves (W), 5615063   size:310.12,Price: ,2.02,ok
1.120120849, Sport: ,Volleyball, Time: ,Sat Aug 29 17:00:00 CEST 2015, Time: ,Sat Aug 29 17:00:00 CEST 2015, Event: ,United Arab Emirates v South Korea, Favorite: ,South Korea, 1538770   size:129.96,Price: ,1.01,United Arab Emitates, 10173562   size:5.81,Price: ,1.17,ok
1.120284689, Sport: ,Soccer, Time: ,Sat Aug 29 20:00:00 CEST 2015, Time: ,Sat Aug 29 20:00:00 CEST 2015, Event: ,Ponte Preta U20 v Ituano FC U20, Favorite: ,Ituano FC U20, 7370365   size:137.55,Price: ,1.06,The Draw, 58805   size:2.52,Price: ,1.07,x
1.120193558, Sport: ,Soccer, Time: ,Sat Aug 29 18:30:00 CEST 2015, Time: ,Sat Aug 29 18:30:00 CEST 2015, Event: ,Vorskla v Metalist, Favorite: ,Vorskla, 2017721   size:154.63,Price: ,1.72,The Draw, 58805   size:13.24,Price: ,3.6,Metalist, 4822108   size:7.32,Price: ,5.7,ok
1.120335328, Sport: ,Tennis, Time: ,Sat Aug 29 20:45:00 CEST 2015, Time: ,Sat Aug 29 20:45:00 CEST 2015, Event: ,Butorac/Lipsky v Inglot/Lindstedt, Favorite: ,Butorac/Lipsky, 9608064   size:2.94,Price: ,1.7,Inglot/Lindstedt, 10075651   size:2.91,Price: ,2.1,x
1.120138495, Sport: ,Soccer, Time: ,Sat Aug 29 15:30:00 CEST 2015, Time: ,Sat Aug 29 15:30:00 CEST 2015, Event: ,Mainz v Hannover, Favorite: ,Mainz, 64374   size:261.51,Price: ,2.08,The Draw, 58805   size:156.74,Price: ,3.65,Hannover, 197307   size:706.36,Price: ,3.95,ok
1.120302193, Sport: ,Soccer, Time: ,Sat Aug 29 21:00:00 CEST 2015, Time: ,Sat Aug 29 21:00:00 CEST 2015, Event: ,Coquimbo Unido v Puerto Montt, Favorite: ,Coquimbo Unido, 5800422   size:27.53,Price: ,1.85,The Draw, 58805   size:12.23,Price: ,3.25,Puerto Montt, 5684078   size:11.01,Price: ,3.5,x
1.120295220, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,CD Mirandes II v SD Almazan, Favorite: ,The Draw, 58805   size:136.27,Price: ,1.06,x
1.120139340, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Djurgardens v Halmstads, Favorite: ,Djurgardens, 232104   size:29.62,Price: ,1.38,The Draw, 58805   size:43.98,Price: ,5.1,Halmstads, 10765   size:99.43,Price: ,11.0,ok
1.120287150, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,Academica U19 v UD Leiria U19, Favorite: ,The Draw, 58805   size:137.52,Price: ,1.06,x
1.120295109, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,Racing Club Villalbes v Alondras CF, Favorite: ,The Draw, 58805   size:136.27,Price: ,1.06,ok
1.120143610, Sport: ,Soccer, Time: ,Sat Aug 29 20:30:00 CEST 2015, Time: ,Sat Aug 29 20:30:00 CEST 2015, Event: ,Ferencvaros v Paks, Favorite: ,Ferencvaros, 198748   size:6.38,Price: ,1.21,The Draw, 58805   size:5.93,Price: ,6.8,Paks, 2018015   size:33.59,Price: ,18.0,ok
1.120151243, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Bradford v Port Vale, Favorite: ,Bradford, 48444   size:329.35,Price: ,2.38,The Draw, 58805   size:119.14,Price: ,3.3,Port Vale, 256373   size:90.1,Price: ,3.5,ok
1.120301532, Sport: ,Soccer, Time: ,Sat Aug 29 17:30:00 CEST 2015, Time: ,Sat Aug 29 17:30:00 CEST 2015, Event: ,Lucko v Radnik Sesvete, Favorite: ,Radnik Sesvete, 5819701   size:18.0,Price: ,1.07,The Draw, 58805   size:19.25,Price: ,1.11,x
1.120153668, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Sheff Wed v Middlesbrough, Favorite: ,Middlesbrough, 63907   size:582.4,Price: ,2.36,The Draw, 58805   size:500.87,Price: ,3.35,Sheff Wed, 47992   size:19.33,Price: ,3.5,ok
1.120225343, Sport: ,Soccer, Time: ,Sat Aug 29 17:00:00 CEST 2015, Time: ,Sat Aug 29 17:00:00 CEST 2015, Event: ,Dobrovice v Varnsdorf, Favorite: ,Varnsdorf, 4142631   size:8.0,Price: ,1.56,The Draw, 58805   size:17.25,Price: ,3.45,Dobrovice, 8761009   size:8.0,Price: ,3.8,ok
1.120301415, Sport: ,Soccer, Time: ,Sat Aug 29 17:00:00 CEST 2015, Time: ,Sat Aug 29 17:00:00 CEST 2015, Event: ,Etoile du Sahel v Stade Gabesien, Favorite: ,The Draw, 58805   size:137.52,Price: ,1.06,x
1.120153303, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Rotherham v Fulham, Favorite: ,Rotherham, 18565   size:546.0,Price: ,2.48,Fulham, 56764   size:47.56,Price: ,3.15,The Draw, 58805   size:164.1,Price: ,3.5,x
1.120140909, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Brackley Town v Worcester, Favorite: ,Brackley Town, 2145773   size:2.58,Price: ,2.42,Worcester, 1034121   size:2.15,Price: ,2.9,The Draw, 58805   size:2.23,Price: ,3.55,ok
