1.120162829, Sport: ,Basketball, Time: ,Tue Sep 01 09:00:00 CEST 2015, Time: ,Tue Sep 01 09:00:00 CEST 2015, Event: ,India (W) v Thailand (W), Favorite: ,India (W), 7886076   size:3.9,Price: ,1.41,Thailand (W), 7886081   size:136.57,Price: ,3.1,x
1.120341763, Sport: ,Tennis, Time: ,Tue Sep 01 12:00:00 CEST 2015, Time: ,Tue Sep 01 12:00:00 CEST 2015, Event: ,Crepaldi v Giustino, Favorite: ,Lorenzo Giustino, 7534093   size:2.55,Price: ,1.24,Erik Crepaldi, 7839753   size:5.0,Price: ,4.5,ok
1.120335386, Sport: ,Tennis, Time: ,Tue Sep 01 08:30:00 CEST 2015, Time: ,Tue Sep 01 08:30:00 CEST 2015, Event: ,Ramanathan v Ze Zhang, Favorite: ,Ze Zhang, 5021895   size:2.73,Price: ,1.43,Ramkumar Ramanathan, 8173038   size:2.73,Price: ,3.0,ok
1.120341746, Sport: ,Tennis, Time: ,Tue Sep 01 10:00:00 CEST 2015, Time: ,Tue Sep 01 10:00:00 CEST 2015, Event: ,Naso v K De Schepper, Favorite: ,Kenny De Schepper, 5617034   size:4.91,Price: ,1.81,Gianluca Naso, 2967260   size:10.22,Price: ,2.1,x
1.120354080, Sport: ,Tennis, Time: ,Tue Sep 01 11:30:00 CEST 2015, Time: ,Tue Sep 01 11:30:00 CEST 2015, Event: ,Teixeira v Brands, Favorite: ,Daniel Brands, 2395076   size:17.86,Price: ,1.44,Maxime Teixeira, 5321113   size:2.12,Price: ,2.92,ok
1.120338714, Sport: ,Soccer, Time: ,Tue Sep 01 14:00:00 CEST 2015, Time: ,Tue Sep 01 14:00:00 CEST 2015, Event: ,FC Zbrojovka Brno U19 v SK Slavia Praha U19, Favorite: ,SK Slavia Praha U19, 6571031   size:2.61,Price: ,2.12,FC Zbrojovka Brno U19, 6573638   size:2.63,Price: ,2.38,The Draw, 58805   size:4.21,Price: ,4.0,x
1.120329699, Sport: ,Cricket, Time: ,Tue Sep 01 11:30:00 CEST 2015, Time: ,Tue Sep 01 11:30:00 CEST 2015, Event: ,Kent v Lancashire, Favorite: ,Lancashire, 424679   size:3.87,Price: ,1.81,The Draw, 60443   size:9.46,Price: ,3.05,Kent, 5901   size:3.65,Price: ,5.5,x
1.120329710, Sport: ,Cricket, Time: ,Tue Sep 01 11:30:00 CEST 2015, Time: ,Tue Sep 01 11:30:00 CEST 2015, Event: ,Leicestershire v Gloucestershire, Favorite: ,Gloucestershire, 2219   size:5.8,Price: ,1.75,The Draw, 60443   size:6.94,Price: ,3.15,Leicestershire, 31377   size:3.99,Price: ,4.4,x
1.120351991, Sport: ,Soccer, Time: ,Tue Sep 01 12:00:00 CEST 2015, Time: ,Tue Sep 01 12:00:00 CEST 2015, Event: ,Dong Tam Long An v Dong Nai, Favorite: ,Dong Tam Long An, 2343976   size:6.26,Price: ,1.91,Dong Nai, 9094955   size:3.93,Price: ,3.85,The Draw, 58805   size:7.8,Price: ,3.9,x
1.120351574, Sport: ,Soccer, Time: ,Tue Sep 01 11:00:00 CEST 2015, Time: ,Tue Sep 01 11:00:00 CEST 2015, Event: ,FC Banik Prievidza (W) v FK Kysucky Lie (W), Favorite: ,FK Kysucky Lie (W), 10221632   size:10.64,Price: ,1.12,The Draw, 58805   size:10.0,Price: ,3.6,x
1.120335366, Sport: ,Tennis, Time: ,Tue Sep 01 08:30:00 CEST 2015, Time: ,Tue Sep 01 08:30:00 CEST 2015, Event: ,Jim Wang v Sugita, Favorite: ,Yuichi Sugita, 3374117   size:69.58,Price: ,1.58,Jimmy Wang, 5377090   size:2.73,Price: ,2.64,ok
