1.120940211, Sport: ,Tennis, Time: ,Tue Sep 29 13:15:00 CEST 2015, Time: ,Tue Sep 29 13:15:00 CEST 2015, Event: ,Almagro v M Baghdatis, Favorite: ,Marcos Baghdatis, 2256469   size:230.26,Price: ,1.62,Nicolas Almagro, 2257310   size:373.31,Price: ,2.46,ok
1.120957093, Sport: ,Tennis, Time: ,Tue Sep 29 11:15:00 CEST 2015, Time: ,Tue Sep 29 11:15:00 CEST 2015, Event: ,Karatsev v Mugevicius, Favorite: ,Aslan Karatsev, 7659748   size:5.78,Price: ,1.13,Lukas Mugevicius, 9377226   size:13.79,Price: ,5.9,ok
1.120835876, Sport: ,Soccer, Time: ,Tue Sep 29 14:00:00 CEST 2015, Time: ,Tue Sep 29 14:00:00 CEST 2015, Event: ,Porto U19 v Chelsea U19, Favorite: ,Chelsea U19, 2502337   size:18.0,Price: ,1.29,Porto U19, 2502334   size:6.0,Price: ,2.42,The Draw, 58805   size:15.0,Price: ,2.58,x
1.120835931, Sport: ,Soccer, Time: ,Tue Sep 29 15:00:00 CEST 2015, Time: ,Tue Sep 29 15:00:00 CEST 2015, Event: ,BATE Borisov U19 v Roma U19, Favorite: ,Roma U19, 6771865   size:3.4,Price: ,1.29,BATE Borisov U19, 8835058   size:6.0,Price: ,4.7,The Draw, 58805   size:15.0,Price: ,3.3,x
1.120940130, Sport: ,Tennis, Time: ,Tue Sep 29 07:00:00 CEST 2015, Time: ,Tue Sep 29 07:00:00 CEST 2015, Event: ,Basilashvili v Nedovyesov, Favorite: ,Nikoloz Basilashvili, 8257807   size:3.0,Price: ,1.71,Aleksandr Nedovyesov, 8188266   size:60.56,Price: ,2.34,ok
1.120964481, Sport: ,Tennis, Time: ,Tue Sep 29 05:00:00 CEST 2015, Time: ,Tue Sep 29 05:00:00 CEST 2015, Event: ,Keys v K Mladenovic, Favorite: ,Madison Keys, 3800907   size:241.64,Price: ,1.6,Kristina Mladenovic, 3622052   size:76.31,Price: ,2.56,x
1.120835993, Sport: ,Soccer, Time: ,Tue Sep 29 15:00:00 CEST 2015, Time: ,Tue Sep 29 15:00:00 CEST 2015, Event: ,Sheff Wed U21 v Brentford U21, Favorite: ,Sheff Wed U21, 6813026   size:3.55,Price: ,1.07,Brentford U21, 6628855   size:3.55,Price: ,1.07,The Draw, 58805   size:2.56,Price: ,1.39,x
1.120960141, Sport: ,Soccer, Time: ,Tue Sep 29 02:00:00 CEST 2015, Time: ,Tue Sep 29 02:00:00 CEST 2015, Event: ,Guarani AF v Atletico Parana, Favorite: ,Guarani AF, 8742758   size:2.5,Price: ,2.5,Atletico Parana, 5985269   size:5.0,Price: ,3.45,The Draw, 58805   size:20.19,Price: ,3.0,ok
1.120957099, Sport: ,Tennis, Time: ,Tue Sep 29 09:30:00 CEST 2015, Time: ,Tue Sep 29 09:30:00 CEST 2015, Event: ,Chervyakov v Ri Becker, Favorite: ,Richard Becker, 7283331   size:67.99,Price: ,1.21,Fedor Chervyakov, 7658509   size:40.98,Price: ,4.3,x
1.120917474, Sport: ,Soccer, Time: ,Tue Sep 29 00:00:00 CEST 2015, Time: ,Tue Sep 29 00:00:00 CEST 2015, Event: ,CA Temperley v Arsenal FC, Favorite: ,CA Temperley, 8742769   size:18.34,Price: ,2.76,Arsenal FC, 512619   size:204.19,Price: ,3.15,The Draw, 58805   size:188.43,Price: ,3.05,x
1.120952776, Sport: ,Tennis, Time: ,Mon Sep 28 22:15:00 CEST 2015, Time: ,Mon Sep 28 22:15:00 CEST 2015, Event: ,Polansky v Kutrovsky, Favorite: ,Peter Polansky, 2504190   size:232.81,Price: ,1.41,Dimitar Kutrovsky, 6163094   size:11.95,Price: ,3.15,x
