1.120947629, Sport: ,Tennis, Time: ,Wed Sep 30 12:45:00 CEST 2015, Time: ,Wed Sep 30 12:45:00 CEST 2015, Event: ,Lacko v Langer, Favorite: ,Lukas Lacko, 2263634   size:5.0,Price: ,1.61,Nils Langer, 7066939   size:2.55,Price: ,2.32,ok
1.120970484, Sport: ,Soccer, Time: ,Wed Sep 30 02:05:00 CEST 2015, Time: ,Wed Sep 30 02:05:00 CEST 2015, Event: ,Defensores de Belgrano v Flandria, Favorite: ,Defensores de Belgrano, 5643646   size:2.55,Price: ,1.61,Flandria, 9509138   size:2.01,Price: ,6.6,The Draw, 58805   size:3.39,Price: ,3.5,ok
1.120975259, Sport: ,Tennis, Time: ,Wed Sep 30 07:00:00 CEST 2015, Time: ,Wed Sep 30 07:00:00 CEST 2015, Event: ,Shvedova v Rodina, Favorite: ,Yaroslava Shvedova, 2263713   size:2.55,Price: ,1.55,Evgeniya Rodina, 2415530   size:2.55,Price: ,2.56,x
1.120973355, Sport: ,Soccer, Time: ,Wed Sep 30 14:00:00 CEST 2015, Time: ,Wed Sep 30 14:00:00 CEST 2015, Event: ,FC Odishi 1919 Zugdidi v FC Rustavi, Favorite: ,FC Odishi 1919 Zugdidi, 10255164   size:3.55,Price: ,1.07,FC Rustavi, 8082345   size:3.55,Price: ,1.07,The Draw, 58805   size:2.69,Price: ,1.25,x
1.120973516, Sport: ,Tennis, Time: ,Wed Sep 30 05:30:00 CEST 2015, Time: ,Wed Sep 30 05:30:00 CEST 2015, Event: ,Jia Lu v A Raina, Favorite: ,Jia-Jing Lu, 9002321   size:8.02,Price: ,1.42,Ankita Raina, 7921012   size:10.07,Price: ,3.1,ok
1.120978648, Sport: ,Basketball, Time: ,Wed Sep 30 02:00:00 CEST 2015, Time: ,Wed Sep 30 02:00:00 CEST 2015, Event: ,Indiana @ New York, Favorite: ,New York, 13106   size:3.23,Price: ,1.55,Indiana, 13116   size:29.99,Price: ,2.16,x
1.120973195, Sport: ,Soccer, Time: ,Wed Sep 30 14:00:00 CEST 2015, Time: ,Wed Sep 30 14:00:00 CEST 2015, Event: ,FC Mertskhali Ozurgeti v Chkherimela Kharagauli, Favorite: ,FC Mertskhali Ozurgeti, 6860556   size:3.55,Price: ,1.07,Chkherimela Kharagauli, 7221255   size:3.55,Price: ,1.07,The Draw, 58805   size:2.69,Price: ,1.25,ok
1.120977434, Sport: ,Tennis, Time: ,Wed Sep 30 08:00:00 CEST 2015, Time: ,Wed Sep 30 08:00:00 CEST 2015, Event: ,Zhang v Vesely, Favorite: ,Jiri Vesely, 7032143   size:5.78,Price: ,1.12,Zhizhen Zhang, 9628959   size:9.6,Price: ,8.0,ok
1.120978128, Sport: ,Tennis, Time: ,Wed Sep 30 04:00:00 CEST 2015, Time: ,Wed Sep 30 04:00:00 CEST 2015, Event: ,Xun v X You, Favorite: ,Xiaodi You, 9458785   size:6.31,Price: ,1.33,Fang Ying Xun, 9456616   size:6.5,Price: ,3.55,x
1.120851729, Sport: ,Soccer, Time: ,Wed Sep 30 04:00:00 CEST 2015, Time: ,Wed Sep 30 04:00:00 CEST 2015, Event: ,Santos Laguna v Dorados, Favorite: ,Santos Laguna, 328957   size:2145.63,Price: ,1.72,Dorados, 6119455   size:114.41,Price: ,5.3,The Draw, 58805   size:622.61,Price: ,4.0,x
1.120958809, Sport: ,Tennis, Time: ,Tue Sep 29 21:00:00 CEST 2015, Time: ,Tue Sep 29 21:00:00 CEST 2015, Event: ,Garin/Saez v Dischinger/Velotti, Favorite: ,Garin/Saez, 9002724   size:4.46,Price: ,1.06,Dischinger/Velotti, 10343940   size:4.46,Price: ,1.06,ok
